t	ForceX	ForceY	ForceZ
0	0	0	0
0.002	0	0	0
0.004	0	0	0
0.006	0	0	0
0.008	0	0	0
0.01	0	0	0
0.012	0	0	0
0.014	0	0	0
0.016	0	0	0
0.018	0	0	0
0.02	0	0	0
0.022	0	0	0
0.024	0	0	0
0.026	0	0	0
0.028	0	0	0
0.03	0	0	0
0.032	0	0	0
0.034	0	0	0
0.036	0	0	0
0.038	0	0	0
0.04	0	0	0
0.042	0	0	0
0.044	0	0	0
0.046	0	0	0
0.048	0	0	0
0.05	0	0	0
0.052	0	0	0
0.054	0	0	0
0.056	0	0	0
0.058	0	0	0
0.06	0	0	0
0.062	0	0	0
0.064	0	0	0
0.066	0	0	0
0.068	0	0	0
0.07	0	0	0
0.072	0	0	0
0.074	0	0	0
0.076	0	0	0
0.078	0	0	0
0.08	0	0	0
0.082	0	0	0
0.084	0	0	0
0.086	0	0	0
0.088	0	0	0
0.09	0	0	0
0.092	0	0	0
0.094	0	0	0
0.096	0	0	0
0.098	0	0	0
0.1	0	0	0
0.102	0	0	0
0.104	0	0	0
0.106	0	0	0
0.108	0	0	0
0.11	0	0	0
0.112	0	0	0
0.114	0	0	0
0.116	0	0	0
0.118	0	0	0
0.12	0	0	0
0.122	0	0	0
0.124	0	0	0
0.126	0	0	0
0.128	0	0	0
0.13	0	0	0
0.132	0	0	0
0.134	0	0	0
0.136	0	0	0
0.138	0	0	0
0.14	0	0	0
0.142	0	0	0
0.144	0	0	0
0.146	0	0	0
0.148	0	0	0
0.15	0	0	0
0.152	0	0	0
0.154	0	0	0
0.156	0	0	0
0.158	0	0	0
0.16	0	0	0
0.162	0	0	0
0.164	0	0	0
0.166	0	0	0
0.168	0	0	0
0.17	0	0	0
0.172	0	0	0
0.174	0	0	0
0.176	0	0	0
0.178	0	0	0
0.18	0	0	0
0.182	0	0	0
0.184	0	0	0
0.186	0	0	0
0.188	0	0	0
0.19	0	0	0
0.192	0	0	0
0.194	0	0	0
0.196	0.338909209	0.181278962	1.477975066
0.198	0.329614995	0.181854628	1.462004987
0.2	0.319030175	0.182699556	1.443435128
0.202	0.307359019	0.183776608	1.422822585
0.204	0.294861504	0.185048643	1.400631603
0.206	0.281741898	0.186441383	1.37741928
0.208	0.268250896	0.187945541	1.35374271
0.21	0.25460205	0.18948684	1.33006614
0.212	0.240999628	0.191037423	1.306668118
0.214	0.227601475	0.192532297	1.283177246
0.216	0.214519009	0.193906466	1.259222128
0.218	0.20190079	0.195104222	1.234431367
0.22	0.189895377	0.19607914	1.208340715
0.222	0.178623472	0.196766224	1.180671625
0.224	0.168205781	0.197109767	1.151052701
0.226	0.158512315	0.197044772	1.11948394
0.228	0.149283095	0.196506246	1.086058195
0.23	0.140267429	0.195438479	1.050868312
0.232	0.131186768	0.193785762	1.014378539
0.234	0.121799704	0.191483099	0.976496027
0.236	0.11182769	0.188456212	0.937499324
0.238	0.101168591	0.184677246	0.897657692
0.24	0.090102812	0.180109061	0.857463232
0.242	0.078935827	0.174733087	0.817417332
0.244	0.067987039	0.168530754	0.77814208
0.246	0.057573062	0.161502062	0.740120294
0.248	0.048014227	0.153609872	0.703927639
0.25	0.039605795	0.144863469	0.670000507
0.252	0.032397904	0.135364986	0.637874651
0.254	0.026269851	0.125327977	0.606259467
0.256	0.021097217	0.114965996	0.574031477
0.258	0.016755584	0.104483311	0.539946501
0.26	0.01311682	0.094093475	0.502788213
0.262	0.010057436	0.083999828	0.461340288
0.264	0.007472047	0.074371356	0.414989921
0.266	0.005313951	0.0652387	0.364916296
0.268	0.003548979	0.056614857	0.312623574
0.27	0.002143333	0.048504471	0.259615912
0.272	0.001062567	0.040915898	0.207397469
0.274	0.000272373	0.033858424	0.157509543
0.276	-0.000261464	0.027338546	0.111437723
0.278	-0.000573233	0.021367408	0.070702881
0.28	-0.000697168	0.01595058	0.036818459
0.282	-0.00066754	0.011097348	0.01129326
0.284	-0.000518647	0.006815974	-0.004358717
0.286	-0.000284704	0.00311398	-0.008627092
0.288	0	0	0
0.29	0	0	0
0.292	0	0	0
0.294	0	0	0
0.296	0	0	0
0.298	0	0	0
0.3	0	0	0
0.302	0	0	0
0.304	0	0	0
0.306	0	0	0
0.308	0	0	0
0.31	0	0	0
0.312	0	0	0
0.314	0	0	0
0.316	0	0	0
0.318	0	0	0
0.32	0	0	0
0.322	0	0	0
0.324	0	0	0
0.326	0	0	0
0.328	0	0	0
0.33	0	0	0
0.332	0	0	0
0.334	0	0	0
0.336	0	0	0
0.338	0	0	0
0.34	0	0	0
0.342	0	0	0
0.344	0	0	0
0.346	0	0	0
0.348	0	0	0
0.35	0	0	0
0.352	0	0	0
0.354	0	0	0
0.356	0	0	0
0.358	0	0	0
0.36	0	0	0
0.362	0	0	0
0.364	0	0	0
0.366	0	0	0
0.368	0	0	0
0.37	0	0	0
0.372	0	0	0
0.374	0	0	0
0.376	0	0	0
0.378	0	0	0
0.38	0	0	0
0.382	0	0	0
0.384	0	0	0
0.386	0	0	0
0.388	0	0	0
0.39	0	0	0
0.392	0	0	0
0.394	0	0	0
0.396	0	0	0
0.398	0	0	0
0.4	0	0	0
