---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "MyC3DData\GaitNormal0001-processed-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.560000000000000e+000 5.791388914913866e-001 -3.731470853197585e-002 3.840892999514143e-001 1.612377002801045e-001 2.718643979667637e-001 -3.272237490329709e-001
1.568820512820513e+000 5.762684472676978e-001 -3.740933093323873e-002 3.765696833213004e-001 1.653403515002799e-001 2.630248303985399e-001 -3.056602674682351e-001
1.577641025641026e+000 5.736975495618413e-001 -3.766975266969851e-002 3.674883501437818e-001 1.711158801658561e-001 2.514496819417166e-001 -2.813051274308056e-001
1.586461538461538e+000 5.714281278716916e-001 -3.817656131920878e-002 3.568786316370753e-001 1.786226582497045e-001 2.371896539856850e-001 -2.545577761136658e-001
1.595282051282051e+000 5.694225616282318e-001 -3.903258492925977e-002 3.448006763042466e-001 1.878350324698321e-001 2.204314645160812e-001 -2.259697834386812e-001
1.604102564102564e+000 5.675943921251265e-001 -4.032819310766857e-002 3.313622491110959e-001 1.986083652801692e-001 2.016321993390909e-001 -1.962972778012338e-001
1.612923076923077e+000 5.658092723494830e-001 -4.211299434445138e-002 3.166914086469201e-001 2.107201839322607e-001 1.815157513139532e-001 -1.664082844065775e-001
1.621743589743590e+000 5.638885547461322e-001 -4.439332942771613e-002 3.009435956560587e-001 2.239061627746233e-001 1.609995846436417e-001 -1.371715874373768e-001
1.630564102564102e+000 5.616169252319674e-001 -4.714856585852854e-002 2.843280718249734e-001 2.378708755167817e-001 1.410669960751508e-001 -1.093438233452697e-001
1.639384615384615e+000 5.587563877120236e-001 -5.034805752204746e-002 2.671211837913763e-001 2.522748384314719e-001 1.226356037344420e-001 -8.348085430914075e-002
1.648205128205128e+000 5.550685041034666e-001 -5.395769589166059e-002 2.496553435850160e-001 2.667258260400613e-001 1.064651493918242e-001 -5.990462042633420e-002
1.657025641025641e+000 5.503424077333038e-001 -5.793926543311277e-002 2.323015847531851e-001 2.808011837858718e-001 9.311346391807936e-002 -3.874612327802748e-002
1.665846153846153e+000 5.444194939293066e-001 -6.224975408818479e-002 2.154551018950024e-001 2.940932938981246e-001 8.293249177090674e-002 -2.004376423770931e-002
1.674666666666666e+000 5.372056710742995e-001 -6.684439361157715e-002 1.995180616087771e-001 3.062508615601594e-001 7.609213577976011e-002 -3.841194331341267e-003
1.683487179487179e+000 5.286675444965995e-001 -7.168284220781872e-002 1.848769248588920e-001 3.169993715500631e-001 7.261469813018910e-002 9.763840151626206e-003
1.692307692307692e+000 5.188151767333710e-001 -7.673457030871736e-002 1.718761082373621e-001 3.261414935418793e-001 7.240408512186153e-002 2.063078675328702e-002
1.701128205128204e+000 5.076784445077746e-001 -8.197998445703991e-002 1.607914831976389e-001 3.335475666848637e-001 7.526636758169698e-002 2.861991320043884e-002
1.709948717948717e+000 4.952858411424109e-001 -8.740688849111140e-002 1.518086801144787e-001 3.391450659369896e-001 8.092961259010764e-002 3.362831670058162e-002
