---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "MyC3DData\GaitNormal0001-processed-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
1.560000000000000e+000 -1.649395173616878e-001 9.233533868566214e-001 -3.173823951670581e-001 2.097987554600945e-002 1.065693172473690e-001 -4.976327317385208e-002 -1.255757768661240e-001 4.334521760841357e-002 -2.638481451389868e-001
1.568820512820513e+000 -1.529372978668933e-001 9.223972756952311e-001 -3.168409793042732e-001 1.711488780278628e-002 1.115440896198570e-001 -5.138718079226341e-002 -1.225586260381893e-001 5.104393301338687e-002 -2.662609745929863e-001
1.577641025641026e+000 -1.407574490330697e-001 9.215860704555662e-001 -3.162903926576441e-001 1.266902028243234e-002 1.160503852304371e-001 -5.333577472202922e-002 -1.191804665287131e-001 5.934643002086230e-002 -2.682238561535120e-001
1.586461538461538e+000 -1.284514096323935e-001 9.209516763660067e-001 -3.157290763350742e-001 7.656276585831522e-003 1.199643969137609e-001 -5.556904266974417e-002 -1.154996013869654e-001 6.818956486120048e-002 -2.696503535645419e-001
1.595282051282051e+000 -1.160520178119315e-001 9.205260441859099e-001 -3.151540433007901e-001 2.098752505889316e-003 1.231625947986612e-001 -5.802606326651508e-002 -1.115975711659133e-001 7.750434754880375e-002 -2.704542982497095e-001
1.604102564102564e+000 -1.035860000299266e-001 9.203343020327072e-001 -3.145615956006129e-001 -3.949626194577695e-003 1.255483120671188e-001 -6.061529887159951e-002 -1.075893780875241e-001 8.719045928403844e-002 -2.705753459341160e-001
1.612923076923077e+000 -9.107565933239924e-002 9.203935021409323e-001 -3.139475314597717e-001 -1.039745140951859e-002 1.270596515401239e-001 -6.321796934350966e-002 -1.036165098387438e-001 9.711026509022153e-002 -2.699851016688001e-001
1.621743589743590e+000 -7.854008814516370e-002 9.207119731720421e-001 -3.133072482514650e-001 -1.711829290907333e-002 1.276768240555559e-001 -6.569662424605871e-002 -9.983533201969631e-002 1.070917140195772e-001 -2.686909573547244e-001
1.630564102564102e+000 -6.599629532264163e-002 9.212895718722564e-001 -3.126359510700561e-001 -2.396150195250498e-002 1.274271674788070e-001 -6.791023852512160e-002 -9.640050926570923e-002 1.169407107577444e-001 -2.667367338236737e-001
1.639384615384615e+000 -5.346040862924307e-002 9.221187842094157e-001 -3.119290335164497e-001 -3.076863062695804e-002 1.263850680208611e-001 -6.973430099603803e-002 -9.344506215858579e-002 1.264596965629576e-001 -2.641991347989195e-001
1.648205128205128e+000 -4.094883882357355e-002 9.231861022752147e-001 -3.111825250524689e-001 -3.739033657583293e-002 1.246655176112235e-001 -7.107985958373329e-002 -9.106246601561971e-002 1.354663461272584e-001 -2.611799950200451e-001
1.657025641025641e+000 -2.847913932798996e-002 9.244731326253914e-001 -3.103936125778947e-001 -4.369900075090543e-002 1.224128276498899e-001 -7.190505141791030e-002 -8.929643928792266e-002 1.438074317160121e-001 -2.577953140509585e-001
1.665846153846153e+000 -1.607036343081167e-002 9.259574306962640e-001 -3.095613228405393e-001 -4.959608751088428e-002 1.197867854924191e-001 -7.221753195962627e-002 -8.813954416907725e-002 1.513674873888085e-001 -2.541629099085742e-001
1.674666666666666e+000 -3.742824441258412e-003 9.276133752177317e-001 -3.086873114037201e-001 -5.501605699178280e-002 1.169474154339607e-001 -7.206904516758814e-002 -8.753945942222091e-002 1.580743520348013e-001 -2.503902317577521e-001
1.683487179487179e+000 8.482858574172707e-003 9.294132668280587e-001 -3.077765682808411e-001 -5.992758475299523e-002 1.140397152546568e-001 -7.154302349160570e-002 -8.741196828276791e-002 1.639018649393031e-001 -2.465629293470665e-001
1.692307692307692e+000 2.058741765680914e-002 9.313285819521460e-001 -3.068377269935416e-001 -6.433112902685184e-002 1.111806791733894e-001 -7.073641067447775e-002 -8.765915419888280e-002 1.688677164628189e-001 -2.427353318522453e-001
1.701128205128204e+000 3.255495721263545e-002 9.333312194705308e-001 -3.058826739632771e-001 -6.825211356646038e-002 1.084508937843112e-001 -6.973865065463987e-002 -8.818982346912008e-002 1.730248206930656e-001 -2.389252768621622e-001
1.709948717948717e+000 4.437473461075096e-002 9.353946331532649e-001 -3.049253831170585e-001 -7.173060882438384e-002 1.058919812396901e-001 -6.861323416832386e-002 -8.893698599719127e-002 1.764470608733465e-001 -2.351156912553995e-001
1.718769230769230e+000 5.604214202918303e-002 9.374947896861272e-001 -3.039802285057919e-001 -7.480959844196028e-002 1.035097893039962e-001 -6.738809912600104e-002 -8.986616491507166e-002 1.792124587426052e-001 -2.312630458894034e-001
1.727589743589743e+000 6.755865962899472e-002 9.396108284297585e-001 -3.030601954329173e-001 -7.752405202175168e-002 1.012819999713248e-001 -6.605839774262771e-002 -9.097106654520694e-002 1.813873050238012e-001 -2.273098920316441e-001
