---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "MyC3DData\GaitNormal0002-processed-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
1.970000000000000e+000 -2.412078019707201e-001 -2.735939530028560e-001 4.399238204181017e-001 1.821632817155781e-001 5.948885944790303e-001 -6.074078684780898e-001
1.978795811518325e+000 -2.431999998210869e-001 -2.598139268559150e-001 4.321381951859600e-001 1.912173985322432e-001 5.921317835544769e-001 -6.002295028264346e-001
1.987591623036649e+000 -2.444051053116852e-001 -2.449166499511558e-001 4.233165335427747e-001 2.007421150905296e-001 5.867822450554492e-001 -5.908638925126618e-001
1.996387434554974e+000 -2.447395474942487e-001 -2.289708604389426e-001 4.134827363392233e-001 2.109536175610105e-001 5.786089627881409e-001 -5.791722756090902e-001
2.005183246073298e+000 -2.441084462209024e-001 -2.120427351482047e-001 4.026780518738726e-001 2.221540078236045e-001 5.673792266309787e-001 -5.650121134317068e-001
2.013979057591623e+000 -2.424350614518785e-001 -1.942415294813240e-001 3.909902435302515e-001 2.346978974265591e-001 5.529239357093397e-001 -5.483211541839836e-001
2.022774869109948e+000 -2.396621281083902e-001 -1.757233297472982e-001 3.785493772199191e-001 2.489769494114912e-001 5.351417511628417e-001 -5.291317799188732e-001
2.031570680628272e+000 -2.357458481597166e-001 -1.566867077771756e-001 3.655237118474646e-001 2.654017751311510e-001 5.140042668591934e-001 -5.075833708990728e-001
2.040366492146597e+000 -2.306418602176934e-001 -1.373592475107004e-001 3.521149898222891e-001 2.843806924801114e-001 4.895611852181772e-001 -4.839247104854287e-001
2.049162303664922e+000 -2.242871360204931e-001 -1.179775564912916e-001 3.385522679181252e-001 3.062953218517682e-001 4.619437337510149e-001 -4.585000941780364e-001
2.057958115183246e+000 -2.165856993351321e-001 -9.876651008222152e-002 3.250821728427382e-001 3.314738679697570e-001 4.313678301064634e-001 -4.317178278700310e-001
2.066753926701571e+000 -2.074055293816873e-001 -7.992300373828427e-002 3.119512904696706e-001 3.601637506510074e-001 3.981409494198487e-001 -4.040028064600676e-001
2.075549738219896e+000 -1.965896683230455e-001 -6.160685755890663e-002 2.993794192660138e-001 3.925050527073076e-001 3.626770795581597e-001 -3.757410450438390e-001
2.084345549738220e+000 -1.839795297852350e-001 -4.393895263945802e-002 2.875299929308122e-001 4.285082104563147e-001 3.255201149286196e-001 -3.472306164210435e-001
2.093141361256545e+000 -1.694442321879604e-001 -2.700544949276241e-002 2.764882862018667e-001 4.680427176864648e-001 2.873687050315821e-001 -3.186544505035424e-001
2.101937172774870e+000 -1.529075790478140e-001 -1.086666249769880e-002 2.662560739047608e-001 5.108421369129298e-001 2.490879355947674e-001 -2.900841140993574e-001
2.110732984293194e+000 -1.343659971876818e-001 4.431059353701965e-003 2.567652080874741e-001 5.565244624195058e-001 2.116893488397917e-001 -2.615109482306343e-001
2.119528795811519e+000 -1.138952127674794e-001 1.884273773638558e-002 2.479061170950503e-001 6.046204260220766e-001 1.762659912959179e-001 -2.328890827231432e-001
