---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.UpdData = 2
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "..\Input\LowerBody-Runner-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
8.600000000000000e-01 1.559094867710078e+00 1.379803432024176e-01 2.102626643063548e-01 2.121352855581029e+00 -2.938004655853044e-01 2.279838566377679e-01
8.629943502824858e-01 1.579173180078354e+00 1.305336312273955e-01 1.956624259853995e-01 2.083036540445308e+00 -2.967858865989863e-01 2.414343962910034e-01
8.659887005649718e-01 1.597793473238820e+00 1.230669506827211e-01 1.813899488368099e-01 2.043154756002556e+00 -2.972803592308640e-01 2.542641378325032e-01
8.689830508474576e-01 1.614911533772997e+00 1.156691131122254e-01 1.675025942705756e-01 2.001787754941613e+00 -2.954953181742889e-01 2.663413260037272e-01
8.719774011299435e-01 1.630490476533055e+00 1.084287495202425e-01 1.540463943352612e-01 1.959006654189133e+00 -2.916352287893722e-01 2.775722217936472e-01
8.749717514124293e-01 1.644498269115636e+00 1.014319916082076e-01 1.410529481374231e-01 1.914874097131216e+00 -2.859117996903366e-01 2.878629096563142e-01
8.779661016949153e-01 1.656907178143101e+00 9.476058687379174e-02 1.285455479377924e-01 1.869443047976355e+00 -2.785156352938603e-01 2.971578916119986e-01
8.809604519774011e-01 1.667692157465174e+00 8.848994716738190e-02 1.165395226028784e-01 1.822757513549321e+00 -2.696181342235835e-01 3.054260455052379e-01
8.839548022598870e-01 1.676829680624949e+00 8.268744289680185e-02 1.050436579002587e-01 1.774853415641706e+00 -2.593700011938665e-01 3.126540388199631e-01
8.869491525423728e-01 1.684296994748914e+00 7.741096750730203e-02 9.406240164322213e-02 1.725759494575881e+00 -2.478964379016550e-01 3.188468738593779e-01
8.899435028248588e-01 1.690071647755783e+00 7.270780306432645e-02 8.359780474412258e-02 1.675498443448767e+00 -2.352940210907740e-01 3.240268908827788e-01
8.929378531073446e-01 1.694131286996222e+00 6.861378899282600e-02 7.365093768011818e-02 1.624088306822810e+00 -2.216305413764595e-01 3.282291248916827e-01
8.959322033898305e-01 1.696453837862511e+00 6.515273051125314e-02 6.422319405794945e-02 1.571543899924356e+00 -2.069443091650939e-01 3.314988408486280e-01
8.989265536723163e-01 1.697018009445026e+00 6.233610034560089e-02 5.531715185767607e-02 1.517878342765434e+00 -1.912443882634177e-01 3.338886644712984e-01
9.019209039548023e-01 1.695804114879881e+00 6.016305219456286e-02 4.693702455264596e-02 1.463104667773155e+00 -1.745112338562663e-01 3.354559932640905e-01
9.049152542372881e-01 1.692795138541450e+00 5.862076321158272e-02 3.908864471083593e-02 1.407237622679675e+00 -1.566979354772214e-01 3.362602866543158e-01
9.079096045197740e-01 1.687977924587930e+00 5.768509601306437e-02 3.177903461771759e-02 1.350295718572307e+00 -1.377317117428460e-01 3.363608706153989e-01
9.109039548022599e-01 1.681344496139547e+00 5.732161444107375e-02 2.501560357407738e-02 1.292303662597471e+00 -1.175160452474235e-01 3.358146701038236e-01
9.138983050847458e-01 1.672893576673056e+00 5.748696929350072e-02 1.880516822320902e-02 1.233295199845078e+00 -9.593318707123379e-02 3.346744938568167e-01
9.168926553672316e-01 1.662632383249095e+00 5.813065443241872e-02 1.315296023192625e-02 1.173316525152776e+00 -7.284729774115789e-02 3.329877252892179e-01
9.198870056497175e-01 1.650578701252166e+00 5.919711549763029e-02 8.061861488520167e-03 1.112430485368641e+00 -4.810857123863239e-02 3.307954010551171e-01
9.228813559322033e-01 1.636763378105624e+00 6.062821767153492e-02 3.532251809764294e-03 1.050721899269092e+00 -2.155900811012642e-02 3.281314578860517e-01
9.258757062146893e-01 1.621233330802109e+00 6.236610529521691e-02 -4.368406154224228e-04 9.883042727626188e-01 6.959271248353252e-03 3.250219883296941e-01
9.288700564971751e-01 1.604055293990112e+00 6.435647059045757e-02 -3.844275190059927e-03 9.253282952852979e-01 3.759200652131415e-02 3.214840755789349e-01
9.318644067796610e-01 1.585320409205917e+00 6.655214843403012e-02 -6.679688645620700e-03 8.619923443730689e-01 7.045583676322549e-02 3.175235919775196e-01
