---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.UpdData = 396
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\LowerBody-Runner-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
8.600000000000000e-001 3.321692941600687e-001 1.895062381828370e-001 -6.159876765727266e-002 7.761133192432027e-001 -4.468740340572262e-001 -7.257160419037022e-002
8.629943502824858e-001 3.028348020936096e-001 1.978885347929926e-001 -6.234196002136103e-002 7.682409791712643e-001 -4.188317877480392e-001 -7.604527089454501e-002
8.659887005649718e-001 2.732627584886213e-001 2.058439878117142e-001 -6.268264647684424e-002 7.589417807717143e-001 -3.881233912509456e-001 -7.938149508412000e-002
8.689830508474576e-001 2.436052074543722e-001 2.132891467254341e-001 -6.267819451015343e-002 7.484126701940242e-001 -3.549996884341152e-001 -8.244727745141611e-002
8.719774011299435e-001 2.140192181134221e-001 2.201506185232596e-001 -6.239881186443868e-002 7.368769617393485e-001 -3.197469348620843e-001 -8.512093939687811e-002
8.749717514124293e-001 1.846650867385992e-001 2.263677861616376e-001 -6.192262263719632e-002 7.245824389050848e-001 -2.826863495363198e-001 -8.729974962363113e-002
8.779661016949153e-001 1.557044063480068e-001 2.318947969578844e-001 -6.133015591468740e-002 7.117989073588719e-001 -2.441724992703546e-001 -8.890727652738482e-002
8.809604519774011e-001 1.272978816664158e-001 2.367017215511325e-001 -6.069867412488909e-002 6.988151275258271e-001 -2.045903116402472e-001 -8.990000092315503e-002
8.839548022598870e-001 9.960288729359042e-002 2.407748815835433e-001 -6.009681658744981e-002 6.859350397219537e-001 -1.643505446599046e-001 -9.027267080849338e-002
8.869491525423728e-001 7.277083820395214e-002 2.441163934459478e-001 -5.957998047077725e-002 6.734732373269281e-001 -1.238835856981994e-001 -9.006176063812969e-002
8.899435028248588e-001 4.694450722571321e-002 2.467429887370614e-001 -5.918674447260976e-002 6.617497176583836e-001 -8.363146570970838e-002 -8.934631814160139e-002
8.929378531073446e-001 2.225543957275439e-002 2.486842064706201e-001 -5.893652044425547e-002 6.510840063295196e-001 -4.403799711476490e-002 -8.824555778627066e-002
8.959322033898305e-001 -1.178372147190347e-003 2.499801189297954e-001 -5.882856368786540e-002 6.417888294349153e-001 -5.537111629397720e-003 -8.691285959209917e-002
8.989265536723163e-001 -2.325434610493219e-002 2.506788117638708e-001 -5.884245638765440e-002 6.341636539029217e-001 3.146005298074171e-002 -8.552637271628852e-002
9.019209039548023e-001 -4.388660174271752e-002 2.508338526209890e-001 -5.894002015221168e-002 6.284884354013499e-001 6.657827363189559e-002 -8.427705920211021e-002
9.049152542372881e-001 -6.300672914107096e-002 2.505018945981337e-001 -5.906846320256932e-002 6.250178983208840e-001 9.949023454003424e-002 -8.335536625009231e-002
9.079096045197740e-001 -8.056412453668245e-002 2.497405169095519e-001 -5.916445691496796e-002 6.239765669757480e-001 1.299264155346124e-001 -8.293771167193177e-002
9.109039548022599e-001 -9.652586326299141e-002 2.486064379529402e-001 -5.915878550608663e-002 6.255547347231164e-001 1.576823971443474e-001 -8.317389481535856e-002
9.138983050847458e-001 -1.108760481181591e-001 2.471542197925112e-001 -5.898118643039566e-002 6.299055228268246e-001 1.826233673701293e-001 -8.417648728070604e-002
9.168926553672316e-001 -1.236147048018140e-001 2.454354701583854e-001 -5.856498919744663e-002 6.371430701909459e-001 2.046856715300857e-001 -8.601306321972438e-002
9.198870056497175e-001 -1.347564297245723e-001 2.434984253835657e-001 -5.785117330695680e-002 6.473417699677767e-001 2.238753440476351e-001 -8.870174621783218e-002
9.228813559322033e-001 -1.443289660913215e-001 2.413877554685664e-001 -5.679151034038354e-002 6.605364155641704e-001 2.402638834754907e-001 -9.221013860468644e-002
9.258757062146893e-001 -1.523717604621822e-001 2.391444437062542e-001 -5.535056959369273e-002 6.767231568292194e-001 2.539818706284677e-001 -9.645739510953778e-002
9.288700564971751e-001 -1.589345000608314e-001 2.368056329541102e-001 -5.350654182239240e-002 6.958611840455549e-001 2.652109760952576e-001 -1.013190445086677e-001
9.318644067796610e-001 -1.640756043420821e-001 2.344043953056743e-001 -5.125097904072240e-002 7.178750837268282e-001 2.741746686167517e-001 -1.066341300618115e-001
9.348587570621469e-001 -1.678605791498042e-001 2.319694548701987e-001 -4.858757784593634e-002 7.426579266179867e-001 2.811279831251701e-001 -1.122141643112437e-001
