---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.UpdData = 396
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Input\LowerBody-Runner-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckLateralBending
col11  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckRotation
col12  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
8.600000000000000e-001 2.832029678699755e-001 -1.691552383150180e+000 9.482517568563210e-001 1.673555588117157e+000 4.152736896272684e-001 1.391749652862210e+000 1.305368220364763e-001 -1.215620818845823e-001 3.080654618077062e-001 -2.237471656096986e-002 1.027318403115958e-001 -5.003008361746535e-001
8.629943502824858e-001 2.833001024686296e-001 -1.662533612802663e+000 9.483873126281279e-001 1.677433993061043e+000 4.150736277877067e-001 1.396467311241384e+000 1.360937377783039e-001 -1.313967916918560e-001 3.175649659331078e-001 -2.755348126986658e-002 1.163606526265477e-001 -4.943413472635101e-001
8.659887005649718e-001 2.834063681843067e-001 -1.633339499922263e+000 9.486191331222837e-001 1.681267172584181e+000 4.147753023681062e-001 1.401496749929372e+000 1.415142618305915e-001 -1.413028132561797e-001 3.266075165072476e-001 -3.295981820183275e-002 1.300235630820786e-001 -4.881851661672307e-001
8.689830508474576e-001 2.835257022417318e-001 -1.604002778819844e+000 9.489413074693964e-001 1.685015615343408e+000 4.143957580516475e-001 1.406775701957520e+000 1.467825929387777e-001 -1.512466230577949e-001 3.352180611879772e-001 -3.857281080035911e-002 1.436896051156347e-001 -4.818819703970905e-001
8.719774011299435e-001 2.836622155971106e-001 -1.574554831570523e+000 9.493475767640348e-001 1.688637989564911e+000 4.139514407249880e-001 1.412237224128412e+000 1.518813218921318e-001 -1.611910805483802e-001 3.434258944042521e-001 -4.436844940315914e-002 1.573255790093368e-001 -4.754830031191522e-001
8.749717514124293e-001 2.838201040361162e-001 -1.545025500961350e+000 9.498315010549606e-001 1.692092214839306e+000 4.134575820129760e-001 1.417811326071337e+000 1.567912847424270e-001 -1.710960801780196e-001 3.512631695541222e-001 -5.032008628807433e-002 1.708972506505210e-001 -4.690421961009377e-001
8.779661016949153e-001 2.840035447515091e-001 -1.515442919641861e+000 9.503866109029286e-001 1.695336519335086e+000 4.129277340913806e-001 1.423426752916589e+000 1.614916707200175e-001 -1.809192736373212e-001 3.587633369294546e-001 -5.639911327023167e-002 1.843695869134782e-001 -4.626154197799058e-001
8.809604519774011e-001 2.842165825402691e-001 -1.485833360230522e+000 9.510065485153043e-001 1.698330463894566e+000 4.123733412003932e-001 1.429012834207679e+000 1.659601724157908e-001 -1.906168308373996e-001 3.659595523936758e-001 -6.257567046157368e-002 1.977070435501553e-001 -4.562596785106473e-001
8.839548022598870e-001 2.844630104013247e-001 -1.456221104486513e+000 9.516851991935743e-001 1.701035928662443e+000 4.118033195942199e-001 1.434501286665975e+000 1.701731239272926e-001 -2.001442596475006e-001 3.728831914556056e-001 -6.881936364424687e-002 2.108738926488121e-001 -4.500322769233738e-001
8.869491525423728e-001 2.847462505081095e-001 -1.426628333018662e+000 9.524168112112799e-001 1.703418045528979e+000 4.112236508170142e-001 1.439827878558165e+000 1.741056079451535e-001 -2.094572926170724e-001 3.795626017674040e-001 -7.509997840524728e-002 2.238346057659812e-001 -4.439899982746500e-001
8.899435028248588e-001 2.850692407211093e-001 -1.397075042318352e+000 9.531960997849881e-001 1.705446038236827e+000 4.106370234937966e-001 1.444933921940794e+000 1.777315417181317e-001 -2.185128037335810e-001 3.860221675234124e-001 -8.138817705798751e-002 2.365543485602790e-001 -4.381883102765657e-001
8.929378531073446e-001 2.854343303394806e-001 -1.367578993967934e+000 9.540183306701754e-001 1.707093936789308e+000 4.100425598559612e-001 1.449767604274499e+000 1.810237563378887e-001 -2.272696926307625e-001 3.922816610183417e-001 -8.765615070375636e-002 2.489996127287139e-001 -4.326805939660703e-001
8.959322033898305e-001 2.858431907223687e-001 -1.338155696605692e+000 9.548793772374909e-001 1.708341155066153e+000 4.094356740540033e-001 1.454285143980657e+000 1.839541147145562e-001 -2.356896976614630e-001 3.983557919836887e-001 -9.387818185842899e-002 2.611388928147890e-001 -4.275174220336810e-001
8.989265536723163e-001 2.862967492373956e-001 -1.308818427597182e+000 9.557757424395230e-001 1.709172927514488e+000 4.088081316811858e-001 1.458451684128740e+000 1.864937385175904e-001 -2.437381396128613e-001 4.042539290533517e-001 -1.000310736425402e-001 2.729432697394960e-001 -4.227459553710099e-001
9.019209039548023e-001 2.867951503696725e-001 -1.279578295349505e+000 9.567045445878190e-001 1.709580611308261e+000 4.081483215286581e-001 1.462241877571185e+000 1.886133494258742e-001 -2.513846077581174e-001 4.099800404719711e-001 -1.060944466005180e-001 2.843868760398156e-001 -4.184094661184794e-001
9.049152542372881e-001 2.873377504153117e-001 -1.250444330478826e+000 9.576634732660562e-001 1.709561813200270e+000 4.074416546376776e-001 1.465640142695088e+000 1.902836510677462e-001 -2.586035252106007e-001 4.155328813844094e-001 -1.120509228168762e-001 2.954472529310951e-001 -4.145469379393825e-001
9.079096045197740e-001 2.879231499694141e-001 -1.221423588031364e+000 9.586507230960087e-001 1.709120307305638e+000 4.066710086816558e-001 1.468640586051956e+000 1.914756955315786e-001 -2.653745295333081e-001 4.209063924413950e-001 -1.178862152724475e-001 3.061055732683127e-001 -4.111927187408539e-001
9.109039548022599e-001 2.885492593171778e-001 -1.192521260998126e+000 9.596649082576954e-001 1.708265770248112e+000 4.058172320583500e-001 1.471246577336559e+000 1.921612550145261e-001 -2.716826882070376e-001 4.260902982678046e-001 -1.235891287664699e-001 3.163467261070484e-001 -4.083762526451390e-001
9.138983050847458e-001 2.892133845862731e-001 -1.163740817255981e+000 9.607049589511729e-001 1.707013395428036e+000 4.048597621667800e-001 1.473469975022081e+000 1.923132492228898e-001 -2.775186123591603e-001 4.310709205184602e-001 -1.291514703717865e-001 3.261593059179865e-001 -4.061219199054894e-001
9.168926553672316e-001 2.899123232082537e-001 -1.135084161169023e+000 9.617700056049430e-001 1.705383425794963e+000 4.037773443554629e-001 1.475330046204427e+000 1.919062338675504e-001 -2.828784889081506e-001 4.358321848164903e-001 -1.345678670509256e-001 3.355355487238630e-001 -4.044489670541118e-001
9.198870056497175e-001 2.906424623090862e-001 -1.106551804195847e+000 9.628592613547626e-001 1.703400601675555e+000 4.025487586138494e-001 1.476852167496444e+000 1.909169041098274e-001 -2.877639865325186e-001 4.403567411899882e-001 -1.398354944645990e-001 3.444712172772176e-001 -4.033714721436068e-001
9.228813559322033e-001 2.913998763317563e-001 -1.078143027802541e+000 9.639719113940576e-001 1.701093500344973e+000 4.011534725490127e-001 1.478066412093689e+000 1.893245809828699e-001 -2.921819741530649e-001 4.446270939531026e-001 -1.449537319821291e-001 3.529654282175658e-001 -4.028982966743360e-001
9.258757062146893e-001 2.921804215242683e-001 -1.049856034301259e+000 9.651070122982268e-001 1.698493736067007e+000 3.995721949639912e-001 1.479006114769353e+000 1.871116799359208e-001 -2.961439983960678e-001 4.486266489381974e-001 -1.499237643962831e-001 3.610204321529896e-001 -4.030330299271427e-001
9.288700564971751e-001 2.929798258473635e-001 -1.021688085505342e+000 9.662634023206896e-001 1.695635009966175e+000 3.977873252530664e-001 1.479706494179659e+000 1.842641580871554e-001 -2.996654997647950e-001 4.523406057530234e-001 -1.547481483482483e-001 3.686413561431355e-001 -4.037739720682129e-001
9.318644067796610e-001 2.937937735306585e-001 -9.936356282444706e-001 9.674396223720257e-001 1.692552032859339e+000 3.957833085015765e-001 1.480203390323368e+000 1.807719497103613e-001 -3.027647999279549e-001 4.557566670429167e-001 -1.594303560952458e-001 3.758359131290776e-001 -4.051141768873126e-001
9.348587570621469e-001 2.946179823814690e-001 -9.656944149478230e-001 9.686338463840784e-001 1.689279370374308e+000 3.935469256143345e-001 1.480532143470911e+000 1.766294031128090e-001 -3.054619337706478e-001 4.588655724102272e-001 -1.639743143778204e-001 3.826140823058877e-001 -4.070415517629238e-001
9.378531073446328e-001 2.954482688438722e-001 -9.378596303939556e-001 9.698438197249830e-001 1.685850297402966e+000 3.910675707970710e-001 1.480726649549116e+000 1.718357462518975e-001 -3.077774391668267e-001 4.616614440736259e-001 -1.683839658433431e-001 3.889877553713499e-001 -4.095389953763288e-001
9.408474576271186e-001 2.962805965121788e-001 -9.101260319210571e-001 9.710668064988554e-001 1.682295756209444e+000 3.883375647612111e-001 1.480818637216955e+000 1.663955966955447e-001 -3.097312135516148e-001 4.641418843902708e-001 -1.726628749951135e-001 3.949703160971375e-001 -4.125845755346149e-001
9.438418079096045e-001 2.971111069930395e-001 -8.824881038345021e-001 9.722995491712766e-001 1.678643499072696e+000 3.853525353551250e-001 1.480837208823751e+000 1.603195158423852e-001 -3.113415343107918e-001 4.663077575929410e-001 -1.768139045573754e-001 4.005761290226246e-001 -4.161517575827578e-001
9.468361581920904e-001 2.979361336256150e-001 -8.549402249320567e-001 9.735382442535180e-001 1.674917488784984e+000 3.821118963427597e-001 1.480808674321385e+000 1.536246102084682e-001 -3.126243508000184e-001 4.681626269434778e-001 -1.808390036978978e-001 4.058199588568162e-001 -4.202096750906781e-001
9.498305084745763e-001 2.987521968352770e-001 -8.274768501907351e-001 9.747785356927253e-001 1.671137638285274e+000 3.786194623948949e-001 1.480756692038163e+000 1.463351862344978e-001 -3.135929737823783e-001 4.697118600265855e-001 -1.847391485168911e-001 4.107163740469180e-001 -4.247234273486089e-001
9.528248587570621e-001 2.995559775444863e-001 -8.000927051813888e-001 9.760155257585707e-001 1.667319970535235e+000 3.748842112378132e-001 1.480702701755991e+000 1.384834297174677e-001 -3.142582688579217e-001 4.709614417644784e-001 -1.885144435109551e-001 4.152791748780921e-001 -4.296544149605990e-001
9.558192090395480e-001 3.003442650777887e-001 -7.727829824283374e-001 9.772438039821745e-001 1.663477248194613e+000 3.709211267790544e-001 1.480666600438904e+000 1.301100026889281e-001 -3.146293952344619e-001 4.719165622741804e-001 -1.921643688062059e-001 4.195208626389033e-001 -4.349607486464207e-001
9.588135593220339e-001 3.011138821876088e-001 -7.455435192750606e-001 9.784574938315096e-001 1.659620032123791e+000 3.667519912711059e-001 1.480667554912126e+000 1.212644228819023e-001 -3.147150272163978e-001 4.725801039910771e-001 -1.956881578628271e-001 4.234521594641521e-001 -4.405977286782495e-001
9.618079096045198e-001 3.018616004118745e-001 -7.183709330546231e-001 9.796503153118038e-001 1.655758000062121e+000 3.624059505567845e-001 1.480724789178074e+000 1.120050913556915e-001 -3.145248558539532e-001 4.729512100803113e-001 -1.990852627634765e-001 4.270815875296996e-001 -4.465183831508017e-001
9.648022598870056e-001 3.025840701125888e-001 -6.912626877591104e-001 9.808156606151895e-001 1.651901236390670e+000 3.579196384563630e-001 1.480858146120063e+000 1.023988221858158e-001 -3.140710222953279e-001 4.730241660923462e-001 -2.023558021316630e-001 4.304151277681215e-001 -4.526741033515893e-001
9.677966101694915e-001 3.032777941593717e-001 -6.642170695509354e-001 9.819466841181115e-001 1.648061133921919e+000 3.533365609844041e-001 1.481088198358262e+000 9.251957629042187e-002 -3.133691127687558e-001 4.727882059033493e-001 -2.055007105579474e-001 4.334579954546309e-001 -4.590180400425044e-001
9.707909604519774e-001 3.039391971763864e-001 -6.372330358320323e-001 9.830363856074300e-001 1.644250603462505e+000 3.487059488830375e-001 1.481435810261628e+000 8.244720974192105e-002 -3.124379836534567e-001 4.722264519922977e-001 -2.085224594074221e-001 4.362066025306230e-001 -4.654954781837308e-001
9.737853107344633e-001 3.045647388119319e-001 -6.103099961839847e-001 9.840777407371147e-001 1.640483526062656e+000 3.440801513239957e-001 1.481921049138310e+000 7.226407253587369e-002 -3.112992651366156e-001 4.713190643600810e-001 -2.114239446241941e-001 4.386607836401106e-001 -4.720605983732709e-001
