---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.UpdData = 2
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.FileName = "..\Input\FullBody-GaitNormal_1-euler-leftarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
1.560000000000000e+00 -6.397196565855515e-01 4.355649143462190e-01 1.979243091738041e-01 -3.578426887757049e-01 3.784167557479129e-01 9.161043369231298e-01 6.373464974296867e-01 4.786586043340857e-02 -5.778538103147355e-02
1.569795918367347e+00 -6.382688944085165e-01 4.350635486581198e-01 1.930267430368104e-01 -3.619860826921936e-01 3.751641161682941e-01 9.201722692675207e-01 6.383626143343133e-01 4.768959369212156e-02 -5.655230074022147e-02
1.579591836734694e+00 -6.367907796670631e-01 4.343491629413412e-01 1.867379624048844e-01 -3.654858569221780e-01 3.716111420564626e-01 9.237552971346055e-01 6.397397235452880e-01 4.705258542608060e-02 -5.522144723568794e-02
1.589387755102041e+00 -6.352671982658634e-01 4.334159478093933e-01 1.788841123336933e-01 -3.682171405939308e-01 3.677209055872405e-01 9.266910583444904e-01 6.415196376664350e-01 4.596032914817161e-02 -5.380861888237393e-02
1.599183673469388e+00 -6.336860401699462e-01 4.322508873937145e-01 1.693409857317363e-01 -3.700870341395953e-01 3.634416865527017e-01 9.287860313058517e-01 6.437054432598666e-01 4.446142188230673e-02 -5.233072570329570e-02
1.608979591836735e+00 -6.320310833230405e-01 4.308644053341597e-01 1.580637654467771e-01 -3.710434176566197e-01 3.587294226065580e-01 9.298360067834924e-01 6.462572347947790e-01 4.265678874486989e-02 -5.081042952318936e-02
1.618775510204082e+00 -6.302888447782793e-01 4.292873881668382e-01 1.450947908219904e-01 -3.710843730488499e-01 3.535546286110972e-01 9.296280865478963e-01 6.490804931721448e-01 4.068635755998451e-02 -4.928270875787586e-02
1.628571428571429e+00 -6.284431732330663e-01 4.275706892222493e-01 1.305558490730427e-01 -3.702594868876573e-01 3.479081930862249e-01 9.279489331943769e-01 6.520235850418171e-01 3.870002959004082e-02 -4.779703352674115e-02
1.638367346938776e+00 -6.264711607450136e-01 4.257781122766668e-01 1.146351328930111e-01 -3.686660014431695e-01 3.418039998082878e-01 9.245948941587502e-01 6.548894532872962e-01 3.682612237174521e-02 -4.641568139634689e-02
1.648163265306122e+00 -6.243476350571673e-01 4.239737832665389e-01 9.757435775561185e-02 -3.664395484280852e-01 3.352779718777192e-01 9.193815569835523e-01 6.574641135844845e-01 3.515089642846481e-02 -4.520964656417614e-02
1.657959183673470e+00 -6.220566155154048e-01 4.222094395873248e-01 7.965765448832340e-02 -3.637409957947206e-01 3.283840403904587e-01 9.121516637920357e-01 6.595527057891483e-01 3.371272000453085e-02 -4.424992422204902e-02
1.667755102040816e+00 -6.196037794446847e-01 4.205161161449193e-01 6.119725910466767e-02 -3.607396696520819e-01 3.211885100808771e-01 9.027836744227343e-01 6.610134213864874e-01 3.250696370738804e-02 -4.359574454731843e-02
1.677551020408163e+00 -6.170312478294335e-01 4.188961295955580e-01 4.251779053676841e-02 -3.575979928237534e-01 3.137630093718663e-01 8.912003742423349e-01 6.617793189611541e-01 3.149872216380412e-02 -4.328626090243380e-02
1.687346938775510e+00 -6.143969217243270e-01 4.173441248530410e-01 2.390739043293477e-02 -3.544363135210983e-01 3.061810844167774e-01 8.773840761543497e-01 6.618939219683736e-01 3.063180927984743e-02 -4.332775293657366e-02
1.697142857142857e+00 -6.117997709467565e-01 4.158232248614033e-01 5.629357683239800e-03 -3.513498993965057e-01 2.985055288071030e-01 8.613696698344685e-01 6.614947916717662e-01 2.985106464933596e-02 -4.369920306148690e-02
1.706938775510204e+00 -6.093405156739702e-01 4.142954296000338e-01 -1.212196108260954e-02 -3.483848893283467e-01 2.907882482336751e-01 8.432506475160270e-01 6.608224526307264e-01 2.910251613614889e-02 -4.434777653130070e-02
1.716734693877551e+00 -6.071110269317215e-01 4.127248053091273e-01 -2.922569565516242e-02 -3.455427370452976e-01 2.830697880183916e-01 8.231721659081256e-01 6.601790851515470e-01 2.833755571764263e-02 -4.519797333738409e-02
1.726530612244898e+00 -6.051791443199318e-01 4.110840784421592e-01 -4.563782722101672e-02 -3.427843720735444e-01 2.753839118396891e-01 8.013244483650098e-01 6.598801160226226e-01 2.751839428127911e-02 -4.616282673488212e-02
1.736326530612245e+00 -6.035794378100948e-01 4.093579942816827e-01 -6.138681287666103e-02 -3.400373614462839e-01 2.677640326788528e-01 7.779359898085847e-01 6.602081764481287e-01 2.662110515826144e-02 -4.715612345445818e-02
1.746122448979592e+00 -6.023143169896813e-01 4.075425311968770e-01 -7.656127732990958e-02 -3.372031157568344e-01 2.602489653052975e-01 7.532670479508897e-01 6.613691453225947e-01 2.562695481681931e-02 -4.810388475811803e-02
