---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.UpdData = 689
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "..\Input\FullBody-GaitNormal_1-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
1.560000000000000e+000 -1.186995324759131e-001 -3.671833586407414e-002 2.157363179970281e-001 3.109886782706212e-001 -4.211564974468599e-001 -2.335788218756464e-001
1.569795918367347e+000 -1.271728586876397e-001 -2.907410271937061e-002 2.058128097172718e-001 3.202907160919537e-001 -4.101308284215855e-001 -2.389414353727699e-001
1.579591836734694e+000 -1.352999292806071e-001 -2.080280495138243e-002 1.950847785971363e-001 3.298284177897522e-001 -3.962095267449256e-001 -2.421959212832063e-001
1.589387755102041e+000 -1.428589217966867e-001 -1.194089576440649e-002 1.836789479763267e-001 3.399185796170222e-001 -3.792050377004004e-001 -2.431917185149023e-001
1.599183673469388e+000 -1.496162864929193e-001 -2.540608796076871e-003 1.717189918187168e-001 3.509930732112703e-001 -3.589433216515631e-001 -2.418093126590089e-001
1.608979591836735e+000 -1.553342275765534e-001 7.302515105983787e-003 1.593446738402451e-001 3.635554969337527e-001 -3.353256974992784e-001 -2.380055017642849e-001
1.618775510204082e+000 -1.597677900126842e-001 1.744978983365386e-002 1.467250274811553e-001 3.781613560477836e-001 -3.083416121783758e-001 -2.318400593695868e-001
1.628571428571429e+000 -1.626594174047895e-001 2.772745248248687e-002 1.340580588070038e-001 3.953919870174421e-001 -2.780827656284826e-001 -2.234879336339251e-001
1.638367346938776e+000 -1.637305257903704e-001 3.794109293593206e-002 1.215566633850888e-001 4.158230285968456e-001 -2.447617135288514e-001 -2.132274162261529e-001
1.648163265306122e+000 -1.626793818265551e-001 4.789397260923178e-002 1.094299696212188e-001 4.399867100181263e-001 -2.087400450040958e-001 -2.014062727079373e-001
1.657959183673470e+000 -1.591965289648020e-001 5.740561946810630e-002 9.786401686953368e-002 4.683261489422405e-001 -1.705661416689785e-001 -1.883881392649857e-001
1.667755102040816e+000 -1.529981412828053e-001 6.632749518048575e-002 8.699863529722632e-002 5.011439980686850e-001 -1.310131110977711e-001 -1.744858354501378e-001
1.677551020408163e+000 -1.438669295846645e-001 7.455180371648584e-002 7.690270719539216e-002 5.385540911191933e-001 -9.109986167011415e-002 -1.599012081121052e-001
1.687346938775510e+000 -1.316881664922060e-001 8.200932497797919e-002 6.755909282422870e-002 5.804477883077208e-001 -5.207217924798106e-002 -1.446973267611525e-001
1.697142857142857e+000 -1.164717973380734e-001 8.865685927554678e-002 5.887105072962268e-002 6.264840071910363e-001 -1.532494673944435e-002 -1.288186631620839e-001
1.706938775510204e+000 -9.835586709475006e-002 9.446143873461721e-002 5.069390839367036e-002 6.761058943912420e-001 1.772759211809696e-002 -1.121535441841968e-001
1.716734693877551e+000 -7.758981044901915e-002 9.938912072365724e-002 4.288237215660838e-002 7.285815655651441e-001 4.579686026247359e-002 -9.461141647237017e-002
1.726530612244898e+000 -5.450082182028572e-002 1.034015156248411e-001 3.533479998651880e-002 7.830614203614742e-001 6.784353937245627e-002 -7.617990940945066e-002
1.736326530612245e+000 -2.945211794749355e-002 1.064600070685324e-001 2.801957418377930e-002 8.386402683073079e-001 8.317050412311416e-002 -5.694178639776545e-002
1.746122448979592e+000 -2.803307011719412e-003 1.085362742427272e-001 2.097887933378135e-002 8.944111773293949e-001 9.149277914306801e-002 -3.705730210592863e-002
1.755918367346939e+000 2.511979357044255e-002 1.096248881575210e-001 1.431214290030808e-002 9.495023727712362e-001 9.297883037701188e-002 -1.673420290066150e-002
1.765714285714286e+000 5.404214880271797e-002 1.097505482288816e-001 8.145647334017602e-003 1.003098204232579e+000 8.823689234807600e-002 3.789358353091416e-003
1.775510204081633e+000 8.374180517067222e-002 1.089651388240487e-001 2.601912658555044e-003 1.054451700211106e+000 7.822737812185730e-002 2.423390338316302e-002
1.785306122448980e+000 1.140395514627078e-001 1.073391678989493e-001 -2.216504008770688e-003 1.102895294865248e+000 6.411722307115149e-002 4.424694555420439e-002
