---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.UpdData = 2
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\FullBody-GaitNormal_1-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.560000000000000e+00 6.057247921917509e-01 8.756140864532824e-02 2.944034918999640e-01 2.288628838566955e-01 -1.291117160835010e-01 -8.068524208467219e-02
1.569795918367347e+00 6.044884566595763e-01 8.585097663064567e-02 2.889758946757974e-01 2.362357654411829e-01 -1.270609482167732e-01 -6.158229611020452e-02
1.579591836734694e+00 6.036663140075406e-01 8.302424435215183e-02 2.820847447416854e-01 2.457188265236348e-01 -1.225875078919769e-01 -3.977334900467400e-02
1.589387755102041e+00 6.032135232033085e-01 7.896091311209941e-02 2.737807868754013e-01 2.572953824758272e-01 -1.155615108329583e-01 -1.580546104581158e-02
1.599183673469388e+00 6.030183519175870e-01 7.356517754679581e-02 2.641755198604748e-01 2.707957100292080e-01 -1.060509063287745e-01 9.532667147494844e-03
1.608979591836735e+00 6.028882204995637e-01 6.680715853128039e-02 2.533929912034334e-01 2.858865016626114e-01 -9.447204031445669e-02 3.524935016455288e-02
1.618775510204082e+00 6.025558814965024e-01 5.872936904392323e-02 2.415315838473351e-01 3.021461362855778e-01 -8.158561572490801e-02 6.032106788819189e-02
1.628571428571429e+00 6.016992200390938e-01 4.944953616456660e-02 2.287112307084367e-01 3.191206848395516e-01 -6.837588886239937e-02 8.386707022102910e-02
1.638367346938776e+00 5.999705581249433e-01 3.916095721809354e-02 2.151380821142192e-01 3.363355265746125e-01 -5.588320985552739e-02 1.052924544049055e-01
1.648163265306122e+00 5.970319287301498e-01 2.812754688691421e-02 2.011237344092345e-01 3.532891825145273e-01 -4.506592256154573e-02 1.243409310103692e-01
1.657959183673470e+00 5.925931787330943e-01 1.667077129916250e-02 1.870687398968820e-01 3.694743872150139e-01 -3.669989999184945e-02 1.410111180646924e-01
1.667755102040816e+00 5.864439109897491e-01 5.145545573169263e-03 1.734353215423332e-01 3.844271392954352e-01 -3.130833055622957e-02 1.553777134695959e-01
1.677551020408163e+00 5.784693827186691e-01 -6.094288931643765e-03 1.607118089657096e-01 3.977688111221480e-01 -2.913700742599237e-02 1.674355310409581e-01
1.687346938775510e+00 5.686505039104749e-01 -1.673115329735109e-02 1.493692702198713e-01 4.092210637688779e-01 -3.017954411371922e-02 1.770569636265050e-01
1.697142857142857e+00 5.570444987810133e-01 -2.651040852254627e-02 1.398158626885941e-01 4.185974891532442e-01 -3.422638755184975e-02 1.840576537361510e-01
1.706938775510204e+00 5.437632228831727e-01 -3.525249320215029e-02 1.323505086923057e-01 4.257913416224776e-01 -4.091850291020603e-02 1.882877708811295e-01
1.716734693877551e+00 5.289502988606996e-01 -4.285343806733777e-02 1.271285837428186e-01 4.307646876407871e-01 -4.979875350504067e-02 1.896775869921955e-01
1.726530612244898e+00 5.127656445881268e-01 -4.927563942489255e-02 1.241504691825447e-01 4.335390296816025e-01 -6.036082837696247e-02 1.882372046775931e-01
1.736326530612245e+00 4.953774532304079e-01 -5.453369816340592e-02 1.232730351187291e-01 4.341847371192307e-01 -7.208917628723450e-02 1.840534819714702e-01
1.746122448979592e+00 4.769599186473387e-01 -5.868109562302992e-02 1.242352799110969e-01 4.328101299983328e-01 -8.448702593001658e-02 1.773013632349740e-01
1.755918367346939e+00 4.576948089899421e-01 -6.180036645833065e-02 1.266908394277736e-01 4.295531403972659e-01 -9.709818879664234e-02 1.682516572388613e-01
1.765714285714286e+00 4.377724375073245e-01 -6.399484131952882e-02 1.302437521277067e-01 4.245763946155020e-01 -1.095283486194472e-01 1.572606753799883e-01
1.775510204081633e+00 4.173947627168784e-01 -6.537872591745608e-02 1.344816370080602e-01 4.180645834633400e-01 -1.214646128564736e-01 1.447449345999593e-01
1.785306122448980e+00 3.967593089113930e-01 -6.606797086882699e-02 1.390068030418289e-01 4.102176010318824e-01 -1.326854334318236e-01 1.311452249383869e-01
