---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.UpdData = 437
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "..\Input\LowerBody-GaitNormal_1-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
1.560000000000000e+000 -1.243172238000159e-001 -3.649617352455015e-002 2.150258558661821e-001 3.104581850066517e-001 -4.216126614891117e-001 -2.331874797708564e-001
1.569795918367347e+000 -1.327813448515498e-001 -2.877766183569541e-002 2.051542472640650e-001 3.197609013955965e-001 -4.105978761431178e-001 -2.386073193200636e-001
1.579591836734694e+000 -1.408929358038003e-001 -2.042669036776856e-002 1.944800407402405e-001 3.293021272029639e-001 -3.966892764941925e-001 -2.419201697681528e-001
1.589387755102041e+000 -1.484337785593448e-001 -1.148025140513798e-002 1.831291787568315e-001 3.393983713772768e-001 -3.796990148875186e-001 -2.429742927882219e-001
1.599183673469388e+000 -1.551715575826479e-001 -1.991266242834078e-003 1.712243905937218e-001 3.504821678758243e-001 -3.594531124765234e-001 -2.416493588136383e-001
1.608979591836735e+000 -1.608698752280156e-001 7.943607519210749e-003 1.589042483965428e-001 3.630578771255834e-001 -3.358529666770785e-001 -2.379012772173385e-001
1.618775510204082e+000 -1.652851240741276e-001 1.818413351925474e-002 1.463362927187467e-001 3.776818329571363e-001 -3.088880276249229e-001 -2.317888270207264e-001
1.628571428571429e+000 -1.681608234484160e-001 2.855467135993695e-002 1.337167651789751e-001 3.949362219068575e-001 -2.786498153202930e-001 -2.234858961461993e-001
1.638367346938776e+000 -1.692189537141358e-001 3.885876283063316e-002 1.212566460583772e-001 4.153975082833543e-001 -2.453504349798018e-001 -2.132697743151347e-001
1.648163265306122e+000 -1.681576292459087e-001 4.889758138658973e-002 1.091631801391677e-001 4.395986524139750e-001 -2.093507081239053e-001 -2.014874531867603e-001
1.657959183673470e+000 -1.646664406607379e-001 5.848862408339040e-002 9.762076534871418e-002 4.679832922443051e-001 -1.711979593163223e-001 -1.885021695705536e-001
1.667755102040816e+000 -1.584598880778258e-001 6.748149050882568e-002 8.676802731933192e-002 5.008542347420220e-001 -1.316640682384834e-001 -1.746267571888349e-001
1.677551020408163e+000 -1.493185340155715e-001 7.576681859454459e-002 7.667320886164344e-002 5.383249458801377e-001 -9.176672233175900e-002 -1.600633818922000e-001
1.687346938775510e+000 -1.371253977914316e-001 8.327420611492720e-002 6.731914802830978e-002 5.802858149017004e-001 -5.275068782951370e-002 -1.448755624286157e-001
1.697142857142857e+000 -1.218884593689419e-001 8.995966659153099e-002 5.860969343278517e-002 6.263942482397163e-001 -1.601019054748542e-002 -1.290082327580524e-001
1.706938775510204e+000 -1.037444215889819e-001 9.578978745209321e-002 5.040130901490944e-002 6.760915316875654e-001 1.704076817500499e-002 -1.123501540966060e-001
1.716734693877551e+000 -8.294224121416154e-002 1.007304412917705e-001 4.255024424760254e-002 7.286437955644044e-001 4.511353648389643e-002 -9.481114611372452e-002
1.726530612244898e+000 -5.980957824740038e-002 1.047432272682318e-001 3.495662277232784e-002 7.831995229153573e-001 6.716858616506402e-002 -7.637909926404794e-002
1.736326530612245e+000 -3.471088081202637e-002 1.077896229775683e-001 2.759065465875344e-002 8.388518377822454e-001 8.250859496448658e-002 -5.713691004894617e-002
1.746122448979592e+000 -8.007353145927824e-003 1.098414854949616e-001 2.049631599605920e-002 8.946924867071019e-001 9.084846193594549e-002 -3.724488363105233e-002
1.755918367346939e+000 1.997366639384135e-002 1.108936754266015e-001 1.377473565578626e-002 9.498488116910375e-001 9.235658645130518e-002 -1.691080491602150e-002
1.765714285714286e+000 4.895602200075549e-002 1.109713331083493e-001 7.553768072263985e-003 1.003504718155419e+000 8.764113864577253e-002 3.627092653574655e-003
1.775510204081633e+000 7.871720583963404e-002 1.101269607294642e-001 1.957347379308486e-003 1.054913171677251e+000 7.766239130711450e-002 2.408918479418380e-002
1.785306122448980e+000 1.090780251363982e-001 1.084318999756657e-001 -2.910719839260777e-003 1.103406836524704e+000 6.358699111833210e-002 4.412276392308470e-002
