---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.UpdData = 2
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\LowerBody-GaitNormal_1-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.560000000000000e+00 6.059903479504777e-01 8.880534547458252e-02 2.918298434337872e-01 2.297302523896136e-01 -1.295458333489203e-01 -7.760488402515352e-02
1.569795918367347e+00 6.047389650175040e-01 8.704287987400217e-02 2.864411619190752e-01 2.370883243424454e-01 -1.274552966325003e-01 -5.852056187828791e-02
1.579591836734694e+00 6.039020036881594e-01 8.415890268556958e-02 2.795951893043293e-01 2.465561327536966e-01 -1.229362332563831e-01 -3.673620781437619e-02
1.589387755102041e+00 6.034319298794814e-01 8.003270931756479e-02 2.713438023721918e-01 2.581157230169973e-01 -1.158586461179947e-01 -1.279860417711852e-02
1.599183673469388e+00 6.032162811027686e-01 7.456854762365617e-02 2.617986040350782e-01 2.715961601635861e-01 -1.062911232226187e-01 1.250515710903196e-02
1.608979591836735e+00 6.030617100601543e-01 6.773681307188739e-02 2.510831632369385e-01 2.866629296903510e-01 -9.465111798093373e-02 3.818570748751670e-02
1.618775510204082e+00 6.027006246857936e-01 5.958058804609445e-02 2.392949240551775e-01 3.028935698566017e-01 -8.170082847914213e-02 6.322199599896045e-02
1.628571428571429e+00 6.018111270486284e-01 5.021843527986380e-02 2.265526494780608e-01 3.198338164794943e-01 -6.842612689525764e-02 8.673552863799093e-02
1.638367346938776e+00 6.000464094281351e-01 3.984471715586491e-02 2.130611642062968e-01 3.370092412355495e-01 -5.586883986649643e-02 1.081334025542770e-01
1.648163265306122e+00 5.970700125680527e-01 2.872456414287528e-02 1.991305646094453e-01 3.539190454710279e-01 -4.498850338059825e-02 1.271611327345756e-01
1.657959183673470e+00 5.925937841416077e-01 1.718070760685841e-02 1.851597564700130e-01 3.700570911399658e-01 -3.656198602556573e-02 1.438188026765065e-01
1.667755102040816e+00 5.864095673884494e-01 5.569296135096824e-03 1.716092938557298e-01 3.849609079171631e-01 -3.111353889394366e-02 1.581818764570024e-01
1.677551020408163e+00 5.784052187400612e-01 -5.754568043701447e-03 1.589658708063288e-01 3.982538638235233e-01 -2.889044376993675e-02 1.702448717368167e-01
1.687346938775510e+00 5.685623602095856e-01 -1.647245045334511e-02 1.476995062097582e-01 4.096592062156889e-01 -2.988764084750122e-02 1.798790099069348e-01
1.697142857142857e+00 5.569396492862688e-01 -2.632859605070603e-02 1.382172883512535e-01 4.189925137699489e-01 -3.389746802009883e-02 1.868977556375848e-01
1.706938775510204e+00 5.436490062344576e-01 -3.514252390000538e-02 1.308175576567208e-01 4.261484695995829e-01 -4.056243923916204e-02 1.911486791843484e-01
1.716734693877551e+00 5.288332668732311e-01 -4.280946204084368e-02 1.256554889534578e-01 4.310899776402667e-01 -4.942652540455784e-02 1.925593812610527e-01
1.726530612244898e+00 5.126508477678963e-01 -4.929119038953100e-02 1.227316061628279e-01 4.338386368155162e-01 -5.998387442710900e-02 1.911376305978505e-01
1.736326530612245e+00 4.952680037955383e-01 -5.460193889143983e-02 1.219031870725117e-01 4.344641915723935e-01 -7.171865135051790e-02 1.869685610742702e-01
1.746122448979592e+00 4.768569214138519e-01 -5.879507660894245e-02 1.229098184871371e-01 4.330738237427215e-01 -8.413311258941768e-02 1.802260584735387e-01
1.755918367346939e+00 4.575976195468707e-01 -6.195324287580206e-02 1.254058413876038e-01 4.298041135276349e-01 -9.676958584241477e-02 1.711804129848042e-01
1.765714285714286e+00 4.376803600724039e-01 -6.417989502596333e-02 1.289958381626258e-01 4.248166414664484e-01 -1.092321445053098e-01 1.601878112370640e-01
1.775510204081633e+00 4.173039149794360e-01 -6.558979888782757e-02 1.332687431681376e-01 4.182946228413677e-01 -1.212058130491289e-01 1.476645757868092e-01
1.785306122448980e+00 3.966669183836751e-01 -6.629913914640451e-02 1.378274620053319e-01 4.104375890396020e-01 -1.324675735568458e-01 1.340514967561697e-01
