---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.UpdData = 437
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Input\LowerBody-GaitNormal_1-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckLateralBending
col11  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckRotation
col12  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
1.560000000000000e+000 -8.179642605611444e-002 8.921003822003458e-001 -3.268116059840402e-001 1.331671576727324e-002 9.773132440503840e-002 -1.213697051927685e-001 5.891145019623015e-002 -2.900860662546859e-003 -1.327248387628425e-001 -1.951563910473908e-018 5.583641188300348e-018 -1.387778780781446e-017
1.569795918367347e+000 -6.858646337078288e-002 8.908170826609495e-001 -3.265188721553034e-001 1.008274396932973e-002 1.030007266591126e-001 -1.227359289158483e-001 6.173985090594644e-002 3.363387662332817e-003 -1.351442678616041e-001 -8.673617379884034e-019 -1.029992063861229e-018 4.857225732735059e-017
1.579591836734694e+000 -5.514031300446165e-002 8.896931398128841e-001 -3.261381860769176e-001 6.209510588018745e-003 1.075893430940342e-001 -1.242977571815748e-001 6.490276058051737e-002 1.049580185368539e-002 -1.374352320883038e-001 6.505213034913025e-018 4.662069341687668e-018 -1.387778780781445e-017
1.589387755102041e+000 -4.151723827953124e-002 8.887776025915063e-001 -3.256578383490462e-001 1.679626387881830e-003 1.113478155485681e-001 -1.260039945444498e-001 6.832821679282186e-002 1.850160798795027e-002 -1.395305581835447e-001 -1.084202172485504e-019 -5.204170427930419e-018 -1.387778780781445e-017
1.599183673469388e+000 -2.775538176772950e-002 8.881191513906614e-001 -3.250673370267207e-001 -3.503585143304306e-003 1.141474135841694e-001 -1.277789347447770e-001 7.190906021357423e-002 2.736220213300065e-002 -1.413581863249365e-001 -6.830473686658675e-018 1.951563910473907e-018 1.387778780781445e-017
1.608979591836735e+000 -1.388680361945162e-002 8.877592506216331e-001 -3.243605161216351e-001 -9.289157840339474e-003 1.159067062298353e-001 -1.295193507661354e-001 7.549727421657165e-002 3.699498155847422e-002 -1.428478166306994e-001 -3.252606517456513e-018 -1.734723475976807e-018 6.938893903907228e-018
1.618775510204082e+000 5.980538120950452e-005 8.877296064536044e-001 -3.235356306143034e-001 -1.557428723945909e-002 1.166001895286075e-001 -1.311024655899021e-001 7.891793081593485e-002 4.724394758117581e-002 -1.439332095534845e-001 -1.376936759056590e-017 3.252606517456513e-018 6.938893903907227e-018
1.628571428571429e+000 1.405713004932102e-002 8.880497967401333e-001 -3.225953635296432e-001 -2.220808886023282e-002 1.162660463522329e-001 -1.324004387257223e-001 8.199174350970225e-002 5.788110130496989e-002 -1.445553147337952e-001 1.387778780781445e-017 -3.035766082959412e-018 -6.938893903907227e-018
1.638367346938776e+000 2.807757897210793e-002 8.887255850525052e-001 -3.215467745229168e-001 -2.900347472941713e-002 1.150088850308531e-001 -1.333015394534242e-001 8.456450261806282e-002 6.862044567277437e-002 -1.446685884520406e-001 0.000000000000000e+000 -1.474514954580286e-017 -2.081668171172168e-017
1.648163265306122e+000 4.209217175668061e-002 8.897482935521816e-001 -3.204009943302604e-001 -3.575502082694269e-002 1.129927717971859e-001 -1.337306956875643e-001 8.653304211562767e-002 7.914314032714113e-002 -1.442486078643577e-001 -3.252606517456513e-019 1.127570259384925e-017 6.938893903907228e-018
1.657959183673470e+000 5.607018209195099e-002 8.910955048536696e-001 -3.191727235772360e-001 -4.225949028172831e-002 1.104240092993400e-001 -1.336600988793747e-001 8.785571649022181e-002 8.913026955177528e-002 -1.432951946858814e-001 7.264154555652878e-018 1.517883041479706e-018 2.081668171172168e-017
1.667755102040816e+000 6.997959900816390e-002 8.927331986502289e-001 -3.178797090230984e-001 -4.833688489131802e-002 1.075270377550701e-001 -1.331077896161895e-001 8.854657041353278e-002 9.829965358026613e-002 -1.418294591000274e-001 6.938893903907228e-018 -2.168404344971009e-019 0.000000000000000e+000
1.677551020408163e+000 8.378837071001155e-002 8.946190789081758e-001 -3.165421422183529e-001 -5.384907663915629e-002 1.045176584451133e-001 -1.321284825863225e-001 8.866150717941472e-002 1.064402937987308e-001 -1.398883100562363e-001 -2.168404344971008e-019 9.974659986866639e-018 0.000000000000000e+000
1.687346938775510e+000 9.746627115734967e-002 8.967065533236618e-001 -3.151818449408446e-001 -5.871061815513853e-002 1.015781673388339e-001 -1.308006287390418e-001 8.828296682127018e-002 1.134338528772977e-001 -1.375165344931127e-001 -6.505213034913027e-019 -6.288372600415926e-018 -4.163336342344337e-017
1.697142857142857e+000 1.109870861783747e-001 8.989487342878564e-001 -3.138211621804853e-001 -6.288763702872223e-002 9.883955209966500e-002 -1.292116161081793e-001 8.750479419612901e-002 1.192548856734011e-001 -1.347555952450869e-001 -2.168404344971009e-019 1.474514954580286e-017 0.000000000000000e+000
1.706938775510204e+000 1.243306529484248e-001 9.013018992093184e-001 -3.124815481980387e-001 -6.638604917660275e-002 9.637406415390770e-002 -1.274432223061114e-001 8.641815689338329e-002 1.239510379322724e-001 -1.316335582975906e-001 7.697835424647078e-018 -2.168404344971008e-019 4.163336342344335e-017
1.716734693877551e+000 1.374842193007385e-001 9.037278854737629e-001 -3.111819714957153e-001 -6.923431905174608e-002 9.419787358315190e-002 -1.255614544372246e-001 8.510231881997425e-002 1.276119800701821e-001 -1.281608192186895e-001 -6.179952383167374e-018 1.539567084929416e-017 5.551115123125782e-017
