---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.FileName = "GaitFast0001-processed-output-euler-leftarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
1.260000000000000e+000 -5.774205817862607e-001 3.827314964268036e-001 -5.235987755988922e-001 2.516970024860425e-001 -1.132492254693951e-001 4.176118220769250e-001 1.147774860530971e+000 6.624398982198813e-001 5.553691074762646e-002 -1.056085333432933e-001
1.269760479041916e+000 -5.764380525820574e-001 3.793946378789650e-001 -5.235987756159970e-001 2.428400621493994e-001 -1.170875828531168e-001 4.117594306029264e-001 1.154196305248909e+000 6.612175124958841e-001 5.812187547120407e-002 -1.012956092202671e-001
1.279520958083832e+000 -5.753707147915789e-001 3.759576079014815e-001 -5.235987756137104e-001 2.331833665794405e-001 -1.211834511899181e-001 4.056153999513418e-001 1.159838351081086e+000 6.602236746835976e-001 6.043927486828937e-002 -9.700480263018058e-002
1.289281437125748e+000 -5.742431012639059e-001 3.723403160389323e-001 -5.235987756113649e-001 2.227452293143541e-001 -1.255255879213759e-001 3.991457334932506e-001 1.164479960748600e+000 6.595597295433796e-001 6.241684699780548e-002 -9.283291387753982e-002
1.299041916167665e+000 -5.731009541670933e-001 3.684821561088110e-001 -5.235987756091289e-001 2.115493876401404e-001 -1.300983434170414e-001 3.923083955739901e-001 1.167900657849234e+000 6.593223050979816e-001 6.398585308786453e-002 -8.888209857123214e-002
1.308802395209581e+000 -5.720169923880415e-001 3.643656060383296e-001 -5.235987756071212e-001 1.996389492815489e-001 -1.348706839359884e-001 3.850673155899829e-001 1.169905195036753e+000 6.595912298725277e-001 6.507920440445125e-002 -8.525592243268483e-002
1.318562874251497e+000 -5.710803269387594e-001 3.600070624279965e-001 -5.235987756054055e-001 1.870681069166311e-001 -1.397957577971221e-001 3.773914392511781e-001 1.170329867581546e+000 6.604283906690537e-001 6.562516923969208e-002 -8.205540340001791e-002
1.328323353293413e+000 -5.703818454559405e-001 3.554403153815164e-001 -5.235987756039964e-001 1.738947832564968e-001 -1.448127846842658e-001 3.692559560330486e-001 1.169047991952632e+000 6.618717935581059e-001 6.554737844776204e-002 -7.937190023437828e-002
1.338083832335329e+000 -5.700005321160409e-001 3.506977394179702e-001 -5.235987756028686e-001 1.601746376996791e-001 -1.498469469867814e-001 3.606446422133783e-001 1.165972370359835e+000 6.639261683487597e-001 6.477078878544895e-002 -7.727772911560488e-002
1.347844311377245e+000 -5.699916153213344e-001 3.457968412680956e-001 -5.235987756019795e-001 1.459546459566929e-001 -1.548077972321810e-001 3.515519919653952e-001 1.161055356306883e+000 6.665590315791030e-001 6.323281717475893e-002 -7.582013783591098e-002
1.357604790419161e+000 -5.703763901911860e-001 3.407377975707451e-001 -5.235987756012794e-001 1.312654511796183e-001 -1.595894484260804e-001 3.419856795445819e-001 1.154287738968752e+000 6.697050942986127e-001 6.089956970261667e-002 -7.502097345829081e-002
1.367365269461077e+000 -5.711364878890933e-001 3.355111486451445e-001 -5.235987756007263e-001 1.161144975273036e-001 -1.640737418757864e-001 3.319708519145457e-001 1.145696474913565e+000 6.732743748867603e-001 5.778543647152490e-002 -7.487924662505084e-002
1.377125748502994e+000 -5.722154503470411e-001 3.301093720110080e-001 -5.235987756002889e-001 1.004836474489157e-001 -1.681367846183328e-001 3.215557989145468e-001 1.135340957930425e+000 6.771598527709674e-001 5.396962345248491e-002 -7.537395241253898e-002
1.386886227544910e+000 -5.735264317429336e-001 3.245351754621904e-001 -5.235987755999407e-001 8.433388683572862e-002 -1.716595591748075e-001 3.108160592353664e-001 1.123307610631960e+000 6.812426946200884e-001 4.960035227504456e-002 -7.646724480708250e-002
1.396646706586826e+000 -5.749636360861784e-001 3.188025682575928e-001 -5.235987755996634e-001 6.761631153961556e-002 -1.745397636507776e-001 2.998542221086171e-001 1.109702446693996e+000 6.853937127762065e-001 4.488090668618150e-002 -7.810928807647515e-002
