---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "GaitFast0001-processed-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
1.260000000000000e+000 -4.137856363686694e-001 3.176262808730401e-002 2.936920489067411e-001 2.979636456162481e-001 1.648258173985906e-001 -2.769977821380171e-001
1.269760479041916e+000 -4.129973587872315e-001 4.652292862237184e-002 2.691004557919514e-001 3.265793901445407e-001 1.191333770325007e-001 -2.473774121098104e-001
1.279520958083832e+000 -4.102401853160989e-001 6.111810230444070e-002 2.461774594541557e-001 3.589822447023244e-001 7.055712013032103e-002 -2.171431140647749e-001
1.289281437125748e+000 -4.052194471119800e-001 7.533498228525848e-002 2.251770028232109e-001 3.955326227603482e-001 1.974500299187694e-002 -1.861050944376882e-001
1.299041916167665e+000 -3.975489415394249e-001 8.899502618371602e-002 2.062213252518376e-001 4.366377032963232e-001 -3.234551558949199e-002 -1.539660519851553e-001
1.308802395209581e+000 -3.868175533729076e-001 1.019459806872400e-001 1.892761966072754e-001 4.825303768540721e-001 -8.441582937216170e-002 -1.204561859809258e-001
1.318562874251497e+000 -3.726415145558354e-001 1.140470770841691e-001 1.741498880314494e-001 5.331862867901127e-001 -1.348900616931338e-001 -8.536559304447443e-002
1.328323353293413e+000 -3.547503352410992e-001 1.251577735380043e-001 1.605540908189906e-001 5.882615093566771e-001 -1.820634261202465e-001 -4.860622898815006e-002
1.338083832335329e+000 -3.330721962585157e-001 1.351411832330769e-001 1.482010614891292e-001 6.470732253481318e-001 -2.243018047359996e-001 -1.027405602487186e-002
1.347844311377245e+000 -3.077791277332483e-001 1.438817522676112e-001 1.368890817300531e-001 7.086387619470150e-001 -2.602284960612710e-001 2.932361168354765e-002
1.357604790419161e+000 -2.792732612121204e-001 1.513048099593848e-001 1.265387561511327e-001 7.717671437725574e-001 -2.888515557774158e-001 6.969647799863260e-002
1.367365269461077e+000 -2.481195479155530e-001 1.573863573167429e-001 1.171764720327510e-001 8.351772015255332e-001 -3.096342940988871e-001 1.102462437706753e-001
1.377125748502994e+000 -2.149494626721177e-001 1.621498234924688e-001 1.088847974113954e-001 8.976069509383222e-001 -3.225357066314353e-001 1.503584715960135e-001
1.386886227544910e+000 -1.803701825649465e-001 1.656527132132866e-001 1.017448918167938e-001 9.578881195321044e-001 -3.280151372106852e-001 1.894735179789616e-001
1.396646706586826e+000 -1.449062008105759e-001 1.679690338015485e-001 9.579311168377963e-002 1.014983370227800e+000 -3.269595343734247e-001 2.271004002014209e-001
1.406407185628742e+000 -1.089788049583213e-001 1.691744034025511e-001 9.100476900696315e-002 1.068001466596679e+000 -3.205207820004736e-001 2.627719326215705e-001
1.416167664670658e+000 -7.291117833301669e-002 1.693394609890557e-001 8.730539620111132e-002 1.116204816951498e+000 -3.099142716919656e-001 2.959880951235551e-001
1.425928143712574e+000 -3.694502284172335e-002 1.685344946300091e-001 8.459809577820800e-002 1.159013069324812e+000 -2.962509972224555e-001 3.261995121927261e-001
