---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.FileName = "GaitFast0001-processed-output-euler-rightarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
1.260000000000000e+000 -4.501090921675887e-001 1.832099835857441e-001 -5.235987755983578e-001 -4.833190003015446e-001 -4.122098539077586e-001 3.847732575356284e-001 5.805180220646016e-001 3.760362787450010e-001 4.829990760668697e-001 1.301725483949309e-001
1.269760479041916e+000 -4.513735961336088e-001 1.825004889620014e-001 -5.235987755987521e-001 -4.846758903343358e-001 -4.106211674774044e-001 3.845983533904415e-001 5.807251200350648e-001 3.708475917864404e-001 4.823175693993456e-001 1.302080165430498e-001
1.279520958083832e+000 -4.522678643987257e-001 1.822533471126580e-001 -5.235987755986664e-001 -4.851695552238011e-001 -4.087010451065256e-001 3.840708236344190e-001 5.811016066114806e-001 3.661120228115903e-001 4.817914155907563e-001 1.302028958759433e-001
1.289281437125748e+000 -4.527163727565230e-001 1.824971567212146e-001 -5.235987755985865e-001 -4.846136565188419e-001 -4.064151677683394e-001 3.831708575002247e-001 5.817360962881710e-001 3.619511254562032e-001 4.814829230656965e-001 1.301162373992075e-001
1.299041916167665e+000 -4.526558088483972e-001 1.832696863944769e-001 -5.235987755985163e-001 -4.828433125674290e-001 -4.037380636414805e-001 3.818952785310235e-001 5.827440096636366e-001 3.584710917159774e-001 4.814561775559727e-001 1.299025756817510e-001
1.308802395209581e+000 -4.520463029673822e-001 1.846100200598997e-001 -5.235987755984610e-001 -4.797621940121253e-001 -4.006894178642088e-001 3.802765925888312e-001 5.842726309171969e-001 3.557224039985139e-001 4.817773563880317e-001 1.295245140109655e-001
1.318562874251497e+000 -4.508699989877453e-001 1.865426245757318e-001 -5.235987755984166e-001 -4.753502480874794e-001 -3.973483027021427e-001 3.783842466624561e-001 5.864989318738009e-001 3.536773658055317e-001 4.825136634097964e-001 1.289644911210799e-001
1.328323353293413e+000 -4.491293289800363e-001 1.890638083644276e-001 -5.235987755983813e-001 -4.696564395863938e-001 -3.938471132342165e-001 3.763172361098799e-001 5.896136807904037e-001 3.522315177730332e-001 4.837225177645217e-001 1.282343371059201e-001
1.338083832335329e+000 -4.468440015355207e-001 1.921336336763204e-001 -5.235987755983542e-001 -4.627777741306256e-001 -3.903524280952596e-001 3.741927936492183e-001 5.937972957586081e-001 3.512334945550071e-001 4.854347647467381e-001 1.273779804860175e-001
1.347844311377245e+000 -4.440484612176046e-001 1.956740866599951e-001 -5.235987755983356e-001 -4.548338939870893e-001 -3.870453257297191e-001 3.721358634961576e-001 5.991975589366279e-001 3.505295309658604e-001 4.876399323639946e-001 1.264655055398912e-001
1.357604790419161e+000 -4.407920125858114e-001 1.995739711940399e-001 -5.235987755983196e-001 -4.459466312864042e-001 -3.841056437038345e-001 3.702696232952681e-001 6.059154405817863e-001 3.500036414811042e-001 4.902825942858504e-001 1.255816422688904e-001
1.367365269461077e+000 -4.371398552329314e-001 2.037000811716792e-001 -5.235987755983085e-001 -4.362278294240944e-001 -3.816985001744627e-001 3.687055342211883e-001 6.139999861972020e-001 3.495999904232366e-001 4.932719720397119e-001 1.248142780346855e-001
1.377125748502994e+000 -4.331719470568096e-001 2.079120647376243e-001 -5.235987755982972e-001 -4.257756061811542e-001 -3.799588289846201e-001 3.675332926289877e-001 6.234525524184807e-001 3.493237184598351e-001 4.964945818877862e-001 1.242457842783318e-001
1.386886227544910e+000 -4.289798117839770e-001 2.120769765211430e-001 -5.235987755982887e-001 -4.146785061323624e-001 -3.789723354152969e-001 3.668130706955260e-001 6.342399108196373e-001 3.492275698984219e-001 4.998214268887997e-001 1.239461559596141e-001
1.396646706586826e+000 -4.246626962107870e-001 2.160800508975684e-001 -5.235987755982818e-001 -4.030237100833929e-001 -3.787619014103170e-001 3.665731843167007e-001 6.463120949686827e-001 3.493899896828064e-001 5.031110075343239e-001 1.239678323489367e-001
