---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "GaitFast0001-processed-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.260000000000000e+000 2.668784362899463e-001 -9.232997623135218e-002 2.527295766708120e-001 1.813907003724568e-001 2.615812048918613e-001 -2.266448296533294e-001
1.269216867469880e+000 2.716156918533909e-001 -9.051456329947952e-002 2.321687096093217e-001 2.154495018748615e-001 2.394400988075860e-001 -1.889345273706876e-001
1.278433734939759e+000 2.752744455497713e-001 -8.961579723877876e-002 2.112347206803837e-001 2.488106746055072e-001 2.173970130478343e-001 -1.526210048134130e-001
1.287650602409639e+000 2.772186922371813e-001 -8.982342285184823e-002 1.904829863139204e-001 2.808113498903183e-001 1.965785553275423e-001 -1.189307083009460e-001
1.296867469879518e+000 2.768368903927719e-001 -9.124512674911983e-002 1.704521901382043e-001 3.108298752419748e-001 1.781550925609426e-001 -8.891450325433301e-002
1.306084337349398e+000 2.736733479127598e-001 -9.388615263352056e-002 1.516653168705351e-001 3.383027282150101e-001 1.631222266849019e-001 -6.331537410032839e-002
1.315301204819278e+000 2.674779237242595e-001 -9.764943329766505e-002 1.345683336597614e-001 3.627571845600128e-001 1.522071325002275e-001 -4.251958717172953e-002
1.324518072289157e+000 2.582165512015041e-001 -1.023524791627585e-001 1.194763068680789e-001 3.838473694987319e-001 1.458144877823926e-001 -2.658908642596872e-002
1.333734939759037e+000 2.460321934349016e-001 -1.077618862702555e-001 1.065530650069817e-001 4.013633304335971e-001 1.440107740406300e-001 -1.534754627047744e-002
1.342951807228916e+000 2.311716257676068e-001 -1.136320171937330e-001 9.582026955898004e-002 4.152074182812005e-001 1.465480450994571e-001 -8.468166130639630e-003
1.352168674698796e+000 2.139082035667621e-001 -1.197323100654716e-001 8.718017900376407e-002 4.253595116891084e-001 1.529211331609453e-001 -5.532026116666785e-003
1.361385542168676e+000 1.944876165036047e-001 -1.258557894252376e-001 8.044039440292972e-002 4.318526511359176e-001 1.624440719090790e-001 -6.056498664178594e-003
1.370602409638555e+000 1.731097014149111e-001 -1.318125846541881e-001 7.533836256219417e-002 4.347643911522454e-001 1.743302934273421e-001 -9.508787472501239e-003
1.379819277108435e+000 1.499426675816852e-001 -1.374191976131145e-001 7.156875804872342e-002 4.342187141023829e-001 1.877676532895587e-001 -1.532060513968902e-002
1.389036144578314e+000 1.251535236003200e-001 -1.424934226107746e-001 6.881480224626380e-002 4.303918769936538e-001 2.019840006874232e-001 -2.291183906771639e-002
1.398253012048194e+000 9.893593205669582e-002 -1.468583801339460e-001 6.678019754660980e-002 4.235161788304660e-001 2.162988812537270e-001 -3.172140928586747e-002
1.407469879518074e+000 7.152483284318076e-002 -1.503530949559597e-001 6.521556140892848e-002 4.138778973719808e-001 2.301571343581496e-001 -4.123787304101524e-002
1.416686746987953e+000 4.319673134214511e-002 -1.528455218692091e-001 6.393346868305017e-002 4.018088446896119e-001 2.431430076391111e-001 -5.102206621380877e-002
1.425903614457833e+000 1.425670729285623e-002 -1.542456675633298e-001 6.281120925610684e-002 3.876713068724988e-001 2.549775890341060e-001 -6.071864946644789e-002
1.435120481927712e+000 -1.498510968399565e-002 -1.545169574662366e-001 6.178617686311738e-002 3.718376170789997e-001 2.655056695491717e-001 -7.005934560394038e-002
1.444337349397592e+000 -4.423569050857764e-002 -1.536822482082393e-001 6.084706596657830e-002 3.546720208074582e-001 2.746807530213456e-001 -7.886393556492605e-002
1.453554216867472e+000 -7.323906417518487e-002 -1.518227129533682e-001 6.002309967133224e-002 3.365153836871251e-001 2.825448117845026e-001 -8.703567052444426e-002
1.462771084337351e+000 -1.017809100502154e-001 -1.490687790997036e-001 5.936852279945204e-002 3.176798485508011e-001 2.892110133070240e-001 -9.455410482493519e-002
1.471987951807231e+000 -1.296883230247844e-001 -1.455864432118288e-001 5.894713706035493e-002 2.984461163067774e-001 2.948438995721397e-001 -1.014609115236706e-001
1.481204819277110e+000 -1.568249598320495e-001 -1.415614809143289e-001 5.881885975920209e-002 2.790635269619852e-001 2.996415422974081e-001 -1.078424754161667e-001
1.490421686746990e+000 -1.830872639467338e-001 -1.371841030122012e-001 5.902978432033423e-002 2.597504698018223e-001 3.038205729423382e-001 -1.138123359756880e-001
1.499638554216870e+000 -2.084050007192186e-001 -1.326354900393902e-001 5.960539592240099e-002 2.406930228385499e-001 3.076031733339017e-001 -1.194953458314869e-001
