---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "GaitFast0001-processed-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
1.260000000000000e+000 -2.218713647980022e-001 9.029494408247134e-001 -3.296279616043296e-001 3.186571207829305e-003 7.442394539726926e-002 4.243685588579930e-002 -2.476990064350537e-001 8.052661219294002e-002 -2.782473462522979e-001 -1.968237873531593e-001
1.269760479041916e+000 -2.039872434731519e-001 9.028977274941210e-001 -3.281233396313117e-001 -5.212123823028101e-003 7.603176325961925e-002 3.989392122723913e-002 -2.435159818828127e-001 9.285066939162896e-002 -2.763880121487491e-001 -1.962592942788636e-001
1.279520958083832e+000 -1.860168006730762e-001 9.030368627812088e-001 -3.265824472701350e-001 -1.373200646657162e-002 7.696802554430504e-002 3.794451067653483e-002 -2.401612272194394e-001 1.049504417717788e-001 -2.739150117654049e-001 -1.956726357759830e-001
1.289281437125748e+000 -1.680887309158322e-001 9.034087995787175e-001 -3.250259101828225e-001 -2.226154636833200e-002 7.716371039499870e-002 3.675219845824613e-002 -2.378785099829294e-001 1.166656097058105e-001 -2.707714834238675e-001 -1.950363530120490e-001
1.299041916167665e+000 -1.503041170521520e-001 9.040512136789357e-001 -3.234727191547592e-001 -3.069556539739199e-002 7.660668873262067e-002 3.640166971969152e-002 -2.368216040617223e-001 1.278625371424081e-001 -2.669390292767488e-001 -1.943203522493892e-001
1.308802395209581e+000 -1.327460888409955e-001 9.049880923460746e-001 -3.219404011138684e-001 -3.893555579998401e-002 7.536726927381210e-002 3.685056935899878e-002 -2.369881335498789e-001 1.384407067819959e-001 -2.624644396443291e-001 -1.934980335510596e-001
1.318562874251497e+000 -1.154804529428693e-001 9.062303645845564e-001 -3.204450653039640e-001 -4.689331482894951e-002 7.356477200359368e-002 3.793617272480694e-002 -2.382234759934604e-001 1.483290410522158e-001 -2.574285101802319e-001 -1.925597624476901e-001
1.328323353293413e+000 -9.855464291323973e-002 9.077775115941175e-001 -3.190016221447918e-001 -5.449320670832956e-002 7.132563983606599e-002 3.942395042324733e-002 -2.402721204860557e-001 1.574788989648130e-001 -2.519082467142378e-001 -1.915247319840915e-001
1.338083832335329e+000 -8.199642696074613e-002 9.096199719004052e-001 -3.176238311049658e-001 -6.167405639612995e-002 6.874904833454099e-002 4.107882488241365e-002 -2.428568034376432e-001 1.658573041318942e-001 -2.459496686011659e-001 -1.904441853718966e-001
1.347844311377245e+000 -6.581361884268998e-002 9.117417773012272e-001 -3.163237747542885e-001 -6.838974706967330e-002 6.589002866911331e-002 4.272835256492686e-002 -2.457507407414432e-001 1.734410086889756e-001 -2.395591880165600e-001 -1.893958856127273e-001
1.357604790419161e+000 -4.999541523277468e-002 9.141225389270657e-001 -3.151106655849034e-001 -7.460557213259170e-002 6.276210037865404e-002 4.429609005673314e-002 -2.488174421555660e-001 1.802088042755435e-001 -2.327128101254492e-001 -1.884733759707362e-001
1.367365269461077e+000 -3.451570033700697e-002 9.167383130050486e-001 -3.139892748362414e-001 -8.028953950453091e-002 5.935530442672499e-002 4.579912842005102e-002 -2.520117402389154e-001 1.861312031961140e-001 -2.253789437301832e-001 -1.877723628347875e-001
1.377125748502994e+000 -1.933805454580861e-002 9.195615327630488e-001 -3.129586428715957e-001 -8.540291300336574e-002 5.566062859071019e-002 4.731757659257109e-002 -2.553515996339277e-001 1.911618814396385e-001 -2.175460260593124e-001 -1.873758619954479e-001
1.386886227544910e+000 -4.421250364132683e-003 9.225605888176709e-001 -3.120118063101604e-001 -8.989601304398867e-002 5.168913854993140e-002 4.895289971613327e-002 -2.588785874111708e-001 1.952366749327243e-001 -2.092417551401467e-001 -1.873419673522902e-001
