---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "GaitNormal0001-processed-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
1.560000000000000e+000 -1.717899139954352e-001 9.211391387074476e-001 -3.204994092319615e-001 1.024830357227278e-002 1.008882813801930e-001 3.449161943285468e-002 -2.180956305556401e-001 5.497164267134248e-002 -2.355788005252143e-001 -1.154194370365029e-001
1.569795918367347e+000 -1.584550628515856e-001 9.200726131143978e-001 -3.198635427661183e-001 6.278447525617908e-003 1.067583097125968e-001 3.262936850341740e-002 -2.145812080080937e-001 6.353834266483920e-002 -2.387602418082402e-001 -1.118863802308246e-001
1.579591836734694e+000 -1.449099903506519e-001 9.191900168844809e-001 -3.192126334601096e-001 1.593487592337577e-003 1.121064622810504e-001 3.031652337330252e-002 -2.105530329099369e-001 7.280578609598314e-002 -2.415553842355495e-001 -1.082837760972916e-001
1.589387755102041e+000 -1.312187936466675e-001 9.185358657807018e-001 -3.185448401028232e-001 -3.800199764579629e-003 1.167548955925120e-001 2.761018901830472e-002 -2.060977470993644e-001 8.269290918959189e-002 -2.438330190104912e-001 -1.046460691528899e-001
1.599183673469387e+000 -1.174231156467147e-001 9.181514415261878e-001 -3.178566653970944e-001 -9.874138517367483e-003 1.205353438655843e-001 2.460610144240420e-002 -2.013460010703239e-001 9.310063710713340e-002 -2.454640327956180e-001 -1.010142995578536e-001
1.608979591836734e+000 -1.035561381819838e-001 9.180669565819368e-001 -3.171439197595167e-001 -1.654605428047661e-002 1.233201292915043e-001 2.144452815347412e-002 -1.964748284435362e-001 1.038791904826181e-001 -2.463481880793981e-001 -9.743223766047346e-002
1.618775510204081e+000 -8.964514615207239e-002 9.182997604564349e-001 -3.164018908204139e-001 -2.367402167319055e-002 1.250355781185459e-001 1.830279922735179e-002 -1.916942719567800e-001 1.148223907144705e-001 -2.464253708030646e-001 -9.393847063651024e-002
1.628571428571428e+000 -7.571367518781570e-002 9.188538855153464e-001 -3.156253844204292e-001 -3.106671693177513e-002 1.256744877111122e-001 1.537897222667982e-002 -1.872278630804205e-001 1.256801238533428e-001 -2.456847138284524e-001 -9.055584110982393e-002
1.638367346938775e+000 -6.178373360460659e-002 9.197213482792901e-001 -3.148090528272871e-001 -3.850764369013911e-002 1.253021315840506e-001 1.286437107088231e-002 -1.832852721090083e-001 1.361862249223409e-001 -2.441681917721053e-001 -8.728194970359779e-002
1.648163265306122e+000 -4.787791630333407e-002 9.208844403302299e-001 -3.139480173159432e-001 -4.578440203450896e-002 1.240508160436502e-001 1.091074152089656e-002 -1.800310268593408e-001 1.460905375316218e-001 -2.419653900526670e-001 -8.408654769036081e-002
1.657959183673468e+000 -3.402088168382632e-002 9.223178455187925e-001 -3.130387181642718e-001 -5.271256681418386e-002 1.221039715695236e-001 9.603676501143759e-003 -1.775589263044025e-001 1.551839573944078e-001 -2.391997987772883e-001 -8.091819229126002e-002
1.667755102040815e+000 -2.023986963349161e-002 9.239903017933423e-001 -3.120800773360082e-001 -5.915029284435298e-002 1.196741695395458e-001 8.951012791085308e-003 -1.758811763875506e-001 1.633140137378251e-001 -2.360112637091466e-001 -7.771064566105777e-002
1.677551020408162e+000 -6.563888512464791e-003 9.258661154697089e-001 -3.110747374278147e-001 -6.500538328853721e-002 1.169766432223716e-001 8.884293265893141e-003 -1.749275579957103e-001 1.703926731088081e-001 -2.325346304934313e-001 -7.441861526385321e-002
1.687346938775509e+000 6.977985931483913e-003 9.279071808584717e-001 -3.100303268378680e-001 -7.023825004220288e-002 1.142049364316227e-001 9.284106376213968e-003 -1.745755937411355e-001 1.764014902890312e-001 -2.288847619106691e-001 -7.099147695862003e-002
