---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.FileName = "GaitNormal0002-processed-output-euler-leftarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
1.970000000000000e+000 -5.046643764490209e-001 3.228801063954627e-001 -5.235987755983407e-001 9.051577981779246e-002 -6.199879057396043e-002 4.233565828013265e-001 9.623090211571631e-001 6.677878996275644e-001 -5.648027990244442e-003 -9.898520094424959e-002
1.979791666666667e+000 -5.042776072323326e-001 3.225964466366629e-001 -5.235987756007465e-001 9.226124833563754e-002 -6.262678762199980e-002 4.236188349595549e-001 9.716712761068594e-001 6.683681705205402e-001 -3.306815101982608e-003 -9.666725565041938e-002
1.989583333333333e+000 -5.038640275912970e-001 3.218876900699885e-001 -5.235987756006939e-001 9.325033924269022e-002 -6.329161676034095e-002 4.230643692645575e-001 9.803606598252509e-001 6.687707755022553e-001 -9.060282208057657e-004 -9.420123705282477e-002
1.999375000000000e+000 -5.034140918414584e-001 3.207289355157639e-001 -5.235987756005798e-001 9.329542450176009e-002 -6.404334499115513e-002 4.215992144662292e-001 9.882616771166609e-001 6.689868932486476e-001 1.498854258862981e-003 -9.161955521563897e-002
2.009166666666667e+000 -5.029174327915401e-001 3.191130654598802e-001 -5.235987756004246e-001 9.222132923173532e-002 -6.493222146860596e-002 4.191543808201640e-001 9.952768851695951e-001 6.690090623677770e-001 3.847460860024299e-003 -8.895327272067126e-002
2.018958333333333e+000 -5.023641505729762e-001 3.170684717378927e-001 -5.235987756002403e-001 8.989980316491941e-002 -6.601033227474272e-002 4.157132944896210e-001 1.001332928524937e+000 6.688383711191321e-001 6.078078280642441e-003 -8.623927694593964e-002
2.028750000000000e+000 -5.017422397963774e-001 3.146575917208543e-001 -5.235987756000411e-001 8.625634683463845e-002 -6.733419062612135e-002 4.113122909392428e-001 1.006377229933671e+000 6.684829742282660e-001 8.125708389554287e-003 -8.352233016908507e-002
2.038541666666667e+000 -5.010353449415105e-001 3.119687435555112e-001 -5.235987755998339e-001 8.127278917684810e-002 -6.896004734703799e-002 4.060320446104007e-001 1.010374592688277e+000 6.679556651922627e-001 9.912757177286569e-003 -8.085480686134358e-002
2.048333333333333e+000 -5.002237962781825e-001 3.090986129486051e-001 -5.235987755996292e-001 7.498656282794514e-002 -7.093470948459731e-002 3.999817453626349e-001 1.013303170851482e+000 6.672767067125320e-001 1.134074432967003e-002 -7.829533833409683e-002
2.058125000000000e+000 -4.992932665608074e-001 3.061295171713134e-001 -5.235987756191201e-001 6.748748562879947e-002 -7.328810908218023e-002 3.932835651103971e-001 1.015150970443229e+000 6.664791756869744e-001 1.229115325718766e-002 -7.590733054612728e-002
2.067916666666667e+000 -4.982383988176806e-001 3.031183312638093e-001 -5.235987756161151e-001 5.890450794106017e-002 -7.603336180274735e-002 3.860599954349949e-001 1.015914480874854e+000 6.656204950966763e-001 1.263368086649419e-002 -7.375442067565621e-002
2.077708333333333e+000 -4.970824470282824e-001 3.000883296187575e-001 -5.235987756134570e-001 4.940222199027167e-002 -7.916947372628660e-002 3.784299036644122e-001 1.015594683819438e+000 6.647951822157404e-001 1.224936797670595e-002 -7.189583326456263e-002
2.087500000000000e+000 -4.958754974076965e-001 2.970400871209282e-001 -5.235987756112377e-001 3.916105675940607e-002 -8.268663231160682e-002 3.705022600904870e-001 1.014196261593067e+000 6.641438219314143e-001 1.104905150768509e-002 -7.037801599365885e-002
2.097291666666667e+000 -4.946963514824498e-001 2.939590642061127e-001 -5.235987756094780e-001 2.836293629368059e-002 -8.656280950128782e-002 3.623709838500091e-001 1.011726707739720e+000 6.638412347491994e-001 8.986860772254079e-003 -6.922827699566367e-002
2.107083333333333e+000 -4.936464484767526e-001 2.908206910485049e-001 -5.235987756081466e-001 1.717603478260865e-002 -9.075563789047393e-002 3.541092613807347e-001 1.008198679283606e+000 6.640740986040231e-001 6.065913394197597e-003 -6.845111151433754e-002
2.116875000000000e+000 -4.928380354788886e-001 2.875924251635289e-001 -5.235987756071825e-001 5.740308979791386e-003 -9.519543665962060e-002 3.457667920340067e-001 1.003635869999156e+000 6.650171949225885e-001 2.341514464457628e-003 -6.802942677792374e-002
2.126666666666667e+000 -4.923775537481369e-001 2.842372104462279e-001 -5.235987756065110e-001 -5.845802862985750e-003 -9.978015016730665e-002 3.373709225635691e-001 9.980796103877421e-001 6.668057486459474e-001 -2.080584340371949e-003 -6.792929285060946e-002
2.136458333333333e+000 -4.923474076801199e-001 2.807197333551037e-001 -5.235987756060605e-001 -1.753531758224014e-002 -1.043724380264057e-001 3.289308964283828e-001 9.915923255221162e-001 6.695067661508489e-001 -7.053862368743946e-003 -6.810591834791678e-002
2.146250000000000e+000 -4.927919879021949e-001 2.770118813129701e-001 -5.235987756057650e-001 -2.933616078138579e-002 -1.088029209316288e-001 3.204442613306991e-001 9.842560927622442e-001 6.731022842119665e-001 -1.240226666945410e-002 -6.851063005551428e-002
2.156041666666666e+000 -4.937123143704703e-001 2.730939087897000e-001 -5.235987756055671e-001 -4.130589698678810e-002 -1.128811346360402e-001 3.119040970596682e-001 9.761667947764871e-001 6.774869786542688e-001 -1.792549648800423e-002 -6.909831580482238e-002
2.165833333333333e+000 -4.950693884331265e-001 2.689515692580016e-001 -5.235987756054217e-001 -5.353827477509232e-002 -1.164109923007122e-001 3.033053940336749e-001 9.674257988020121e-001 6.824715143384608e-001 -2.340199163687351e-002 -6.983309222220140e-002
2.175625000000000e+000 -4.967937065111528e-001 2.645725173164097e-001 -5.235987756052927e-001 -6.614555501419139e-002 -1.192078545449778e-001 2.946491913910199e-001 9.581310112843169e-001 6.877900157993128e-001 -2.859719240235137e-002 -7.068996402539508e-002
2.185416666666666e+000 -4.987983212194228e-001 2.599452778269842e-001 -5.235987756051583e-001 -7.924106731353975e-002 -1.211151639845107e-001 2.859439125760199e-001 9.483680840960270e-001 6.931185607310655e-001 -3.327678743202278e-002 -7.165171949648660e-002
2.195208333333333e+000 -5.009926294094284e-001 2.550604495092468e-001 -5.235987756050133e-001 -9.292379795898675e-002 -1.220170723702328e-001 2.772043356699198e-001 9.382027778753305e-001 6.981021570390406e-001 -3.722267056135142e-002 -7.270352466933984e-002
2.205000000000000e+000 -5.032932303861168e-001 2.499111320272096e-001 -5.235987756048590e-001 -1.072655244255354e-001 -1.218456585767859e-001 2.684495696013191e-001 9.276763718803650e-001 7.023807526032726e-001 -4.025105555618880e-002 -7.382924085301662e-002
2.214791666666666e+000 -5.056294564186938e-001 2.444920707756315e-001 -5.235987756047038e-001 -1.223020664778372e-001 -1.205841358076979e-001 2.597016250389010e-001 9.168056298011361e-001 7.056215722691935e-001 -4.223020928777377e-002 -7.500997865148520e-002
2.224583333333333e+000 -5.079444494151383e-001 2.388000640596220e-001 -5.235987756045573e-001 -1.380300340361149e-001 -1.182633230735393e-001 2.509846004815017e-001 9.055869526387022e-001 7.075667527529557e-001 -4.309936395610103e-002 -7.622328219488653e-002
2.234375000000000e+000 -5.101946479978127e-001 2.328365943250621e-001 -5.235987756044289e-001 -1.544086423509097e-001 -1.149481080433628e-001 2.423230395661259e-001 8.940022653846560e-001 7.080756230916471e-001 -4.289039162372221e-002 -7.744388405951952e-002
