---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "GaitNormal0002-processed-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
1.970000000000000e+000 -3.160595902152837e-001 -2.474837732902788e-001 3.918672501356408e-001 1.636100486723191e-001 5.815024494373973e-001 -5.716739332282297e-001
1.979319371727749e+000 -3.189810738728105e-001 -2.333885721836264e-001 3.836135975732473e-001 1.735186440968459e-001 5.792256154672356e-001 -5.670603917985986e-001
1.988638743455497e+000 -3.209550794425665e-001 -2.180768711117986e-001 3.741476310353009e-001 1.840364590638713e-001 5.740995544400513e-001 -5.601181746904786e-001
1.997958115183246e+000 -3.218649621442921e-001 -2.016199202769015e-001 3.634720572219423e-001 1.954314163484421e-001 5.658535994572380e-001 -5.507363785742064e-001
2.007277486910995e+000 -3.215936752500004e-001 -1.840948690954271e-001 3.516155488299839e-001 2.080696207839975e-001 5.542329128533052e-001 -5.388455166970084e-001
2.016596858638744e+000 -3.200521780195432e-001 -1.656301249684316e-001 3.386577329140781e-001 2.223736380368535e-001 5.390613658177339e-001 -5.244894822387189e-001
2.025916230366492e+000 -3.171795081659410e-001 -1.464082314701733e-001 3.247249462228266e-001 2.388022712860035e-001 5.202468581174373e-001 -5.078391191484815e-001
2.035235602094241e+000 -3.129338562477150e-001 -1.266573120441693e-001 3.099873179928185e-001 2.578268226239088e-001 4.977889889303994e-001 -4.892012233655248e-001
2.044554973821990e+000 -3.072763211894860e-001 -1.066304411202967e-001 2.946548697957057e-001 2.799024827148989e-001 4.717851394275560e-001 -4.690088192929093e-001
2.053874345549738e+000 -3.001415601264606e-001 -8.658133065389767e-002 2.789701784452432e-001 3.054382642555031e-001 4.424365640904486e-001 -4.477862843345420e-001
2.063193717277487e+000 -2.914325060946723e-001 -6.673708066274320e-002 2.631935226528053e-001 3.347616760142576e-001 4.100516159338755e-001 -4.260873031641200e-001
2.072513089005236e+000 -2.810098966497351e-001 -4.728299448526711e-002 2.475750838144872e-001 3.680881309699921e-001 3.750628790530786e-001 -4.044167002041649e-001
2.081832460732984e+000 -2.687096420998830e-001 -2.835525497684096e-002 2.323176071792046e-001 4.054907733672560e-001 3.380540491039368e-001 -3.831517051635692e-001
2.091151832460733e+000 -2.543741977163344e-001 -1.004410132036081e-002 2.175427238733596e-001 4.468795551494995e-001 2.997948934445782e-001 -3.624905675440243e-001
2.100471204188481e+000 -2.378904882417982e-001 7.594860613039344e-003 2.032765404353636e-001 4.919979041744629e-001 2.612670289945142e-001 -3.424507392832852e-001
2.109790575916230e+000 -2.192217522638066e-001 2.452367507721988e-002 1.894616323934499e-001 5.404397864065902e-001 2.236537668915029e-001 -3.229182036014344e-001
2.119109947643979e+000 -1.984254740674650e-001 4.070283351049790e-002 1.759917308219949e-001 5.916799059923440e-001 1.882696248891991e-001 -3.037240780148829e-001
2.128429319371727e+000 -1.756563939320756e-001 5.607525730401118e-002 1.627573678350562e-001 6.451054503262993e-001 1.564263204784397e-001 -2.847131484700778e-001
2.137748691099476e+000 -1.511549891759901e-001 7.055877316756554e-002 1.496867981554833e-001 7.000410922308541e-001 1.292672568564372e-001 -2.657817776426469e-001
2.147068062827225e+000 -1.252237710287683e-001 8.404798007044531e-002 1.367686753323427e-001 7.557661400979054e-001 1.076236765569825e-001 -2.468870901477444e-001
2.156387434554973e+000 -9.819742720478859e-002 9.642209706293298e-002 1.240527879351248e-001 8.115298085951487e-001 9.192907973399173e-002 -2.280415866365445e-001
2.165706806282722e+000 -7.041127652822483e-002 1.075559586161578e-001 1.116358431511042e-001 8.665712619657892e-001 8.219537249793960e-002 -2.093030883237342e-001
2.175026178010471e+000 -4.216989793256745e-002 1.173331718578101e-001 9.964103003000413e-002 9.201455151062535e-001 7.804230760945659e-002 -1.907664784659029e-001
2.184345549738219e+000 -1.372186866620814e-002 1.256599718905785e-001 8.819735441900778e-002 9.715514311744559e-001 7.877721696541491e-002 -1.725658255775668e-001
2.193664921465968e+000 1.474970837624018e-002 1.324774312931388e-001 7.742438700067944e-002 1.020156762263569e+000 8.351728599015372e-002 -1.548901057772434e-001
2.202984293193717e+000 4.311844669225061e-002 1.377698623352360e-001 6.742639412900453e-002 1.065416148921404e+000 9.132950515142657e-002 -1.380017783180415e-001
2.212303664921465e+000 7.129685355155900e-002 1.415678415766663e-001 5.829435676991124e-002 1.106880184594940e+000 1.013523850864215e-001 -1.222390223168661e-001
2.221623036649214e+000 9.922110270427462e-002 1.439457517958812e-001 5.011038480341390e-002 1.144196116774716e+000 1.128699354413569e-001 -1.079888705088703e-001
2.230942408376963e+000 1.268435959300024e-001 1.450156206521331e-001 4.295019542190914e-002 1.177102174990971e+000 1.253289783794516e-001 -9.563423259225422e-002
2.240261780104711e+000 1.541304519566491e-001 1.449187189745787e-001 3.688324305345292e-002 1.205417090042833e+000 1.383137278425864e-001 -8.548991208912887e-002
2.249581151832460e+000 1.810554981418637e-001 1.438146008007368e-001 3.197267736510367e-002 1.229025260222014e+000 1.515025152965541e-001 -7.774422431918278e-002
2.258900523560209e+000 2.075874933339505e-001 1.418690116006179e-001 2.827611477629266e-002 1.247859747697595e+000 1.646271294710431e-001 -7.241945507224797e-002
2.268219895287957e+000 2.336786951063633e-001 1.392446600026180e-001 2.584522811932044e-002 1.261887870649005e+000 1.774456331359791e-001 -6.936078189682675e-002
