---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.FileName = "GaitNormal0002-processed-output-euler-rightarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
1.970000000000000e+000 -3.907630156091549e-001 1.558591422719429e-001 -5.235987755983136e-001 -3.958698640237655e-001 -4.078196897763496e-001 3.590900048958171e-001 6.257618760901571e-001 4.798479289264450e-001 3.871212172814535e-001 9.846069945364880e-002
1.979791666666667e+000 -3.909397569180128e-001 1.561315891223507e-001 -5.235987755984890e-001 -3.930040623895907e-001 -4.063490385451277e-001 3.596351796305742e-001 6.225697775451231e-001 4.808458169694552e-001 3.881884024347064e-001 9.773452494928504e-002
1.989583333333333e+000 -3.911592933836577e-001 1.567123416688669e-001 -5.235987755984679e-001 -3.897324154043345e-001 -4.049801597896173e-001 3.602739341894911e-001 6.190750190519039e-001 4.820484014795743e-001 3.895417667526393e-001 9.692649067637985e-002
1.999375000000000e+000 -3.914102241233976e-001 1.576255590685920e-001 -5.235987755984428e-001 -3.860075861403007e-001 -4.036944523026060e-001 3.609587453750529e-001 6.152848152361169e-001 4.834842157996627e-001 3.912141887422873e-001 9.601896175096235e-002
2.009166666666667e+000 -3.916719065062099e-001 1.588961665432409e-001 -5.235987755984173e-001 -3.817838308257071e-001 -4.024572919428557e-001 3.616263847107645e-001 6.112202052758130e-001 4.851813269588014e-001 3.932341517437945e-001 9.499674188164978e-002
2.018958333333333e+000 -3.919117163550505e-001 1.605451695634432e-001 -5.235987755983866e-001 -3.770341152339436e-001 -4.012216026153989e-001 3.622003129995604e-001 6.069354826308044e-001 4.871623432830390e-001 3.956136971348081e-001 9.385205592307427e-002
2.028750000000000e+000 -3.920845163554200e-001 1.625870443999096e-001 -5.235987755983600e-001 -3.717534197239993e-001 -3.999346906831766e-001 3.625956343778850e-001 6.025259609758620e-001 4.894429674456717e-001 3.983428719670239e-001 9.258562367497376e-002
2.038541666666667e+000 -3.921324989707491e-001 1.650247939125844e-001 -5.235987755983369e-001 -3.659612430232770e-001 -3.985487483601043e-001 3.627283319711565e-001 5.981342773360125e-001 4.920234701505240e-001 4.013836082322657e-001 9.120844222771714e-002
2.048333333333333e+000 -3.919865851509831e-001 1.678421942617112e-001 -5.235987755983167e-001 -3.597022623872603e-001 -3.970331288272806e-001 3.625282402696320e-001 5.939531900687267e-001 4.948757438991405e-001 4.046687106750053e-001 8.974340989473417e-002
2.058125000000000e+000 -3.915690917770758e-001 1.709970288990277e-001 -5.235987755974514e-001 -3.530421828249830e-001 -3.953903586640793e-001 3.619530022240162e-001 5.902212296016769e-001 4.979276605485836e-001 4.081081017744828e-001 8.822571739767032e-002
2.067916666666667e+000 -3.907975159365150e-001 1.744231773770604e-001 -5.235987755973690e-001 -3.460646438177211e-001 -3.936696342443262e-001 3.609960352204856e-001 5.872066081382960e-001 5.010518393548822e-001 4.115956924701485e-001 8.670233615264505e-002
2.077708333333333e+000 -3.895888514062517e-001 1.780381528572381e-001 -5.235987755973215e-001 -3.388536464428869e-001 -3.919704527832045e-001 3.596877539344113e-001 5.851803864562754e-001 5.040745808557339e-001 4.150183986626270e-001 8.522871883828583e-002
2.087500000000000e+000 -3.878702916386825e-001 1.817568097033564e-001 -5.235987755972962e-001 -3.314845574567451e-001 -3.904393675464261e-001 3.580894577327507e-001 5.843813114702907e-001 5.068194767660388e-001 4.182846352697822e-001 8.386273403534535e-002
2.097291666666667e+000 -3.855902965285720e-001 1.855002885971768e-001 -5.235987755972880e-001 -3.240084840031048e-001 -3.892676297960009e-001 3.562871685465096e-001 5.849838838736826e-001 5.091683449225455e-001 4.213703195325513e-001 8.265687247004694e-002
2.107083333333333e+000 -3.827288949886056e-001 1.892007883324698e-001 -5.235987755972880e-001 -3.164422507802258e-001 -3.886670237025023e-001 3.543815784137204e-001 5.870786348352142e-001 5.111007045282734e-001 4.243300066245439e-001 8.165335241090586e-002
2.116875000000000e+000 -3.793075103258016e-001 1.928039794663414e-001 -5.235987755972951e-001 -3.087657580540326e-001 -3.888206811138538e-001 3.524734880600021e-001 5.906675693588099e-001 5.126880847748272e-001 4.272463999601641e-001 8.088437437631794e-002
2.126666666666667e+000 -3.753930265717063e-001 1.962705480991094e-001 -5.235987755973046e-001 -3.009246784308997e-001 -3.898422836608615e-001 3.506502121972944e-001 5.956710918126789e-001 5.140630653663425e-001 4.301609968230471e-001 8.037377256493071e-002
2.136458333333333e+000 -3.710913063338491e-001 1.995768742935051e-001 -5.235987755973188e-001 -2.928367978770097e-001 -3.917634329216307e-001 3.489765558416217e-001 6.019423396741357e-001 5.153943399073807e-001 4.330325993705619e-001 8.013554406749625e-002
2.146250000000000e+000 -3.665346434816919e-001 2.027139692237567e-001 -5.235987755973355e-001 -2.844020424359541e-001 -3.945403200081940e-001 3.474895578391152e-001 6.092860165570770e-001 5.168723618600641e-001 4.357373307726338e-001 8.016994740187065e-002
2.156041666666666e+000 -3.618699889400218e-001 2.056837630054926e-001 -5.235987755973535e-001 -2.755147851533080e-001 -3.980733734174656e-001 3.461970825745185e-001 6.174793534928804e-001 5.186966712926824e-001 4.381141985428649e-001 8.045778131804394e-002
2.165833333333333e+000 -3.572498705825781e-001 2.084939314224166e-001 -5.235987755973734e-001 -2.660764509136366e-001 -4.022350904397690e-001 3.450814394704181e-001 6.262936343702998e-001 5.210648418331264e-001 4.400347283488859e-001 8.095483986018434e-002
2.175625000000000e+000 -3.528233357606450e-001 2.111540445496891e-001 -5.235987755973917e-001 -2.560091870185715e-001 -4.068910526592766e-001 3.441074712077039e-001 6.355156601101303e-001 5.241621470056248e-001 4.414440945729075e-001 8.159631824319118e-002
