---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.FileName = "GaitNormal0003-processed-output-euler-leftarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
1.490000000000000e+000 3.612228852029098e-002 -1.288211889641842e-001 3.926666915469859e-001 1.036372615906581e+000 6.552718206514637e-001 7.199162907071566e-003 -8.094585822031118e-002
1.499336734693878e+000 3.379939326245141e-002 -1.300962396464812e-001 3.904411278890091e-001 1.040615971723049e+000 6.560585882204519e-001 8.917750356312038e-003 -7.843686952068274e-002
1.508673469387755e+000 3.078443059376101e-002 -1.311760295980137e-001 3.874526380053276e-001 1.044206547807401e+000 6.566669586815781e-001 1.053818578336796e-002 -7.600158183940448e-002
1.518010204081633e+000 2.697247702866568e-002 -1.320339921966894e-001 3.836295928328498e-001 1.047008381417757e+000 6.570825782136909e-001 1.205609456842427e-002 -7.369144589148212e-002
1.527346938775510e+000 2.225635434086137e-002 -1.326464371271977e-001 3.789112439565316e-001 1.048884992052521e+000 6.572841237873911e-001 1.347887019751015e-002 -7.155364276793085e-002
1.536683673469388e+000 1.655421108584609e-002 -1.329998916801313e-001 3.732743832475901e-001 1.049716744452873e+000 6.572537721479707e-001 1.482991067277761e-002 -6.963213924345846e-002
1.546020408163265e+000 9.816103884978444e-003 -1.330923673764979e-001 3.667335376425857e-001 1.049399762923410e+000 6.569823060028898e-001 1.614438176344457e-002 -6.796964790548103e-002
1.555357142857143e+000 2.029197062819899e-003 -1.329352265041577e-001 3.593381062219790e-001 1.047846244523469e+000 6.564733107547225e-001 1.746243926382318e-002 -6.660843221525480e-002
1.564693877551020e+000 -6.779521525314802e-003 -1.325555269330554e-001 3.511668758025620e-001 1.044986762436394e+000 6.557459814215239e-001 1.881839032100130e-002 -6.559027962534210e-002
1.574030612244898e+000 -1.654313420077025e-002 -1.319969073673640e-001 3.423210868416778e-001 1.040773442576447e+000 6.548340980665940e-001 2.022324393620578e-002 -6.495539583154303e-002
1.583367346938775e+000 -2.715701587481689e-002 -1.313168279374472e-001 3.329174536388322e-001 1.035182581158884e+000 6.537820385686193e-001 2.164615029455086e-002 -6.473913969064182e-002
1.592704081632653e+000 -3.848383823158041e-002 -1.305794524658752e-001 3.230814994693223e-001 1.028216390313247e+000 6.526431174986079e-001 2.300462885706001e-002 -6.496664745846786e-002
1.602040816326530e+000 -5.036197325279335e-002 -1.298449634348633e-001 3.129404911930518e-001 1.019903919049540e+000 6.514799747449520e-001 2.416414347282170e-002 -6.564684349403342e-002
1.611377551020408e+000 -6.261687675890548e-002 -1.291578487713446e-001 3.026158542538144e-001 1.010300931677336e+000 6.503635880800883e-001 2.494206117205544e-002 -6.676788108719496e-002
1.620714285714285e+000 -7.507436027542669e-002 -1.285380922177122e-001 2.922167433506625e-001 9.994890796983559e-001 6.493759751617479e-001 2.511961020483944e-002 -6.829627023447854e-002
1.630051020408163e+000 -8.757446303456407e-002 -1.279783787033056e-001 2.818367953540839e-001 9.875746957203679e-001 6.486209012368849e-001 2.446800629298140e-002 -7.018053237084460e-002
1.639387755102040e+000 -9.998452838530381e-002 -1.274472321673710e-001 2.715540868970052e-001 9.746863498297592e-001 6.482336755184710e-001 2.278432174672296e-002 -7.235754644041074e-002
