---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.FileName = "GaitNormal0003-processed-output-euler-rightarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
1.490000000000000e+000 -5.457755865138672e-001 -3.613907320426243e-001 4.178723725395450e-001 5.697283915823143e-001 4.975786414249155e-001 3.912119517111745e-001 7.590522861697378e-002
1.499336734693878e+000 -5.459936448316491e-001 -3.615049376913352e-001 4.183190110314757e-001 5.680599648357866e-001 4.959052037064028e-001 3.910601845430064e-001 7.600380059051454e-002
1.508673469387755e+000 -5.454327726420598e-001 -3.620056541033168e-001 4.189721980392089e-001 5.660996664146797e-001 4.949029461206312e-001 3.908732943579496e-001 7.593211867741251e-002
1.518010204081633e+000 -5.439668841882908e-001 -3.629059669861973e-001 4.198152975884653e-001 5.638593429823910e-001 4.947014535776967e-001 3.906667024121249e-001 7.565990317292368e-002
1.527346938775510e+000 -5.414776417783038e-001 -3.641942078794649e-001 4.208138037527431e-001 5.613684629211871e-001 4.954278253588705e-001 3.904585130034413e-001 7.516127904118967e-002
1.536683673469388e+000 -5.378832373894855e-001 -3.658249078161586e-001 4.219105949364644e-001 5.586869301544057e-001 4.971764504492952e-001 3.902701364624357e-001 7.442356607995521e-002
1.546020408163265e+000 -5.331409292235585e-001 -3.677208603278436e-001 4.230279907336187e-001 5.559067738431004e-001 5.000028764182607e-001 3.901256759416969e-001 7.344873130514357e-002
1.555357142857143e+000 -5.272502554652596e-001 -3.697770635961946e-001 4.240740939309263e-001 5.531555766745601e-001 5.039169645288015e-001 3.900524400642571e-001 7.225322689265171e-002
1.564693877551020e+000 -5.202568029141188e-001 -3.718692054130032e-001 4.249529803550410e-001 5.506000820700372e-001 5.088722336601373e-001 3.900826663402937e-001 7.086751188057264e-002
1.574030612244898e+000 -5.122542471421581e-001 -3.738688775083814e-001 4.255767204058208e-001 5.484472109196792e-001 5.147516631639633e-001 3.902556609578507e-001 6.933588133272532e-002
1.583367346938775e+000 -5.033806884289698e-001 -3.756637051311287e-001 4.258763973532658e-001 5.469391105512488e-001 5.213547360186536e-001 3.906200659414558e-001 6.771587764600939e-002
1.592704081632653e+000 -4.938061205012356e-001 -3.771776867919363e-001 4.258098113689716e-001 5.463390412645844e-001 5.283945195047203e-001 3.912342943190645e-001 6.607621004372759e-002
1.602040816326530e+000 -4.837118516515520e-001 -3.783870428995129e-001 4.253648914952453e-001 5.469077741492825e-001 5.355163126670137e-001 3.921610189736504e-001 6.449343662170345e-002
1.611377551020408e+000 -4.732663165989672e-001 -3.793280137426620e-001 4.245589831528942e-001 5.488745668966327e-001 5.423421572759803e-001 3.934550356338977e-001 6.304827007483886e-002
1.620714285714285e+000 -4.626020411685250e-001 -3.800934185350334e-001 4.234341854897279e-001 5.524087856988912e-001 5.485285381029245e-001 3.951500768714060e-001 6.182056665086617e-002
1.630051020408163e+000 -4.517977001628080e-001 -3.808162369696743e-001 4.220485064302508e-001 5.575971275217557e-001 5.538166457493989e-001 3.972502047469084e-001 6.088201896191499e-002
1.639387755102040e+000 -4.408694530289681e-001 -3.816434376392381e-001 4.204639740013215e-001 5.644304555225925e-001 5.580635482094368e-001 3.997261276068664e-001 6.028871669797786e-002
