---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "GaitNormal0003-processed-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.490000000000000e+000 4.225877786810532e-001 -7.990454449838892e-002 3.659314742476980e-001 1.475635679400207e-001 2.559607837945867e-001 -2.926394233130647e-001
1.499336734693878e+000 4.200625837868791e-001 -8.470531053665636e-002 3.666358729419774e-001 1.465993423456002e-001 2.510397221097694e-001 -2.841477720327577e-001
1.508673469387755e+000 4.181872058532625e-001 -8.835551568772415e-002 3.645304541188406e-001 1.486568803008031e-001 2.435333030821659e-001 -2.711359037824980e-001
1.518010204081633e+000 4.169849236564016e-001 -9.084756145818190e-002 3.596040483892187e-001 1.539452948179962e-001 2.335118893583874e-001 -2.539130938897594e-001
1.527346938775510e+000 4.163932973427488e-001 -9.229454128429096e-002 3.519640581379595e-001 1.624925249482968e-001 2.211710297815201e-001 -2.330831349327531e-001
1.536683673469388e+000 4.162462154462142e-001 -9.291767098555298e-002 3.418682910090516e-001 1.740575913353169e-001 2.069578472493282e-001 -2.096208301824348e-001
1.546020408163265e+000 4.162814862213707e-001 -9.298493385876862e-002 3.296671352896776e-001 1.881784328989007e-001 1.915721111221746e-001 -1.847504882164619e-001
1.555357142857143e+000 4.161582804846561e-001 -9.277095284340375e-002 3.157762922358975e-001 2.042366636421930e-001 1.758930426499261e-001 -1.597757401448667e-001
1.564693877551020e+000 4.154847846957955e-001 -9.253975016839187e-002 3.006742275566299e-001 2.215171461255781e-001 1.608446436440243e-001 -1.358820547645421e-001
1.574030612244898e+000 4.138589757090224e-001 -9.253445090306683e-002 2.848958738178955e-001 2.392572139704790e-001 1.472641679740574e-001 -1.139700263551670e-001
1.583367346938775e+000 4.109206613612408e-001 -9.296236602882012e-002 2.690046914031963e-001 2.566996038153105e-001 1.358238527756449e-001 -9.458197560255095e-002
1.592704081632653e+000 4.064022285065199e-001 -9.397806064522150e-002 2.535470406366129e-001 2.731569031782483e-001 1.270045485289858e-001 -7.794096762910796e-002
1.602040816326530e+000 4.001602929036602e-001 -9.567369312344005e-002 2.390023096355951e-001 2.880723320305210e-001 1.210977195197505e-001 -6.406145352216063e-002
1.611377551020408e+000 3.921766953467235e-001 -9.808232074054871e-002 2.257435999460060e-001 3.010534909051527e-001 1.182212180988995e-001 -5.286277778836036e-002
1.620714285714285e+000 3.825302494781066e-001 -1.011905944991554e-001 2.140194937995663e-001 3.118710046206751e-001 1.183407576848838e-001 -4.423733993129032e-002
1.630051020408163e+000 3.713534249184286e-001 -1.049499412687640e-001 2.039545968601846e-001 3.204336669721875e-001 1.212909650356892e-001 -3.806809635454062e-002
1.639387755102040e+000 3.587940751523437e-001 -1.092791454026728e-001 1.955595761081419e-001 3.267575537651219e-001 1.267976695974306e-001 -3.422047057782148e-002
1.648724489795918e+000 3.449953239081103e-001 -1.140624307571046e-001 1.887485579602419e-001 3.309385616508241e-001 1.345077665092706e-001 -3.253649349298622e-002
