---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "GaitNormal0003-processed-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
1.490000000000000e+000 -1.485641844696659e-001 9.311776738065647e-001 -3.627786212887171e-001 7.648720598574891e-003 1.980152977453842e-002 2.819256259458989e-002 -1.953811155399370e-001 5.320080604704597e-002 -2.127884462886397e-001
1.499336734693878e+000 -1.363457809711449e-001 9.299610423896932e-001 -3.619144670224252e-001 4.181058794610041e-003 2.469516334794708e-002 2.844194433958081e-002 -1.945227064898041e-001 6.093310548881261e-002 -2.145357867248169e-001
1.508673469387755e+000 -1.239711468545408e-001 9.288726618554375e-001 -3.610765366631226e-001 3.216589309906003e-004 2.925407367050403e-002 2.840327946028817e-002 -1.933382142742561e-001 6.922854481171495e-002 -2.159804227366365e-001
1.518010204081633e+000 -1.114979568747374e-001 9.279527043267587e-001 -3.602686865195536e-001 -3.927263941433825e-003 3.335922956307491e-002 2.808836256101975e-002 -1.918535171435478e-001 7.803993656148063e-002 -2.170412113895644e-001
1.527346938775510e+000 -9.896153685226514e-002 9.272404755720765e-001 -3.594899806224056e-001 -8.565172636190319e-003 3.689331330881385e-002 2.752987708841053e-002 -1.901158860954403e-001 8.731580223658082e-002 -2.176356217379671e-001
1.536683673469388e+000 -8.638668956431135e-002 9.267684389819582e-001 -3.587350602249494e-001 -1.357230102240522e-002 3.976121227325624e-002 2.678859908524368e-002 -1.882002770240117e-001 9.697449178558605e-002 -2.176992984619272e-001
1.546020408163265e+000 -7.379051906751419e-002 9.265604510657043e-001 -3.579954254465590e-001 -1.890018155587070e-002 4.189764398167339e-002 2.595564496728044e-002 -1.862104051593140e-001 1.068968296511998e-001 -2.171919932056735e-001
1.555357142857143e+000 -6.118518947671837e-002 9.266304991386649e-001 -3.572606750392428e-001 -2.447132426919852e-002 4.327580235429673e-002 2.514638178745478e-002 -1.842719621371080e-001 1.169305684546619e-001 -2.161031033821508e-001
1.564693877551020e+000 -4.858038710164345e-002 9.269821066592907e-001 -3.565196571451237e-001 -3.018711076832559e-002 4.391397741540426e-002 2.448461010013033e-002 -1.825161342035506e-001 1.269047342516284e-001 -2.144536366036232e-001
1.574030612244898e+000 -3.598547142546497e-002 9.276085062587510e-001 -3.557614948514922e-001 -3.594016351263679e-002 4.387634590083467e-002 2.407949615395465e-002 -1.810560141120880e-001 1.366481235938989e-001 -2.122922107156536e-001
1.583367346938775e+000 -2.341145671610591e-002 9.284934808295841e-001 -3.549764401940737e-001 -4.162746844740193e-002 4.326709148353114e-002 2.400217176330376e-002 -1.799637405950327e-001 1.460066667928436e-001 -2.096871674416032e-001
1.592704081632653e+000 -1.087264913103448e-002 9.296126797983203e-001 -3.541566206695063e-001 -4.716137043273648e-002 4.221878271497648e-002 2.427059498531279e-002 -1.792574395818699e-001 1.548563299407343e-001 -2.067177349653318e-001
1.602040816326530e+000 1.612602528070292e-003 9.309353339151226e-001 -3.532967802748886e-001 -5.247674911668231e-002 4.087566589605785e-002 2.484811729902025e-002 -1.789026619144595e-001 1.631100895895432e-001 -2.034640499100143e-001
1.611377551020408e+000 1.402245522998380e-002 9.324263774362872e-001 -3.523949828560558e-001 -5.753400178443219e-002 3.937399429198862e-002 2.565635522736033e-002 -1.788277843293131e-001 1.707190460349383e-001 -1.999958329520613e-001
1.620714285714285e+000 2.633334157860675e-002 9.340488404863060e-001 -3.514530897516948e-001 -6.231725021867877e-002 3.782396068071847e-002 2.659953559002197e-002 -1.789499554898294e-001 1.776674680635244e-001 -1.963626705239356e-001
