---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "GaitFast0001-processed-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
1.260000000000000e+000 -3.060721291526639e-001 1.716643778922022e-002 2.827557788259030e-001 3.038667350370680e-001 1.610166957508915e-001 -2.778545001783947e-001
1.269760479041916e+000 -3.053510329038169e-001 3.208154753108716e-002 2.581511247080159e-001 3.319756127336048e-001 1.151113726961217e-001 -2.483990105500075e-001
1.279520958083832e+000 -3.028183587084501e-001 4.688568413265015e-002 2.352935448349491e-001 3.638455963397660e-001 6.635453326430134e-002 -2.183731384405626e-001
1.289281437125748e+000 -2.981268358918591e-001 6.134834558953428e-002 2.144308533022037e-001 3.998638396314651e-001 1.541540419468912e-002 -1.875693517568517e-001
1.299041916167665e+000 -2.908356244081603e-001 7.527421448478933e-002 1.956799982078483e-001 4.404667459228372e-001 -3.673163247577462e-002 -1.556780420776578e-001
1.308802395209581e+000 -2.804918375398829e-001 8.849725313546974e-002 1.790027184063910e-001 4.859114433004261e-001 -8.878199977682395e-002 -1.224212249078809e-001
1.318562874251497e+000 -2.666876159040059e-001 1.008666039528412e-001 1.642037653945621e-001 5.361878416310394e-001 -1.391666389015488e-001 -8.758211217671716e-002
1.328323353293413e+000 -2.491461999361024e-001 1.122356676805276e-001 1.509916562690431e-001 5.909547371515580e-001 -1.861972222956087e-001 -5.106603568120656e-002
1.338083832335329e+000 -2.278001567971149e-001 1.224653489252947e-001 1.390754485758510e-001 6.495235357502075e-001 -2.282592629462724e-001 -1.296306556012183e-002
1.347844311377245e+000 -2.028248019936542e-001 1.314414828908610e-001 1.282490944743619e-001 7.109032387883045e-001 -2.639926647082322e-001 2.642373668321109e-002
1.357604790419161e+000 -1.746146851480057e-001 1.390943388829273e-001 1.184263031450269e-001 7.738972334281998e-001 -2.924160366459478e-001 6.660628851018996e-002
1.367365269461077e+000 -1.437138619401187e-001 1.454080832517810e-001 1.096231313596263e-001 8.372231595126869e-001 -3.129979055300393e-001 1.069868152697258e-001
1.377125748502994e+000 -1.107248828119878e-001 1.504163099706850e-001 1.019087656408307e-001 8.996204028005981e-001 -3.257000388617695e-001 1.469504184040003e-001
1.386886227544910e+000 -7.622703982732304e-002 1.541866741968412e-001 9.534957564953284e-002 9.599211466705312e-001 -3.309849275224447e-001 1.859366137670681e-001
1.396646706586826e+000 -4.072611736914708e-002 1.568013426352217e-001 8.996794608108200e-002 1.017084866247792e+000 -3.297443984992055e-001 2.234535769440119e-001
1.406407185628742e+000 -4.638463071425006e-003 1.583410378838397e-001 8.572790987004485e-002 1.070212569470887e+000 -3.231367721873298e-001 2.590334938710555e-001
1.416167664670658e+000 3.170326426148407e-002 1.588784919265582e-001 8.254724547602341e-002 1.118555030626196e+000 -3.123843988364859e-001 2.921760636544500e-001
1.425928143712574e+000 6.803616190760829e-002 1.584835970662744e-001 8.032459623190870e-002 1.161518058670348e+000 -2.986045744428133e-001 3.223320673708742e-001
