---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.FileName = "GaitNormal0001-processed-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
1.560000000000000e+000 -1.626341495031307e-001 9.296025816853474e-001 -3.189380610106717e-001 1.533811500004062e-002 1.054625742818811e-001 1.806079580375893e-002 -2.072450343467678e-001 5.315208717434454e-002 -2.619477263531870e-001
1.569846153846154e+000 -1.492585095124538e-001 9.285401894266515e-001 -3.183727731624234e-001 1.188034944768697e-002 1.117332517285634e-001 1.592576252866415e-002 -2.033550725489948e-001 6.130694006400655e-002 -2.653688451292213e-001
1.579692307692308e+000 -1.356715629344776e-001 9.276651751636087e-001 -3.177859832327512e-001 7.564128009269739e-003 1.174118052554565e-001 1.337093903079509e-002 -1.990148058668977e-001 7.030980163085226e-002 -2.681954842543481e-001
1.589538461538462e+000 -1.219364650973800e-001 9.270225107634474e-001 -3.171765469186829e-001 2.412080298609611e-003 1.223179265233521e-001 1.048129575513379e-002 -1.943365309199538e-001 8.006202347266286e-002 -2.703006744504525e-001
1.599384615384615e+000 -1.080936096004358e-001 9.266534941777811e-001 -3.165425299542510e-001 -3.516433319318170e-003 1.262873192302152e-001 7.385311693504581e-003 -1.894814097404187e-001 9.043322081859614e-002 -2.715748973314823e-001
1.609230769230769e+000 -9.417484639429054e-002 9.265880375106095e-001 -3.158816471115226e-001 -1.009851460225991e-002 1.292005501657807e-001 4.254554314015004e-003 -1.846535154094684e-001 1.012323322276062e-001 -2.719527015034355e-001
1.619076923076923e+000 -8.020630704570354e-002 9.268431270976698e-001 -3.151907863995212e-001 -1.715047728647968e-002 1.309936299564229e-001 1.292011291348922e-003 -1.800832170987199e-001 1.122098392559301e-001 -2.714183465640381e-001
1.628923076923077e+000 -6.621052515991870e-002 9.274224286973868e-001 -3.144657109719138e-001 -2.444383490247711e-002 1.316695829488719e-001 -1.286467506307646e-003 -1.760058579724536e-001 1.230755212245127e-001 -2.700097834515588e-001
1.638769230769231e+000 -5.220856246697100e-002 9.283174928195201e-001 -3.137014074457661e-001 -3.173046212297451e-002 1.313042815244143e-001 -3.281117954267292e-003 -1.726327885578571e-001 1.335269627704586e-001 -2.678174688651077e-001
1.648615384615385e+000 -3.822217575558010e-002 9.295099969276587e-001 -3.128927695327208e-001 -3.877163802075600e-002 1.300399213296579e-001 -4.541271630262735e-003 -1.701203761597400e-001 1.432813334669472e-001 -2.649743273435803e-001
1.658461538461538e+000 -2.427545608383092e-002 9.309739536078683e-001 -3.120353688722283e-001 -4.536375466417563e-002 1.280674217104589e-001 -4.989969902659839e-003 -1.685478063280588e-001 1.521027370796345e-001 -2.616377944303177e-001
1.668307692307692e+000 -1.039542557585994e-002 9.326774804912659e-001 -3.111265821353786e-001 -5.135491565661268e-002 1.256032871824835e-001 -4.633097632924904e-003 -1.679094131164314e-001 1.598206239329977e-001 -2.579689073786566e-001
1.678153846153846e+000 3.388599696609279e-003 9.345844760012404e-001 -3.101671765750362e-001 -5.665196697850047e-002 1.228645105268431e-001 -3.552534595875922e-003 -1.681221436441125e-001 1.663393671242240e-001 -2.541126038304271e-001
1.688000000000000e+000 1.704700310589711e-002 9.366564899245951e-001 -3.091628670913542e-001 -6.121930220694710e-002 1.200445506753012e-001 -1.885072820747450e-003 -1.690465742810893e-001 1.716392027080685e-001 -2.501804847090108e-001
1.697846153846154e+000 3.055300392463388e-002 9.388546638295051e-001 -3.081249674512571e-001 -6.506963077625852e-002 1.172946389441383e-001 2.092524760402049e-004 -1.705176587167439e-001 1.757665501479199e-001 -2.462380145295318e-001
