---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "GaitNormal0002-processed-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
1.970000000000000e+000 -1.483723168042684e-001 9.351236809174519e-001 -3.505513437397779e-001 3.917345070248347e-002 -4.007536206281714e-002 -4.272297865871073e-002 -1.300147695085737e-001 -1.968388660657539e-002 -1.808025441426630e-001 -7.658071053320217e-002
1.979791666666667e+000 -1.362614261923646e-001 9.338771573952092e-001 -3.497147715644862e-001 3.489406568554437e-002 -3.694670272489908e-002 -4.265995484275944e-002 -1.290216909754358e-001 -1.130227801297523e-002 -1.816153194968686e-001 -7.321512312965273e-002
1.989583333333333e+000 -1.239589977171478e-001 9.327935710961405e-001 -3.488760284101919e-001 2.998313491559963e-002 -3.411416565295533e-002 -4.283943531614935e-002 -1.276605150100064e-001 -2.114692056208090e-003 -1.819315651226806e-001 -7.004486354075441e-002
1.999375000000000e+000 -1.115222258314046e-001 9.319181454396802e-001 -3.480349088221932e-001 2.444839923221849e-002 -3.165372293870461e-002 -4.324437045671283e-002 -1.259429425765024e-001 7.824340043985849e-003 -1.816897648371126e-001 -6.713371982621283e-002
2.009166666666667e+000 -9.898685642116907e-002 9.312931055175828e-001 -3.471872924703563e-001 1.831270154185852e-002 -2.962805534911417e-002 -4.383756574998623e-002 -1.239028470458935e-001 1.843937661896855e-002 -1.808491867589423e-001 -6.454426429113071e-002
2.018958333333333e+000 -8.638071724971118e-002 9.309502785398417e-001 -3.463266227382816e-001 1.163945558355232e-002 -2.807007506933079e-002 -4.455031925217645e-002 -1.216138880509871e-001 2.960295195169630e-002 -1.794094175001962e-001 -6.231549289216901e-002
2.028750000000000e+000 -7.372695062336931e-002 9.309087437774477e-001 -3.454449947717813e-001 4.539677156910062e-003 -2.697825384698205e-002 -4.528048648302130e-002 -1.191913454754551e-001 4.112924186740614e-002 -1.774095719662003e-001 -6.045453345615506e-002
2.038541666666667e+000 -6.104653175616954e-002 9.311735435062788e-001 -3.445341287819087e-001 -2.834120802201992e-003 -2.631294521759964e-002 -4.590201708954161e-002 -1.167816300273609e-001 5.278466961813774e-002 -1.749240011481960e-001 -5.893047659735376e-002
2.048333333333333e+000 -4.836020162994856e-002 9.317361740862038e-001 -3.435864241092851e-001 -1.030817160271344e-002 -2.599793155263996e-002 -4.628663020327086e-002 -1.145394910736794e-001 6.431647312349269e-002 -1.720520814206532e-001 -5.767203613947456e-002
2.058125000000000e+000 -3.568986105518927e-002 9.325765767395574e-001 -3.425960458917627e-001 -1.771396065467770e-002 -2.592990574463561e-002 -4.633086557008399e-002 -1.125997748230516e-001 7.548836879865059e-002 -1.689029383280698e-001 -5.657285074720873e-002
2.067916666666667e+000 -2.305946864608977e-002 9.336656580874568e-001 -3.415598371169130e-001 -2.490920146746323e-002 -2.599301718110336e-002 -4.597822269809480e-002 -1.110535494852375e-001 8.610786523967148e-002 -1.655797107947598e-001 -5.550690859557148e-002
2.077708333333333e+000 -1.049513447130760e-002 9.349678112570732e-001 -3.404780017543420e-001 -3.178694757647111e-002 -2.607469081363023e-002 -4.522945751129821e-002 -1.099349722913434e-001 9.603744955399812e-002 -1.621662289979476e-001 -5.435030016081416e-002
2.087500000000000e+000 1.975939657721604e-003 9.364435391564052e-001 -3.393545272479863e-001 -3.827504316625277e-002 -2.608117321648895e-002 -4.413923751068390e-002 -1.092212763745759e-001 1.051925065626010e-001 -1.587169758692527e-001 -5.300123863289338e-002
2.097291666666667e+000 1.432740571939042e-002 9.380523220610793e-001 -3.381972101668750e-001 -4.433126463130243e-002 -2.594979917351736e-002 -4.280055999411048e-002 -1.088460813072434e-001 1.135327368159172e-001 -1.552526459328152e-001 -5.139244962953676e-002
