---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "GaitNormal0003-processed-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
1.490000000000000e+000 -2.285608653345268e-001 -1.911494442243291e-001 3.631457468345165e-001 1.784616482524991e-001 5.705998637296020e-001 -5.931325816699674e-001
1.499336734693878e+000 -2.322981782630501e-001 -1.765500703721836e-001 3.537978961017112e-001 1.881108225188171e-001 5.639833469196098e-001 -5.876769366396207e-001
1.508673469387755e+000 -2.353195381566635e-001 -1.608682336798480e-001 3.426631198826935e-001 1.982610276622784e-001 5.544204861908405e-001 -5.790848623622709e-001
1.518010204081633e+000 -2.375228499375808e-001 -1.442278731312157e-001 3.297649313236339e-001 2.091933632661432e-001 5.416960977705294e-001 -5.672246064060006e-001
1.527346938775510e+000 -2.388022837489709e-001 -1.267647501249618e-001 3.152073289159270e-001 2.212924777873093e-001 5.256079746906712e-001 -5.520575672777681e-001
1.536683673469388e+000 -2.390720253133285e-001 -1.086635924560796e-001 2.992107001045814e-001 2.350006431846399e-001 5.060188715789762e-001 -5.337206662677839e-001
1.546020408163265e+000 -2.382616245783847e-001 -9.015411665605598e-002 2.820860351526509e-001 2.507922177285389e-001 4.828489953392147e-001 -5.125093562774451e-001
1.555357142857143e+000 -2.362995631468881e-001 -7.149698505400057e-002 2.642106253726788e-001 2.691486296700583e-001 4.560765793593149e-001 -4.888569255734045e-001
1.564693877551020e+000 -2.330890642061297e-001 -5.296181067253371e-002 2.460025473294871e-001 2.905315383826850e-001 4.257453783145148e-001 -4.633004170536306e-001
1.574030612244898e+000 -2.284852818990079e-001 -3.480146219349396e-002 2.278895748870635e-001 3.153525346509020e-001 3.919792649791001e-001 -4.364296238847519e-001
1.583367346938775e+000 -2.222852994130003e-001 -1.722676111354815e-002 2.102712211983862e-001 3.439397497855535e-001 3.550085211558316e-001 -4.088264002497067e-001
1.592704081632653e+000 -2.142400871049737e-001 -3.869121974525189e-004 1.934775190961939e-001 3.765024613184527e-001 3.152100101362953e-001 -3.810055672081476e-001
1.602040816326530e+000 -2.040936096848865e-001 1.563883667172801e-002 1.777346885852265e-001 4.130969174183565e-001 2.731554575050106e-001 -3.533701190124194e-001
1.611377551020408e+000 -1.916302355806955e-001 3.083350300535587e-002 1.631478180444963e-001 4.536021811276395e-001 2.296563826130525e-001 -3.261948497871574e-001
1.620714285714285e+000 -1.767296099569009e-001 4.522353361959446e-002 1.497054871909360e-001 4.977132328811473e-001 1.857872928085800e-001 -2.996479625394152e-001
1.630051020408163e+000 -1.594007374471932e-001 5.885030862045199e-002 1.373027071020940e-001 5.449573042475754e-001 1.428633739558151e-001 -2.738423293837016e-001
1.639387755102040e+000 -1.397943298764381e-001 7.174116917312086e-002 1.257785590008933e-001 5.947304703469386e-001 1.023542953438154e-001 -2.488919069472023e-001
1.648724489795918e+000 -1.181747725472034e-001 8.388723557795881e-002 1.149596947284965e-001 6.463463853011949e-001 6.574726947243416e-002 -2.249494829687421e-001
1.658061224489795e+000 -9.487268366044228e-002 9.523685863587934e-002 1.046967103590448e-001 6.990818325679463e-001 3.439709682733488e-002 -2.022146639099003e-001
1.667397959183673e+000 -7.023496889968052e-002 1.057013346684578e-001 9.488477932963702e-002 7.522093058012934e-001 9.391947201124896e-003 -1.809124041711780e-001
1.676734693877551e+000 -4.458681223480718e-002 1.151665162945191e-001 8.547023325061010e-002 8.050159184943470e-001 -8.558262628471943e-003 -1.612484876457690e-001
1.686071428571428e+000 -1.820740695967037e-002 1.235079477489568e-001 7.644835066135558e-002 8.568137489915576e-001 -1.920335328462371e-002 -1.433582076019785e-001
1.695408163265306e+000 8.683519199744572e-003 1.306098443187747e-001 6.785439644730062e-002 9.069474126606339e-001 -2.278141461599166e-002 -1.272735407316796e-001
1.704744897959183e+000 3.592853723543393e-002 1.363842659043285e-001 5.974916947521658e-002 9.548026925363744e-001 -1.997036239890349e-002 -1.129288582557485e-001
1.714081632653061e+000 6.342290745743907e-002 1.407835232022133e-001 5.220498545944685e-002 9.998169705073640e-001 -1.176341296473085e-002 -1.002037653759817e-001
1.723418367346938e+000 9.109435310448566e-002 1.438030366858502e-001 4.529976876685882e-002 1.041489613839128e+000 6.965563699531378e-004 -8.898064677511298e-002
1.732755102040816e+000 1.188796378925804e-001 1.454781329246876e-001 3.911940905970623e-002 1.079389772990632e+000 1.627242392560238e-002 -7.918870643182302e-002
1.742091836734693e+000 1.467066193954770e-001 1.458790877317913e-001 3.376006585277636e-002 1.113160034416493e+000 3.393875004165998e-002 -7.081597601688990e-002
1.751428571428571e+000 1.744852841821462e-001 1.451059172193329e-001 2.932389884723352e-002 1.142515559926968e+000 5.282738254520417e-002 -6.388844469833047e-002
1.760765306122448e+000 2.021046963608160e-001 1.432828051140815e-001 2.591036018049864e-002 1.167239178655099e+000 7.222679711881089e-002 -5.843030168891492e-002
1.770102040816326e+000 2.294320899044055e-001 1.405515049301470e-001 2.360909480050233e-002 1.187173961377801e+000 9.155947680099305e-002 -5.442216634195969e-002
1.779438775510203e+000 2.563146812849328e-001 1.370633798928505e-001 2.249772668132821e-002 1.202215491361447e+000 1.103576527603188e-001 -5.176867387711119e-002
1.788775510204081e+000 2.825854865123476e-001 1.329714431026030e-001 2.264257125114377e-002 1.212304956039181e+000 1.282470561213752e-001 -5.028183274022541e-002
1.798112244897958e+000 3.080712683977838e-001 1.284239908240832e-001 2.409645888823553e-002 1.217422951286808e+000 1.449388275545141e-001 -4.968259455162283e-002
1.807448979591836e+000 3.326013477385376e-001 1.235596778749598e-001 2.689118678091829e-002 1.217584455731668e+000 1.602244582002050e-001 -4.961988269704252e-002
1.816785714285713e+000 3.560177361442400e-001 1.185030436031621e-001 3.102960037446256e-002 1.212835276390851e+000 1.739693586047001e-001 -4.970353667849777e-002
1.826122448979591e+000 3.781851038143520e-001 1.133603093401053e-001 3.648320135082983e-002 1.203248865503220e+000 1.861054333761699e-001 -4.954469776125386e-002
1.835459183673468e+000 3.989983189342439e-001 1.082164164981419e-001 4.319647848265684e-002 1.188922684009831e+000 1.966241664035200e-001 -4.879809828621895e-002
