---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "GaitNormal0003-processed-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.490000000000000e+000 5.156591621802517e-001 -6.688891065966540e-002 3.728113128622947e-001 1.523069128046405e-001 2.562316000273099e-001 -2.968702512462526e-001
1.499336734693878e+000 5.134870932290530e-001 -7.147670506115138e-002 3.735724405657031e-001 1.514190110241024e-001 2.513573555612225e-001 -2.883267181852380e-001
1.508673469387755e+000 5.118318190681311e-001 -7.496021768518148e-002 3.714748192502044e-001 1.535436138442393e-001 2.439008435755848e-001 -2.752166848604201e-001
1.518010204081633e+000 5.107204378622307e-001 -7.733203967878614e-002 3.665074791656331e-001 1.588914060183097e-001 2.339295352263283e-001 -2.578490732668834e-001
1.527346938775510e+000 5.100975919340502e-001 -7.870580637689968e-002 3.587865687391880e-001 1.674928515897196e-001 2.216378348019675e-001 -2.368358042962035e-001
1.536683673469388e+000 5.098043959839004e-001 -7.930455277404397e-002 3.485873167525193e-001 1.791098192394315e-001 2.074744811779039e-001 -2.131698419443078e-001
1.546020408163265e+000 5.095855294523188e-001 -7.939864710984330e-002 3.362820883841573e-001 1.932831206098398e-001 1.921435146402520e-001 -1.880993163710990e-001
1.555357142857143e+000 5.091088134424228e-001 -7.926400862266972e-002 3.223083648750087e-001 2.093970610713503e-001 1.765300240239247e-001 -1.629514735110660e-001
1.564693877551020e+000 5.079961704543050e-001 -7.916322812557340e-002 3.071620490361728e-001 2.267387853192555e-001 1.615637863646534e-001 -1.389297904607517e-001
1.574030612244898e+000 5.058663205980419e-001 -7.933460501781850e-002 2.913886828109629e-001 2.445472246515467e-001 1.480861624780610e-001 -1.169443645306573e-001
1.583367346938775e+000 5.023854652063425e-001 -7.997780880890977e-002 2.755550800511437e-001 2.620657785570707e-001 1.367710472699868e-001 -9.753887392002705e-002
1.592704081632653e+000 4.973143415788742e-001 -8.123814453511966e-002 2.602046508288078e-001 2.786067164300938e-001 1.280986802903311e-001 -8.093207079063090e-002
1.602040816326530e+000 4.905315300879399e-001 -8.319904198464188e-002 2.458099246511893e-001 2.936116472485388e-001 1.223583521704935e-001 -6.713195959448849e-002
1.611377551020408e+000 4.820351881484701e-001 -8.588532135203629e-002 2.327342742439245e-001 3.066861579158656e-001 1.196653489320315e-001 -5.605123071404654e-002
1.620714285714285e+000 4.719106596016923e-001 -8.927708956169710e-002 2.212161879169310e-001 3.175986356721044e-001 1.199832909816904e-001 -4.757735275176259e-002
1.630051020408163e+000 4.602933527621809e-001 -9.332007168489621e-002 2.113705039711205e-001 3.262566751683008e-001 1.231459516840094e-001 -4.158996242023445e-002
1.639387755102040e+000 4.473295135991831e-001 -9.792938337558205e-002 2.032006868417791e-001 3.326759862100521e-001 1.288794192276299e-001 -3.795305123129464e-002
1.648724489795918e+000 4.331612692560505e-001 -1.029875241332202e-001 1.966166594857630e-001 3.369530440187826e-001 1.368314646911067e-001 -3.650819286991695e-002
