---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "GaitNormal0003-processed-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
1.490000000000000e+000 -2.295379767064830e-001 -1.907047270590568e-001 3.686366981445632e-001 1.801976528960786e-001 5.750415622561337e-001 -5.998627314405132e-001
1.499336734693878e+000 -2.331987856768806e-001 -1.760042938002495e-001 3.591645857654864e-001 1.897948799847638e-001 5.683496804909541e-001 -5.942432619684825e-001
1.508673469387755e+000 -2.361412250770160e-001 -1.602195726431872e-001 3.479024532024473e-001 1.998936077423349e-001 5.587060790714159e-001 -5.854946245578264e-001
1.518010204081633e+000 -2.382646385235115e-001 -1.434742858618948e-001 3.348721364583864e-001 2.107749781827152e-001 5.458960865625271e-001 -5.734835447150912e-001
1.527346938775510e+000 -2.394645680757677e-001 -1.259037932077639e-001 3.201755156043669e-001 2.228237734008466e-001 5.297184659558660e-001 -5.581694495294342e-001
1.536683673469388e+000 -2.396567701399653e-001 -1.076925918562304e-001 3.040308948876784e-001 2.364826559544909e-001 5.100376181561461e-001 -5.396873469098332e-001
1.546020408163265e+000 -2.387725392819247e-001 -8.907038520748387e-002 2.867474083190000e-001 2.522266138099839e-001 4.867759203383187e-001 -5.183311635238164e-001
1.555357142857143e+000 -2.367421799594914e-001 -7.029806596409191e-002 2.687009395295357e-001 2.705379146757043e-001 4.599141018172426e-001 -4.945333554015112e-001
1.564693877551020e+000 -2.334706376722212e-001 -5.164573574153338e-002 2.503088791562016e-001 2.918792457150217e-001 4.294985229922385e-001 -4.688311313827155e-001
1.574030612244898e+000 -2.288144658075896e-001 -3.336701099750913e-002 2.319993064757577e-001 3.166633880476123e-001 3.956555490089812e-001 -4.418156807144968e-001
1.583367346938775e+000 -2.225716120582774e-001 -1.567369419500453e-002 2.141732111811114e-001 3.452197768331551e-001 3.586176245182569e-001 -4.140715276963454e-001
1.592704081632653e+000 -2.144932213469344e-001 1.283864825859915e-003 1.971632596893342e-001 3.777590152541657e-001 3.187632455590461e-001 -3.861171658821555e-001
1.602040816326530e+000 -2.043227042022821e-001 1.742522522107373e-002 1.811992187760185e-001 4.143385485592515e-001 2.766650733095555e-001 -3.583596633445396e-001
1.611377551020408e+000 -1.918432703436801e-001 3.273231520138367e-002 1.663902018826247e-001 4.548383043473766e-001 2.331347761801360e-001 -3.310774837703335e-001
1.620714285714285e+000 -1.769330646252447e-001 4.723073866786295e-002 1.527287674902731e-001 4.989535720463674e-001 1.892462656238590e-001 -3.044413328123047e-001
1.630051020408163e+000 -1.595995942333650e-001 6.096136024721698e-002 1.401133888237596e-001 5.462111762065368e-001 1.463135886747415e-001 -2.785649838649234e-001
1.639387755102040e+000 -1.399923859730966e-001 7.395132071794491e-002 1.283857757494125e-001 5.960060481992864e-001 1.058050484688995e-001 -2.535617258917793e-001
1.648724489795918e+000 -1.183751233341108e-001 8.619176681094314e-002 1.173742737663110e-001 6.476501145781830e-001 6.920658027458083e-002 -2.295825454799400e-001
