---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.FileName = "LANK.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
 2.691700000000000e+000  -1.849644290987195e+000  -2.037976838697913e-001   5.685137671550612e-002
 2.705340764331210e+000  -1.849513052920858e+000  -2.039939888038316e-001   5.723161297408026e-002
 2.718981528662420e+000  -1.849360537791568e+000  -2.042532211213896e-001   5.767077189834158e-002
 2.732622292993630e+000  -1.849176762243935e+000  -2.046307507091551e-001   5.821905800751113e-002
 2.746263057324840e+000  -1.848986158317499e+000  -2.051420395884571e-001   5.889161346626268e-002
 2.759903821656050e+000  -1.848796883831196e+000  -2.057481512118332e-001   5.972722823677153e-002
 2.773544585987260e+000  -1.848565123121763e+000  -2.063472804243270e-001   6.080790751792209e-002
 2.787185350318470e+000  -1.848218157365389e+000  -2.067923297734228e-001   6.220261270200794e-002
 2.800826114649680e+000  -1.847673770889805e+000  -2.069831223063200e-001   6.392750499892029e-002
 2.814466878980890e+000  -1.846898974617888e+000  -2.069504814605905e-001   6.598290553501533e-002
 2.828107643312100e+000  -1.845901838191655e+000  -2.067139153455493e-001   6.847228687621662e-002
 2.841748407643310e+000  -1.844597051054571e+000  -2.061798238849624e-001   7.156446276454886e-002
 2.855389171974520e+000  -1.842851307662972e+000  -2.053200026793461e-001   7.531189923611463e-002
 2.869029936305730e+000  -1.840597711941504e+000  -2.042304643374949e-001   7.968947825169756e-002
 2.882670700636940e+000  -1.837774591600037e+000  -2.030029085763962e-001   8.471916470252466e-002
 2.896311464968150e+000  -1.834227921570082e+000  -2.016522423660596e-001   9.046600699537258e-002
 2.909952229299360e+000  -1.829667216849005e+000  -2.001356571929023e-001   9.701421003367552e-002
 2.923592993630570e+000  -1.823672605597828e+000  -1.984159799490831e-001   1.044504724542954e-001
 2.937233757961780e+000  -1.815801698947839e+000  -1.965108656191884e-001   1.128172101700137e-001
 2.950874522292990e+000  -1.805761249529760e+000  -1.944958929937832e-001   1.221399198002934e-001
 2.964515286624200e+000  -1.793438303749246e+000  -1.925526247096044e-001   1.324884295687566e-001
 2.978156050955410e+000  -1.778747217961252e+000  -1.909877827092916e-001   1.439092451290938e-001
 2.991796815286619e+000  -1.761496427291937e+000  -1.900438790409205e-001   1.562808724657747e-001
 3.005437579617829e+000  -1.741538941802276e+000  -1.898212682753316e-001   1.691758829891208e-001
 3.019078343949039e+000  -1.719006542256586e+000  -1.904253201379328e-001   1.819488099701429e-001
 3.032719108280249e+000  -1.694170763619942e+000  -1.919707769525104e-001   1.940199007842270e-001
 3.046359872611459e+000  -1.667242810695826e+000  -1.944338206293227e-001   2.048710738587171e-001
 3.060000636942669e+000  -1.638367325684870e+000  -1.975876246231213e-001   2.138469995185842e-001
 3.073641401273879e+000  -1.607543509495642e+000  -2.011167307143375e-001   2.201862317510469e-001
 3.087282165605089e+000  -1.574612945032453e+000  -2.046968505659256e-001   2.234602836311018e-001
 3.100922929936299e+000  -1.539465186942453e+000  -2.080967910292303e-001   2.237086750532464e-001
 3.114563694267509e+000  -1.502264757040199e+000  -2.113247574945860e-001   2.210690654349514e-001
 3.128204458598719e+000  -1.463286032599545e+000  -2.145025088549174e-001   2.157252561492331e-001
 3.141845222929929e+000  -1.422708007863923e+000  -2.176821519745098e-001   2.079733480684295e-001
 3.155485987261139e+000  -1.380639701574078e+000  -2.208429010870070e-001   1.981072898725401e-001
 3.169126751592349e+000  -1.337081882756423e+000  -2.238888103363200e-001   1.864727661962260e-001
