---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.FileName = "RASI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.pz
 2.691700000000000e+000  -1.666242049963791e+000  -4.367974573381123e-001   9.684924899738586e-001
 2.705340764331210e+000  -1.649600008362944e+000  -4.370707351690505e-001   9.670048330697822e-001
 2.718981528662420e+000  -1.633433259257125e+000  -4.373389588407656e-001   9.652071928759787e-001
 2.732622292993630e+000  -1.617718032056668e+000  -4.376138917160176e-001   9.629360693398016e-001
 2.746263057324840e+000  -1.602097523945250e+000  -4.378816899775012e-001   9.601891743397952e-001
 2.759903821656050e+000  -1.586272545798955e+000  -4.380817814589709e-001   9.570108611667665e-001
 2.773544585987260e+000  -1.570093537027514e+000  -4.381699030674842e-001   9.535128993895797e-001
 2.787185350318470e+000  -1.553503605713217e+000  -4.381722234542074e-001   9.499022565297502e-001
 2.800826114649680e+000  -1.536501799307038e+000  -4.381675197610542e-001   9.464140971938984e-001
 2.814466878980890e+000  -1.519124600434887e+000  -4.382536356249798e-001   9.432228579171542e-001
 2.828107643312100e+000  -1.501388444859836e+000  -4.385584198511217e-001   9.404263839428000e-001
 2.841748407643310e+000  -1.483294210614440e+000  -4.392233272700741e-001   9.380749112906734e-001
 2.855389171974520e+000  -1.464911596218299e+000  -4.403052651515758e-001   9.361469113591990e-001
 2.869029936305730e+000  -1.446477219736173e+000  -4.417171347863089e-001   9.345443863365487e-001
 2.882670700636940e+000  -1.428442380143669e+000  -4.432899271577350e-001   9.331770660138301e-001
 2.896311464968150e+000  -1.411306504176595e+000  -4.448894516863102e-001   9.320514393508761e-001
 2.909952229299360e+000  -1.395140159860199e+000  -4.465160493864853e-001   9.314131925931031e-001
 2.923592993630570e+000  -1.379252916837385e+000  -4.483063979665384e-001   9.318046920947597e-001
 2.937233757961780e+000  -1.362858258352320e+000  -4.503593125876745e-001   9.336481356574879e-001
 2.950874522292990e+000  -1.345770637695978e+000  -4.526285893207618e-001   9.368546266372591e-001
 2.964515286624200e+000  -1.328135775528127e+000  -4.550169797234730e-001   9.409451361537002e-001
 2.978156050955410e+000  -1.310106171009029e+000  -4.574163049831844e-001   9.453040603903192e-001
 2.991796815286619e+000  -1.291759478448066e+000  -4.597070403446062e-001   9.494068175964536e-001
 3.005437579617829e+000  -1.273183939192656e+000  -4.618126713358411e-001   9.529368760044077e-001
 3.019078343949039e+000  -1.254669512066769e+000  -4.637436870395916e-001   9.558122680772530e-001
 3.032719108280249e+000  -1.236648063048083e+000  -4.655715440886638e-001   9.581601137344709e-001
 3.046359872611459e+000  -1.219337165268243e+000  -4.673643004267360e-001   9.602318432182672e-001
 3.060000636942669e+000  -1.202695356007875e+000  -4.690763104821379e-001   9.622725416091431e-001
 3.073641401273879e+000  -1.186645088505805e+000  -4.705206632522897e-001   9.644031873994368e-001
 3.087282165605089e+000  -1.171111083439803e+000  -4.715459706993839e-001   9.666321963156059e-001
 3.100922929936299e+000  -1.155839455273521e+000  -4.723222000206739e-001   9.689101589311920e-001
 3.114563694267509e+000  -1.140317693644164e+000  -4.734052656290266e-001   9.710932419872158e-001
 3.128204458598719e+000  -1.124191687551088e+000  -4.751790671222860e-001   9.729892220446285e-001
 3.141845222929929e+000  -1.107688887103505e+000  -4.773198058546376e-001   9.745402686534554e-001
 3.155485987261139e+000  -1.091310275177899e+000  -4.792525771365327e-001   9.758199847039464e-001
 3.169126751592349e+000  -1.075476142353509e+000  -4.807574427849650e-001   9.767884936573330e-001
 3.182767515923559e+000  -1.060555593668536e+000  -4.819433193224313e-001   9.771893668677503e-001
 3.196408280254769e+000  -1.046703785204081e+000  -4.829818351697180e-001   9.767828677666488e-001
 3.210049044585979e+000  -1.033519469545212e+000  -4.839403759629953e-001   9.756771811764905e-001
 3.223689808917189e+000  -1.020198868977644e+000  -4.847905387769788e-001   9.742925295924694e-001
 3.237330573248399e+000  -1.006059926324241e+000  -4.854834973350843e-001   9.730191806111425e-001
 3.250971337579609e+000  -9.909910397612913e-001  -4.859985951079164e-001   9.719358639241090e-001
 3.264612101910819e+000  -9.754085364419451e-001  -4.863506326523777e-001   9.708613452816594e-001
 3.278252866242029e+000  -9.597956229779886e-001  -4.865597232186619e-001   9.696041044784514e-001
 3.291893630573239e+000  -9.443866574682652e-001  -4.866161280019560e-001   9.680779166261891e-001
 3.305534394904449e+000  -9.291731985313192e-001  -4.865128692609095e-001   9.662924818081659e-001
 3.319175159235659e+000  -9.140666642974654e-001  -4.862956010291858e-001   9.643193800239888e-001
 3.332815923566869e+000  -8.989980477524886e-001  -4.860502833255108e-001   9.622619265775498e-001
 3.346456687898079e+000  -8.839355480867028e-001  -4.858863186422753e-001   9.602153086462388e-001
 3.360097452229289e+000  -8.688482780068919e-001  -4.858973392627591e-001   9.582302589840194e-001
 3.373738216560499e+000  -8.536347054855114e-001  -4.860622972881231e-001   9.562992570082898e-001
 3.387378980891709e+000  -8.380892188098749e-001  -4.861905662760671e-001   9.543944859431837e-001
 3.401019745222919e+000  -8.220228962559004e-001  -4.860779218874090e-001   9.524882591462462e-001
 3.414660509554129e+000  -8.053333942259350e-001  -4.856518090806535e-001   9.505457708094505e-001
 3.428301273885339e+000  -7.879154958102673e-001  -4.849036230281432e-001   9.485193892578977e-001
 3.441942038216549e+000  -7.696469267311766e-001  -4.837975191826018e-001   9.463468770965006e-001
 3.455582802547759e+000  -7.504641400089553e-001  -4.822810245174056e-001   9.440141483417331e-001
 3.469223566878969e+000  -7.304604326489443e-001  -4.803728914180220e-001   9.416302474757249e-001
 3.482864331210179e+000  -7.099483727952844e-001  -4.782341912279931e-001   9.394229020047131e-001
 3.496505095541389e+000  -6.893211641347873e-001  -4.760111357843601e-001   9.376622510227024e-001
 3.510145859872599e+000  -6.688470168029242e-001  -4.736227157053763e-001   9.365136952898261e-001
 3.523786624203809e+000  -6.486987567742145e-001  -4.708938085903290e-001   9.359499821987460e-001
 3.537427388535019e+000  -6.291045278172468e-001  -4.678217683643305e-001   9.357976449716803e-001
 3.551068152866229e+000  -6.103572980848967e-001  -4.646323658195166e-001   9.358251308851394e-001
 3.564708917197438e+000  -5.926453921972885e-001  -4.616435459034601e-001   9.358837674089459e-001
 3.578349681528648e+000  -5.759149986958156e-001  -4.590976453097311e-001   9.360606835671099e-001
 3.591990445859858e+000  -5.598578298552710e-001  -4.570850589274432e-001   9.366575852267638e-001
 3.605631210191068e+000  -5.439592366579373e-001  -4.555745459946649e-001   9.380007548319851e-001
 3.619271974522278e+000  -5.276861385070976e-001  -4.544862622289875e-001   9.402601023036183e-001
 3.632912738853488e+000  -5.108904925541763e-001  -4.536967424327340e-001   9.432997580647213e-001
 3.646553503184698e+000  -4.939060161229525e-001  -4.529794498590659e-001   9.467017471162856e-001
 3.660194267515908e+000  -4.771248704119440e-001  -4.521005014593915e-001   9.500716557272296e-001
 3.673835031847118e+000  -4.609250606075130e-001  -4.509567740301955e-001   9.531051908000692e-001
 3.687475796178328e+000  -4.455767836653888e-001  -4.495810274455191e-001   9.555994842173213e-001
 3.701116560509538e+000  -4.309249597646659e-001  -4.480543770274147e-001   9.575855591576403e-001
 3.714757324840748e+000  -4.165677561494144e-001  -4.464469377658801e-001   9.592264962244255e-001
 3.728398089171958e+000  -4.021769290004186e-001  -4.448373304147142e-001   9.606683305688518e-001
 3.742038853503168e+000  -3.875919768323519e-001  -4.433161000947388e-001   9.619928337650290e-001
 3.755679617834378e+000  -3.727720474216074e-001  -4.419752116597928e-001   9.632150928438691e-001
 3.769320382165588e+000  -3.577692151117923e-001  -4.408648717958743e-001   9.642497654890384e-001
 3.782961146496798e+000  -3.426716053656196e-001  -4.399862861936542e-001   9.649361938690678e-001
 3.796601910828008e+000  -3.275142845313720e-001  -4.393338202100181e-001   9.651527636372351e-001
 3.810242675159218e+000  -3.122622905781850e-001  -4.388784533671744e-001   9.648465371036296e-001
 3.823883439490428e+000  -2.968576583737300e-001  -4.385466963395521e-001   9.639818927114471e-001
 3.837524203821638e+000  -2.812637512216075e-001  -4.382581187166736e-001   9.625357780055267e-001
 3.851164968152848e+000  -2.654660783573514e-001  -4.379820572376296e-001   9.605389686695577e-001
 3.864805732484058e+000  -2.494327551277665e-001  -4.377271751428210e-001   9.581130852159364e-001
 3.878446496815268e+000  -2.330997422809956e-001  -4.375000220717516e-001   9.554346351382245e-001
 3.892087261146478e+000  -2.164129934916862e-001  -4.372906172483374e-001   9.526349152970906e-001
 3.905728025477688e+000  -1.993620073385213e-001  -4.371046729563997e-001   9.497652577468123e-001
 3.919368789808898e+000  -1.819957601895940e-001  -4.369973272304211e-001   9.468537518997109e-001
 3.933009554140108e+000  -1.644156486740308e-001  -4.370542129408167e-001   9.439783900787907e-001
 3.946650318471318e+000  -1.466878629693435e-001  -4.373597110264520e-001   9.412890930078682e-001
 3.960291082802528e+000  -1.287744074195181e-001  -4.379753863137848e-001   9.389344319184362e-001
 3.973931847133738e+000  -1.105915170632374e-001  -4.389185538687899e-001   9.369662603716464e-001
 3.987572611464948e+000  -9.207042712596043e-002  -4.401530682219637e-001   9.353140651930962e-001
 4.001213375796158e+000  -7.317409100873661e-002  -4.415856975743148e-001   9.338719155510171e-001
 4.014854140127368e+000  -5.391654869342656e-002  -4.430934111014024e-001   9.326550113346085e-001
 4.028494904458579e+000  -3.441286512153200e-002  -4.446025388287987e-001   9.318404693378607e-001
 4.042135668789789e+000  -1.486765015604766e-002  -4.461417193856367e-001   9.316871386456778e-001
 4.055776433120999e+000   4.558951132796946e-003  -4.477977272769435e-001   9.324662867882678e-001
 4.069417197452210e+000   2.383724729522972e-002  -4.496204478225077e-001   9.343539743639823e-001
 4.083057961783420e+000   4.298399048608796e-002  -4.515833900011863e-001   9.372915445901787e-001
 4.096698726114631e+000   6.194854329347664e-002  -4.536122794878750e-001   9.409578665831090e-001
 4.110339490445841e+000   8.062108823164080e-002  -4.556108321620626e-001   9.448863508692257e-001
 4.123980254777051e+000   9.891158777078786e-002  -4.574813764202422e-001   9.486382680420732e-001
 4.137621019108262e+000   1.167780181962166e-001  -4.591635085840842e-001   9.519352713045168e-001
 4.151261783439472e+000   1.342057197230778e-001  -4.606648247946426e-001   9.547033815816228e-001
 4.164902547770683e+000   1.511803852768539e-001  -4.620472779948627e-001   9.570350506799472e-001
 4.178543312101893e+000   1.677039352638501e-001  -4.633785661885528e-001   9.591319817817794e-001
 4.192184076433104e+000   1.838045798605396e-001  -4.647008980872198e-001   9.612161528014962e-001
 4.205824840764314e+000   1.995329857171650e-001  -4.660307307894626e-001   9.634628320980335e-001
 4.219465605095524e+000   2.149517338207823e-001  -4.673829833411226e-001   9.659720518924367e-001
 4.233106369426735e+000   2.300634620003856e-001  -4.687716593160725e-001   9.687119950255811e-001
 4.246747133757945e+000   2.446981083981078e-001  -4.701785860659293e-001   9.714393283467769e-001
 4.260387898089156e+000   2.585734725020387e-001  -4.715601362667265e-001   9.737505673900399e-001
 4.274028662420366e+000   2.716973230660408e-001  -4.729005044193193e-001   9.754171265895485e-001
 4.287669426751577e+000   2.846424099873768e-001  -4.742660727387686e-001   9.766876942059314e-001
 4.301310191082787e+000   2.980188947224644e-001  -4.757266186161344e-001   9.779498107429278e-001
 4.314950955413997e+000   3.118954298179959e-001  -4.772291337375444e-001   9.792437567712515e-001
 4.328591719745208e+000   3.259808943088077e-001  -4.786289588550109e-001   9.803473773506347e-001
 4.342232484076418e+000   3.400139632440446e-001  -4.798119628564545e-001   9.810722074788015e-001
 4.355873248407629e+000   3.539226719628520e-001  -4.807431478334742e-001   9.813797619166600e-001
 4.369514012738839e+000   3.677930023060820e-001  -4.814185952802788e-001   9.813407531556193e-001
 4.383154777070049e+000   3.817362620448346e-001  -4.818519754174717e-001   9.810385651009801e-001
 4.396795541401260e+000   3.957995059104568e-001  -4.821120526848775e-001   9.805094607117596e-001
 4.410436305732470e+000   4.099971534686034e-001  -4.822572498471668e-001   9.797491153717299e-001
 4.424077070063681e+000   4.243688438955195e-001  -4.822492322678493e-001   9.787478244358849e-001
 4.437717834394891e+000   4.389345081076420e-001  -4.820439112305949e-001   9.775028019909243e-001
 4.451358598726102e+000   4.536135808115380e-001  -4.817351243653648e-001   9.759863077362502e-001
 4.464999363057312e+000   4.682028834512910e-001  -4.815272077080774e-001   9.741287631567538e-001
 4.478640127388522e+000   4.824525278442906e-001  -4.815680044311919e-001   9.718618486539752e-001
 4.492280891719733e+000   4.962773935446194e-001  -4.817559369271418e-001   9.692152184382801e-001
 4.505921656050943e+000   5.099031033325856e-001  -4.817882812714072e-001   9.663870102439137e-001
 4.519562420382154e+000   5.237241839954442e-001  -4.815321879634886e-001   9.636434613188214e-001
 4.533203184713364e+000   5.380518742049301e-001  -4.811121203244380e-001   9.611627298263196e-001
 4.546843949044575e+000   5.529981714139893e-001  -4.806397482320169e-001   9.589730700137394e-001
 4.560484713375785e+000   5.685913086060054e-001  -4.801103404383895e-001   9.569961048658942e-001
 4.574125477706995e+000   5.848870054406722e-001  -4.794666532843618e-001   9.551175801381840e-001
 4.587766242038206e+000   6.019507215783604e-001  -4.786480501562141e-001   9.532585346635143e-001
 4.601407006369416e+000   6.198409373869933e-001  -4.775812513549348e-001   9.514455061817937e-001
 4.615047770700627e+000   6.385892795815767e-001  -4.761710394960937e-001   9.498221896428368e-001
 4.628688535031837e+000   6.581036305004592e-001  -4.743365183670997e-001   9.485626001554420e-001
 4.642329299363047e+000   6.780500091348005e-001  -4.721163412491357e-001   9.477777940791959e-001
 4.655970063694258e+000   6.979079877431459e-001  -4.696646163592581e-001   9.474845255999429e-001
 4.669610828025468e+000   7.173533001582204e-001  -4.670204613882898e-001   9.476440018227786e-001
 4.683251592356679e+000   7.363252895708141e-001  -4.640991986546227e-001   9.481850828375611e-001
 4.696892356687889e+000   7.547134735351232e-001  -4.609392793993685e-001   9.489976346156226e-001
 4.710533121019100e+000   7.722297047487919e-001  -4.578055271206914e-001   9.499633656987563e-001
 4.724173885350310e+000   7.885717909768966e-001  -4.550462335524694e-001   9.509819461201478e-001
 4.737814649681520e+000   8.036657423516582e-001  -4.528711287925519e-001   9.519946503081049e-001
 4.751455414012731e+000   8.177512286624109e-001  -4.512236697884037e-001   9.529876017019827e-001
 4.765096178343941e+000   8.312315666732804e-001  -4.498626081867246e-001   9.539722928820865e-001
 4.778736942675152e+000   8.445876098073755e-001  -4.485816019133442e-001   9.551061091542021e-001
 4.792377707006362e+000   8.585853197033112e-001  -4.474182596972585e-001   9.569650632887918e-001
 4.806018471337572e+000   8.745450562702055e-001  -4.467963469766858e-001   9.607537836619570e-001
 4.819659235668783e+000   8.942780692181065e-001  -4.474596993289578e-001   9.681678821911292e-001
 4.833299999999993e+000   9.192243263634001e-001  -4.500369944976311e-001   9.805159890374383e-001
