---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.FileName = "RHEE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.pz
 2.691700000000000e+000  -1.768805496830454e+000  -3.645012429422061e-001   1.115093091824624e-001
 2.705340764331210e+000  -1.716261609853318e+000  -3.671358070399372e-001   9.547944201683459e-002
 2.718981528662420e+000  -1.664201014245808e+000  -3.705681189289791e-001   8.055090676345557e-002
 2.732622292993630e+000  -1.612878214859365e+000  -3.751568151096673e-001   6.752024348815255e-002
 2.746263057324840e+000  -1.562538141141156e+000  -3.805612758072235e-001   5.667968666140628e-002
 2.759903821656050e+000  -1.513648501279389e+000  -3.860142340279046e-001   4.814105959036046e-002
 2.773544585987260e+000  -1.466826461758758e+000  -3.906738552897298e-001   4.186842379523355e-002
 2.787185350318470e+000  -1.422821542625289e+000  -3.939424491289389e-001   3.762058231362954e-002
 2.800826114649680e+000  -1.382452175241909e+000  -3.955858632269221e-001   3.488845139854330e-002
 2.814466878980890e+000  -1.346513553913003e+000  -3.957241646477117e-001   3.293816260152217e-002
 2.828107643312100e+000  -1.315743283123326e+000  -3.947888960270655e-001   3.107505008703985e-002
 2.841748407643310e+000  -1.290752960375829e+000  -3.933407567259207e-001   2.902634995320936e-002
 2.855389171974520e+000  -1.271868400794042e+000  -3.918331606917934e-001   2.716874707412882e-002
 2.869029936305730e+000  -1.258877572042280e+000  -3.905368692367848e-001   2.633853782356109e-002
 2.882670700636940e+000  -1.250792867678211e+000  -3.895860989106034e-001   2.719539251179635e-002
 2.896311464968150e+000  -1.245980513044479e+000  -3.890944112549170e-001   2.958675794799884e-002
 2.909952229299360e+000  -1.242875530316455e+000  -3.891355165691346e-001   3.262895818531611e-002
 2.923592993630570e+000  -1.240650883109915e+000  -3.895730743169006e-001   3.542832025666963e-002
 2.937233757961780e+000  -1.239093659497798e+000  -3.901607788544756e-001   3.747792192543051e-002
