---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.FileName = "RKNE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.pz
 2.691700000000000e+000  -1.571062319230841e+000  -4.846931121144630e-001   5.135364153769335e-001
 2.705340764331210e+000  -1.551340845171219e+000  -4.832455733327459e-001   5.124479623855331e-001
 2.718981528662420e+000  -1.532055824435698e+000  -4.819832277974729e-001   5.109749639855215e-001
 2.732622292993630e+000  -1.513429799721771e+000  -4.810079855204721e-001   5.087436360740756e-001
 2.746263057324840e+000  -1.495453490342101e+000  -4.803040464003997e-001   5.056368107850329e-001
 2.759903821656050e+000  -1.478075690283516e+000  -4.799199447998096e-001   5.018567719851684e-001
 2.773544585987260e+000  -1.461285068865194e+000  -4.799879845857192e-001   4.977344248500553e-001
 2.787185350318470e+000  -1.445137389747381e+000  -4.805941027286464e-001   4.934935707930748e-001
 2.800826114649680e+000  -1.429740896450788e+000  -4.816705476162131e-001   4.892216287241930e-001
 2.814466878980890e+000  -1.415101541676417e+000  -4.829742127223859e-001   4.849302765545485e-001
 2.828107643312100e+000  -1.400878325680432e+000  -4.841448528310037e-001   4.805742672065847e-001
 2.841748407643310e+000  -1.386444436788967e+000  -4.849072072571171e-001   4.762119050642654e-001
 2.855389171974520e+000  -1.371197019540848e+000  -4.852941045705788e-001   4.721972220423042e-001
 2.869029936305730e+000  -1.354849321962799e+000  -4.855550145951944e-001   4.690665920575885e-001
 2.882670700636940e+000  -1.337556204822864e+000  -4.859415741965189e-001   4.672317308404740e-001
 2.896311464968150e+000  -1.319707189015496e+000  -4.866337387419822e-001   4.668477863126899e-001
 2.909952229299360e+000  -1.301552361038495e+000  -4.877386201907337e-001   4.678972561941446e-001
 2.923592993630570e+000  -1.283043944662972e+000  -4.892491927218650e-001   4.702126986899778e-001
 2.937233757961780e+000  -1.264047889596459e+000  -4.909684372281574e-001   4.734123963118097e-001
 2.950874522292990e+000  -1.244804287761115e+000  -4.926241365944127e-001   4.769595717781884e-001
 2.964515286624200e+000  -1.226240812679650e+000  -4.941122271550186e-001   4.802610433472753e-001
 2.978156050955410e+000  -1.209718605469799e+000  -4.955850255738463e-001   4.827113163793837e-001
 2.991796815286619e+000  -1.196249386682913e+000  -4.972687594023899e-001   4.838327958129210e-001
 3.005437579617829e+000  -1.185838592636344e+000  -4.991896696902850e-001   4.835688525013105e-001
 3.019078343949039e+000  -1.177479528250824e+000  -5.011110741524285e-001   4.824246153232288e-001
 3.032719108280249e+000  -1.169783783121020e+000  -5.027680648517331e-001   4.811612307245090e-001
 3.046359872611459e+000  -1.161757580988834e+000  -5.041123288702389e-001   4.803254063062345e-001
 3.060000636942669e+000  -1.153227149224626e+000  -5.052482402562513e-001   4.799602803549823e-001
 3.073641401273879e+000  -1.144680194555494e+000  -5.062151104976977e-001   4.797208148962719e-001
 3.087282165605089e+000  -1.136764554282957e+000  -5.069911772241196e-001   4.792784370195762e-001
 3.100922929936299e+000  -1.129846537577242e+000  -5.076213214609274e-001   4.785936452132405e-001
 3.114563694267509e+000  -1.123915755082108e+000  -5.082196098733888e-001   4.779038494924149e-001
 3.128204458598719e+000  -1.118697584710925e+000  -5.088510425988121e-001   4.774575958452164e-001
 3.141845222929929e+000  -1.113766550362496e+000  -5.094505743964023e-001   4.772367797503310e-001
 3.155485987261139e+000  -1.108805925180815e+000  -5.099153299985783e-001   4.770862228588406e-001
 3.169126751592349e+000  -1.103756955726422e+000  -5.102093521865984e-001   4.769197477581736e-001
 3.182767515923559e+000  -1.098695575083807e+000  -5.103905799077414e-001   4.767308864894246e-001
 3.196408280254769e+000  -1.093671705573029e+000  -5.105478172369673e-001   4.765207734973805e-001
 3.210049044585979e+000  -1.088661971825576e+000  -5.107194957971895e-001   4.762552716579591e-001
 3.223689808917189e+000  -1.083616985908779e+000  -5.108834484017768e-001   4.758882989987329e-001
 3.237330573248399e+000  -1.078497658176368e+000  -5.110053375310015e-001   4.754037668867328e-001
 3.250971337579609e+000  -1.073245157841986e+000  -5.110714208383248e-001   4.748154102524611e-001
 3.264612101910819e+000  -1.067765016672303e+000  -5.110959802397960e-001   4.741420066817323e-001
 3.278252866242029e+000  -1.061983140760100e+000  -5.111099258469453e-001   4.734200380874121e-001
 3.291893630573239e+000  -1.055896533334023e+000  -5.111224357101287e-001   4.727115924625870e-001
 3.305534394904449e+000  -1.049549933833166e+000  -5.111249009330718e-001   4.720921375345474e-001
 3.319175159235659e+000  -1.042950005116348e+000  -5.111243216039071e-001   4.716235040407311e-001
 3.332815923566869e+000  -1.036016341756787e+000  -5.111380796928308e-001   4.713244844565109e-001
 3.346456687898079e+000  -1.028608232559497e+000  -5.111607976657587e-001   4.711744498208246e-001
 3.360097452229289e+000  -1.020581385118371e+000  -5.111652145825528e-001   4.711389541321752e-001
