---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.FileName = "RTHI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.pz
 2.691700000000000e+000  -1.686988800022691e+000  -5.010933633567122e-001   7.332782833566661e-001
 2.705340764331210e+000  -1.669888806061035e+000  -5.013010767898768e-001   7.323087135694957e-001
 2.718981528662420e+000  -1.653243130680643e+000  -5.014524591723963e-001   7.309387650843184e-001
 2.732622292993630e+000  -1.637161653165670e+000  -5.016398555858391e-001   7.288996483927763e-001
 2.746263057324840e+000  -1.621425589636412e+000  -5.020261380855523e-001   7.262072088212207e-001
 2.759903821656050e+000  -1.605747476843418e+000  -5.026847364928729e-001   7.230357202714012e-001
 2.773544585987260e+000  -1.589973088179719e+000  -5.035377574342678e-001   7.195782808872903e-001
 2.787185350318470e+000  -1.574097056415691e+000  -5.044472930754338e-001   7.160102046050485e-001
 2.800826114649680e+000  -1.558074638930878e+000  -5.053549529829536e-001   7.124659346215827e-001
 2.814466878980890e+000  -1.541733963270272e+000  -5.062794762709898e-001   7.090374956034576e-001
 2.828107643312100e+000  -1.524829503944191e+000  -5.072506641834434e-001   7.058593342686320e-001
 2.841748407643310e+000  -1.507204209716394e+000  -5.082626041423701e-001   7.030581003396506e-001
 2.855389171974520e+000  -1.488939730476539e+000  -5.091977866553212e-001   7.006475043287712e-001
 2.869029936305730e+000  -1.470379835651164e+000  -5.098096345407048e-001   6.985885508288880e-001
 2.882670700636940e+000  -1.451936574354622e+000  -5.098805406588407e-001   6.969047662586383e-001
 2.896311464968150e+000  -1.433707745437699e+000  -5.095449696273310e-001   6.958383502892441e-001
 2.909952229299360e+000  -1.415287387506128e+000  -5.094497427496469e-001   6.959610311914742e-001
 2.923592993630570e+000  -1.396132924766043e+000  -5.102958611026581e-001   6.978114018041418e-001
 2.937233757961780e+000  -1.376052418947307e+000  -5.123050418743436e-001   7.013673894316910e-001
 2.950874522292990e+000  -1.355395685407861e+000  -5.151810344769732e-001   7.060299761856970e-001
 2.964515286624200e+000  -1.335247992645596e+000  -5.182976683212446e-001   7.108484535360100e-001
 2.978156050955410e+000  -1.316844451150684e+000  -5.210681425765196e-001   7.148840336795497e-001
