---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.FileName = "RTOE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
 2.691700000000000e+000  -1.589995417834459e+000  -4.156433402055119e-001   6.635958522654994e-002
 2.705340764331210e+000  -1.534030168574393e+000  -4.166493641861102e-001   6.405240761211113e-002
 2.718981528662420e+000  -1.478899960957901e+000  -4.172593454569193e-001   6.257075060719203e-002
 2.732622292993630e+000  -1.425261429843142e+000  -4.172305246985456e-001   6.273874961751931e-002
 2.746263057324840e+000  -1.373584599768606e+000  -4.166432232147207e-001   6.504323983887358e-002
 2.759903821656050e+000  -1.324412069957213e+000  -4.157561305227518e-001   6.957636785100463e-002
 2.773544585987260e+000  -1.278341758585186e+000  -4.148310577875379e-001   7.598302516389625e-002
 2.787185350318470e+000  -1.235966792357991e+000  -4.140329542143936e-001   8.356575829583388e-002
 2.800826114649680e+000  -1.197816268616602e+000  -4.133567443484083e-001   9.144637443806797e-002
 2.814466878980890e+000  -1.164324090884376e+000  -4.126072979831611e-001   9.863096231301226e-002
 2.828107643312100e+000  -1.135782738039518e+000  -4.114893849479784e-001   1.039951643355369e-001
 2.841748407643310e+000  -1.112265521378580e+000  -4.097475003447161e-001   1.063468984854143e-001
 2.855389171974520e+000  -1.093560370167789e+000  -4.073121713816362e-001   1.046196443770784e-001
 2.869029936305730e+000  -1.079101881352677e+000  -4.044289590263094e-001   9.824881050542762e-002
 2.882670700636940e+000  -1.068035580422935e+000  -4.016386985322465e-001   8.778443641385926e-002
 2.896311464968150e+000  -1.059536763999611e+000  -3.995303031171559e-001   7.529624118619316e-002
 2.909952229299360e+000  -1.053101431057557e+000  -3.983853374115623e-001   6.358439812359255e-002
 2.923592993630570e+000  -1.048472095900058e+000  -3.979984119752043e-001   5.466878182851596e-002
 2.937233757961780e+000  -1.045416004475882e+000  -3.978533558210903e-001   4.914004570754862e-002
 2.950874522292990e+000  -1.043592693088630e+000  -3.976278670162830e-001   4.641973763791366e-002
 2.964515286624200e+000  -1.042572221857767e+000  -3.973997196508663e-001   4.540306774028422e-002
 2.978156050955410e+000  -1.041974122038312e+000  -3.972925604908065e-001   4.513384134003645e-002
 2.991796815286619e+000  -1.041568186318324e+000  -3.972550182096389e-001   4.509112773348220e-002
 3.005437579617829e+000  -1.041255946840203e+000  -3.972105556175219e-001   4.509069831023948e-002
 3.019078343949039e+000  -1.041016804382299e+000  -3.971525030358066e-001   4.508865744382572e-002
 3.032719108280249e+000  -1.040850200923897e+000  -3.971037208368667e-001   4.508684240925305e-002
 3.046359872611459e+000  -1.040736474935801e+000  -3.970763336419138e-001   4.508589211403990e-002
 3.060000636942669e+000  -1.040644313035586e+000  -3.970770785855748e-001   4.505352186801286e-002
 3.073641401273879e+000  -1.040547317782407e+000  -3.971256747359633e-001   4.495148545681917e-002
 3.087282165605089e+000  -1.040427091026198e+000  -3.972472399388814e-001   4.476754081316198e-002
 3.100922929936299e+000  -1.040284125406313e+000  -3.974441831432874e-001   4.452383384731181e-002
 3.114563694267509e+000  -1.040145508327961e+000  -3.976759434812957e-001   4.427754949970729e-002
 3.128204458598719e+000  -1.040040121197400e+000  -3.978825617924004e-001   4.408026986175605e-002
 3.141845222929929e+000  -1.039971326986129e+000  -3.980387124499129e-001   4.394592077776108e-002
 3.155485987261139e+000  -1.039922076095162e+000  -3.981625216404731e-001   4.386786302969335e-002
 3.169126751592349e+000  -1.039867993809140e+000  -3.982782976784897e-001   4.384073517545745e-002
 3.182767515923559e+000  -1.039790169364008e+000  -3.983819439709860e-001   4.386252654024050e-002
 3.196408280254769e+000  -1.039686277363376e+000  -3.984437118399221e-001   4.391306338658126e-002
