---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.FileName = "LKNE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.pz
 2.841700000000000e+000  -1.702376028940871e+000  -1.381630796057362e-001   4.679541508319142e-001
 2.854385350318471e+000  -1.691613485324883e+000  -1.383810177395840e-001   4.682175706249228e-001
 2.867070700636943e+000  -1.679708496090064e+000  -1.386428109807537e-001   4.684846508073299e-001
 2.879756050955414e+000  -1.666523784096947e+000  -1.389638789174968e-001   4.687188561723796e-001
 2.892441401273886e+000  -1.651929784559870e+000  -1.393535734982914e-001   4.688898215597446e-001
 2.905126751592357e+000  -1.635807393647982e+000  -1.398131735745277e-001   4.689740615989894e-001
 2.917812101910828e+000  -1.618051699211193e+000  -1.403374541382966e-001   4.689547248920237e-001
 2.930497452229300e+000  -1.598582705200671e+000  -1.409207665317480e-001   4.688222242795858e-001
 2.943182802547771e+000  -1.577358474531910e+000  -1.415628257941173e-001   4.685738438341455e-001
 2.955868152866243e+000  -1.554382364905324e+000  -1.422698556788750e-001   4.682112699969048e-001
 2.968553503184714e+000  -1.529713138786228e+000  -1.430487677340933e-001   4.677455714054757e-001
 2.981238853503185e+000  -1.503478740594375e+000  -1.438980419032220e-001   4.672137430670400e-001
 2.993924203821657e+000  -1.475876969527402e+000  -1.448074747144532e-001   4.666920021076043e-001
 3.006609554140128e+000  -1.447160439834251e+000  -1.457667124993650e-001   4.662921331239431e-001
 3.019294904458600e+000  -1.417611558327060e+000  -1.467654109725219e-001   4.661460903048856e-001
 3.031980254777071e+000  -1.387510958047324e+000  -1.477813332928660e-001   4.663891827303208e-001
 3.044665605095542e+000  -1.357111467595482e+000  -1.487773015904930e-001   4.671366554679310e-001
 3.057350955414014e+000  -1.326625915094896e+000  -1.497150565376465e-001   4.684529299920390e-001
 3.070036305732485e+000  -1.296227543300129e+000  -1.505717102267936e-001   4.703313070406826e-001
 3.082721656050957e+000  -1.266051109501827e+000  -1.513394887559199e-001   4.726999497374408e-001
 3.095407006369428e+000  -1.236192054561508e+000  -1.520140967271022e-001   4.754478370654837e-001
 3.108092356687899e+000  -1.206715560668484e+000  -1.525923409155920e-001   4.784531830082908e-001
 3.120777707006371e+000  -1.177678769586351e+000  -1.530799776819693e-001   4.816033009411772e-001
 3.133463057324842e+000  -1.149151576514229e+000  -1.534987916550988e-001   4.847971783603672e-001
 3.146148407643314e+000  -1.121224115106634e+000  -1.538857400902210e-001   4.879369036333319e-001
 3.158833757961785e+000  -1.093998851683285e+000  -1.542833868145478e-001   4.909235906224727e-001
 3.171519108280256e+000  -1.067576907491761e+000  -1.547292369092160e-001   4.936603160772595e-001
 3.184204458598728e+000  -1.042052637059528e+000  -1.552519102693733e-001   4.960569742447410e-001
 3.196889808917199e+000  -1.017512427440957e+000  -1.558699486399172e-001   4.980345602816114e-001
 3.209575159235671e+000  -9.940282220614229e-001  -1.565909103415331e-001   4.995236786280344e-001
 3.222260509554142e+000  -9.716483079241916e-001  -1.574134141112119e-001   5.004578177767495e-001
 3.234945859872613e+000  -9.503896825578040e-001  -1.583309433334403e-001   5.007705305807142e-001
 3.247631210191085e+000  -9.302351416806995e-001  -1.593340215222293e-001   5.004008342442602e-001
 3.260316560509556e+000  -9.111362072149080e-001  -1.604082367825109e-001   4.993057142328288e-001
 3.273001910828028e+000  -8.930164054204435e-001  -1.615315363777266e-001   4.974735909545698e-001
 3.285687261146499e+000  -8.757707616101288e-001  -1.626745950388078e-001   4.949320265196145e-001
 3.298372611464970e+000  -8.592654703101060e-001  -1.638027174481897e-001   4.917499935196528e-001
 3.311057961783442e+000  -8.433400073957938e-001  -1.648763945470526e-001   4.880369781989930e-001
 3.323743312101913e+000  -8.278096332076780e-001  -1.658511029178948e-001   4.839396439993117e-001
 3.336428662420385e+000  -8.124692370976413e-001  -1.666787145519501e-001   4.796346114461063e-001
 3.349114012738856e+000  -7.971010960218730e-001  -1.673105466877922e-001   4.753158965020580e-001
 3.361799363057327e+000  -7.814868698723796e-001  -1.677033117430996e-001   4.711789942371230e-001
 3.374484713375799e+000  -7.654238414218461e-001  -1.678263161626543e-001   4.674077736636908e-001
 3.387170063694270e+000  -7.487469942878434e-001  -1.676653960188378e-001   4.641634041002016e-001
 3.399855414012742e+000  -7.313540619078497e-001  -1.672231928930754e-001   4.615710229080878e-001
 3.412540764331213e+000  -7.132231483899215e-001  -1.665159417347663e-001   4.597088345938702e-001
 3.425226114649684e+000  -6.944219785904066e-001  -1.655673131667500e-001   4.586042112310860e-001
 3.437911464968156e+000  -6.751058639423350e-001  -1.644018434136120e-001   4.582381171215399e-001
 3.450596815286627e+000  -6.555018746781578e-001  -1.630424314239466e-001   4.585538332701483e-001
