---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.FileName = "RTOE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
 2.841700000000000e+000  -1.116054493773813e+000  -4.085875684104841e-001   9.719557389805879e-002
 2.854385350318471e+000  -1.097427290458740e+000  -4.067952260861045e-001   9.537765807803048e-002
 2.867070700636943e+000  -1.082313324969406e+000  -4.049438320298011e-001   9.152113027081969e-002
 2.879756050955414e+000  -1.070325203674951e+000  -4.031505068356995e-001   8.593721481292956e-002
 2.892441401273886e+000  -1.061038350824845e+000  -4.015339522991780e-001   7.919445284398557e-002
 2.905126751592357e+000  -1.054034088116816e+000  -4.001803293438110e-001   7.200997877157919e-002
 2.917812101910828e+000  -1.048921613858774e+000  -3.991205564665711e-001   6.507880313324929e-002
 2.930497452229300e+000  -1.045341274335417e+000  -3.983318915925659e-001   5.893304992761050e-002
 2.943182802547771e+000  -1.042963419006091e+000  -3.977648215202279e-001   5.387991049775591e-002
 2.955868152866243e+000  -1.041489422534041e+000  -3.973751425427588e-001   5.000913302039047e-002
 2.968553503184714e+000  -1.040658535321044e+000  -3.971296055446194e-001   4.724785196967862e-002
 2.981238853503185e+000  -1.040256632214624e+000  -3.969939481162355e-001   4.543188902420391e-002
 2.993924203821657e+000  -1.040119417557023e+000  -3.969327456967638e-001   4.436174104256051e-002
 3.006609554140128e+000  -1.040128475912118e+000  -3.969184902902224e-001   4.383765393302413e-002
 3.019294904458600e+000  -1.040203842823106e+000  -3.969344960474887e-001   4.367947214256517e-002
 3.031980254777071e+000  -1.040294674676559e+000  -3.969722354616480e-001   4.373826197293608e-002
 3.044665605095542e+000  -1.040370470757361e+000  -3.970281318040803e-001   4.389956029041715e-002
 3.057350955414014e+000  -1.040415200610556e+000  -3.971017581707765e-001   4.408143740153844e-002
 3.070036305732485e+000  -1.040423189910140e+000  -3.971945720011352e-001   4.423166880310821e-002
