---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "Trial13-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
2.861666666666667e+000 -3.791636050217155e-001 2.186877624544487e-002 -2.293039788091928e-001 1.188867484995470e-001 3.749152924934086e-001 3.145716062588569e-003
2.867842827004219e+000 -3.817836731386510e-001 2.249855513179561e-002 -2.238320394919033e-001 1.313195019605764e-001 3.719390207562288e-001 3.091104840063900e-003
2.874018987341772e+000 -3.833389990108352e-001 2.305056583442406e-002 -2.171982086592614e-001 1.454436063833927e-001 3.682590394044122e-001 3.028912700775008e-003
2.880195147679324e+000 -3.837555804708090e-001 2.351331985891452e-002 -2.093837385806241e-001 1.613114431527513e-001 3.637870744678128e-001 2.958935043387775e-003
2.886371308016877e+000 -3.830085362787173e-001 2.389971498723648e-002 -2.004172616276472e-001 1.789217663450670e-001 3.584160126229757e-001 2.881437351607616e-003
2.892547468354429e+000 -3.810925319926430e-001 2.423193591129515e-002 -1.903414888800221e-001 1.982567387623506e-001 3.520299704481869e-001 2.796818010270954e-003
2.898723628691982e+000 -3.780439164297338e-001 2.455390218207833e-002 -1.792312302696453e-001 2.192593363665170e-001 3.445016805368736e-001 2.705843527968832e-003
2.904899789029535e+000 -3.739322447807718e-001 2.492727519222820e-002 -1.671815520595343e-001 2.418451184877680e-001 3.356990215116640e-001 2.609543648312513e-003
2.911075949367087e+000 -3.688502554721681e-001 2.542668214522125e-002 -1.542995006453927e-001 2.659105977502785e-001 3.254918476761152e-001 2.509135785086644e-003
2.917252109704640e+000 -3.628988491767427e-001 2.613192951259959e-002 -1.406954609595030e-001 2.913429716148516e-001 3.137607184477976e-001 2.405936726316617e-003
2.923428270042192e+000 -3.561720142790760e-001 2.711968112535922e-002 -1.264764121861353e-001 3.180290302478805e-001 3.004073807649093e-001 2.301284236653865e-003
2.929604430379745e+000 -3.487437588535825e-001 2.845522070028709e-002 -1.117432265273264e-001 3.458608552807633e-001 2.853671979018411e-001 2.196494884245243e-003
2.935780590717297e+000 -3.406622774813057e-001 3.018915430545210e-002 -9.659136329709916e-002 3.747379008121157e-001 2.686207809950174e-001 2.092860638133518e-003
2.941956751054850e+000 -3.319505787084587e-001 3.235708473847291e-002 -8.111501742521465e-002 4.045654838434029e-001 2.502036716759969e-001 1.991679541604690e-003
2.948132911392402e+000 -3.226109918573906e-001 3.497960653733285e-002 -6.541380208717484e-002 4.352501419486092e-001 2.302151128989873e-001 1.894308238347521e-003
2.954309071729955e+000 -3.126327103318390e-001 3.806205732002643e-002 -4.959986646523973e-002 4.666921183503124e-001 2.088248670171176e-001 1.802213135415138e-003
2.960485232067507e+000 -3.020025717676504e-001 4.159499169398234e-002 -3.380196367263699e-002 4.987787175110061e-001 1.862741965023213e-001 1.716980495838631e-003
2.966661392405060e+000 -2.907144815941783e-001 4.555403750022692e-002 -1.816545260553548e-002 5.313815493918145e-001 1.628738713099962e-001 1.640277573896999e-003
2.972837552742612e+000 -2.787761975505482e-001 4.989916518706312e-002 -2.848412393937849e-003 5.643564167919465e-001 1.389978683670511e-001 1.573772281567112e-003
2.979013713080165e+000 -2.662109848099835e-001 5.457284981953619e-002 1.198562007374848e-002 5.975462777617246e-001 1.150700425209312e-001 1.519018034355067e-003
2.985189873417717e+000 -2.530636677652654e-001 5.950160790361807e-002 2.617261711530250e-002 6.307843312041624e-001 9.154715479316869e-002 1.477364035027807e-003
2.991366033755270e+000 -2.393835593893297e-001 6.459230334036589e-002 3.956635629874650e-002 6.639087446859734e-001 6.889997933197253e-002 1.449797279896024e-003
2.997542194092822e+000 -2.252306470198907e-001 6.973885338477003e-002 5.204386383720916e-002 6.967618817293451e-001 4.759447118914470e-002 1.436896801637840e-003
3.003718354430375e+000 -2.106689978375914e-001 7.482759241119008e-002 6.351691182564934e-002 7.291960641615105e-001 2.807392640506999e-002 1.438772163213880e-003
3.009894514767928e+000 -1.957594212137756e-001 7.974323416094926e-002 7.394060420782522e-002 7.610781348775662e-001 1.074192203510268e-002 1.455055515901909e-003
3.016070675105480e+000 -1.805541207997242e-001 8.437458644067573e-002 8.331586024207383e-002 7.922894502835421e-001 -4.054952013859181e-003 1.484927251431121e-003
3.022246835443033e+000 -1.650931689210904e-001 8.861994487452608e-002 9.168693098074798e-002 8.227237561402518e-001 -1.604375391879907e-002 1.527156713119938e-003
3.028422995780585e+000 -1.494037551225669e-001 9.239232037671595e-002 9.913441903037223e-002 8.522837302729032e-001 -2.504324036491729e-002 1.580147202320077e-003
3.034599156118138e+000 -1.335027543984329e-001 9.562381260260981e-002 1.057645327648098e-001 8.808766712745231e-001 -3.097229305828761e-002 1.642002169629438e-003
3.040775316455690e+000 -1.174009005854538e-001 9.826831154283472e-002 1.116969580786162e-001 9.084105946904674e-001 -3.384970860847391e-002 1.710598305414210e-003
3.046951476793243e+000 -1.011074879937523e-001 1.003029395463596e-001 1.170529499164077e-001 9.347919824290747e-001 -3.378992191508419e-002 1.783668036641409e-003
3.053127637130795e+000 -8.463494824029902e-002 1.017277653586987e-001 1.219458732735694e-001 9.599252382940694e-001 -3.098794109109943e-002 1.858906349433718e-003
3.059303797468348e+000 -6.800198069232255e-002 1.025637838855399e-001 1.264753473774887e-001 9.837133076612745e-001 -2.569513903273082e-002 1.934069208392428e-003
3.065479957805900e+000 -5.123492315775706e-002 1.028502915165593e-001 1.307238536476336e-001 1.006059712650124e+000 -1.819832829086580e-002 2.007055078616985e-003
3.071656118143453e+000 -3.436696089040362e-002 1.026416058435355e-001 1.347559648812464e-001 1.026872307700803e+000 -8.799949355558808e-003 2.075984920540546e-003
3.077832278481005e+000 -1.743607024159173e-002 1.020016652889760e-001 1.386198964037728e-001 1.046066476316780e+000 2.199240869751206e-003 2.139250733578553e-003
3.084008438818558e+000 -4.840954450648789e-004 1.009986885012387e-001 1.423498785848893e-001 1.063566043052840e+000 1.450894850682160e-002 2.195535950893627e-003
3.090184599156110e+000 1.644401014079910e-002 9.970083150247507e-002 1.459692232947840e-001 1.079303892310699e+000 2.785346787253939e-002 2.243838529587187e-003
3.096360759493663e+000 3.330115073359195e-002 9.817211099345803e-002 1.494942159370893e-001 1.093222399903590e+000 4.197432362721357e-002 2.283501590593433e-003
3.102536919831215e+000 5.003890895440316e-002 9.646922545272242e-002 1.529375709393268e-001 1.105272494274795e+000 5.663147024937729e-002 2.314227379795242e-003
3.108713080168768e+000 6.660899821007575e-002 9.463962600463201e-002 1.563110277240221e-001 1.115413102658935e+000 7.160422267233174e-002 2.336076653836350e-003
3.114889240506320e+000 8.296523676554204e-002 9.272010502794469e-002 1.596273458708468e-001 1.123611310219758e+000 8.669299507343016e-002 2.349461356713792e-003
3.121065400843873e+000 9.906567194188604e-002 9.073567550609427e-002 1.629010407971319e-001 1.129842843177075e+000 1.017220214539884e-001 2.355118104994082e-003
3.127241561181426e+000 1.148731009602207e-001 8.870079092144613e-002 1.661467171134454e-001 1.134091841140761e+000 1.165400112790851e-001 2.354029731521994e-003
3.133417721518978e+000 1.303564848912117e-001 8.662224938998407e-002 1.693772308858099e-001 1.136351526110328e+000 1.310203704902208e-001 2.347337562962117e-003
3.139593881856531e+000 1.454932940766219e-001 8.450257626993406e-002 1.726018450421312e-001 1.136625624061292e+000 1.450614422175276e-001 2.336252564660955e-003
3.145770042194083e+000 1.602726832107638e-001 8.234383355975697e-002 1.758244128305762e-001 1.134930483454201e+000 1.585860549651242e-001 2.321959224764902e-003
3.151946202531636e+000 1.746954721919574e-001 8.014939288940112e-002 1.790437283087623e-001 1.131294938801728e+000 1.715381789358657e-001 2.305552763664927e-003
3.158122362869188e+000 1.887718267351673e-001 7.792394523031944e-002 1.822552695033761e-001 1.125758783242420e+000 1.838795928630347e-001 2.288008847480799e-003
3.164298523206741e+000 2.025173645805320e-001 7.567275245451161e-002 1.854534966311137e-001 1.118370449343609e+000 1.955868616901255e-001 2.270166067744067e-003
3.170474683544293e+000 2.159469815845981e-001 7.340046772426841e-002 1.886343952447469e-001 1.109183299190027e+000 2.066487952221223e-001 2.252722281227768e-003
3.176650843881846e+000 2.290697152284036e-001 7.111071553825173e-002 1.917965691768040e-001 1.098252037443475e+000 2.170645073334629e-001 2.236245198124414e-003
3.182827004219398e+000 2.418862480805712e-001 6.880652905340326e-002 1.949406091396386e-001 1.085630900535378e+000 2.268424137515748e-001 2.221174426660192e-003
3.189003164556951e+000 2.543879142203588e-001 6.649152068528312e-002 1.980671546955304e-001 1.071372797577630e+000 2.359992989920924e-001 2.207818801328588e-003
3.195179324894503e+000 2.665584250897352e-001 6.417241936640171e-002 2.011738085249120e-001 1.055529697716538e+000 2.445583052123636e-001 2.196357486574989e-003
