---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "Trial13-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
2.861666666666667e+000 3.334296132551389e-001 1.231805672182977e-001 -5.086489065931010e-002 1.308928919793683e-001 1.362194453656793e-001 3.375845418786780e-003
2.867842827004219e+000 3.332268803794743e-001 1.207638034985025e-001 -5.203452050277235e-002 1.316984295287315e-001 1.280478680539671e-001 3.377923139822748e-003
2.874018987341772e+000 3.340698905925212e-001 1.172881187614452e-001 -5.229817350706645e-002 1.358416026476641e-001 1.194963646921868e-001 3.370174407234794e-003
2.880195147679324e+000 3.359676040947512e-001 1.128028141986586e-001 -5.164786392693510e-002 1.431848635469815e-001 1.106877996653202e-001 3.352545735888357e-003
2.886371308016877e+000 3.388637881202584e-001 1.073859755238996e-001 -5.010365850044862e-002 1.535188168290403e-001 1.018087202398937e-001 3.325347936261768e-003
2.892547468354429e+000 3.426498732045331e-001 1.011435892628989e-001 -4.771556702361002e-002 1.665675919522387e-001 9.309666285148585e-002 3.289260710417681e-003
2.898723628691982e+000 3.471507468047714e-001 9.420402711874500e-002 -4.458312031386091e-002 1.819820247448432e-001 8.482351364268519e-002 3.245462271511962e-003
2.904899789029535e+000 3.521335110498239e-001 8.670795273057966e-002 -4.085503904543897e-002 1.993485024424541e-001 7.727024094095360e-002 3.195596596524049e-003
2.911075949367087e+000 3.573249018694839e-001 7.879587457352662e-002 -3.672007635255459e-002 2.182068506205025e-001 7.069959970803859e-002 3.141640957957155e-003
2.917252109704640e+000 3.624359744375480e-001 7.059785416898463e-002 -3.239334483906897e-002 2.380740855115556e-001 6.533998624016438e-002 3.085718690824576e-003
2.923428270042192e+000 3.671883945613217e-001 6.222554632647418e-002 -2.809597224794058e-002 2.584713927639918e-001 6.137342390229796e-002 3.029879481965498e-003
2.929604430379745e+000 3.713390365804027e-001 5.376878206893086e-002 -2.403212140597555e-002 2.789498115671482e-001 5.892390332887548e-002 2.975903486513394e-003
2.935780590717297e+000 3.746954081639509e-001 4.529422759136138e-002 -2.036819101751775e-002 2.991093759770521e-001 5.805287406552111e-002 2.925183507142396e-003
2.941956751054850e+000 3.771210267687833e-001 3.684692218720627e-002 -1.721739949074297e-002 3.186101262937980e-001 5.876043384071970e-002 2.878659291861826e-003
2.948132911392402e+000 3.785337224521832e-001 2.845533446545230e-002 -1.463301558192565e-002 3.371755639688041e-001 6.098879390686485e-002 2.836811135462563e-003
2.954309071729955e+000 3.788993164115289e-001 2.013826753065764e-002 -1.261141268457622e-002 3.545912037859900e-001 6.463103283494523e-002 2.799690802756874e-003
2.960485232067507e+000 3.782194680725047e-001 1.191210969205783e-002 -1.110714371364296e-002 3.706983853627970e-001 6.954804785545382e-002 2.767006597589062e-003
2.966661392405060e+000 3.765193058696582e-001 3.796711719881151e-003 -1.005035072942451e-002 3.853868691476098e-001 7.558267774077504e-002 2.738235737238953e-003
