---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "Trial13-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
2.861666666666667e+000 1.581277131155845e+000 3.065830990437106e-001 9.974160561248655e-001 -1.519743848386641e+000 -3.040903817492084e+000 4.471346343503768e-002 -2.538196501939683e-001 -7.315226283943133e-002 -8.545364751023342e-002
2.867842827004219e+000 1.573246468338777e+000 3.072483932454244e-001 9.967983180154684e-001 -1.521150627836211e+000 -3.041631711907226e+000 4.536662191849894e-002 -2.527147016623524e-001 -7.089734051833527e-002 -8.516241954330542e-002
2.874018987341772e+000 1.565178075829481e+000 3.079233504829591e-001 9.962765729525924e-001 -1.522977580071222e+000 -3.042596410174769e+000 4.580320488339540e-002 -2.513183977282631e-001 -6.812712365049289e-002 -8.471682362637355e-002
2.880195147679324e+000 1.557073920463524e+000 3.086063154164059e-001 9.958525676790127e-001 -1.525211909458069e+000 -3.043809616668425e+000 4.602706814350599e-002 -2.496157697776420e-001 -6.485520059589514e-002 -8.412780242689329e-002
2.886371308016877e+000 1.548935725404578e+000 3.092957296176576e-001 9.955264516427262e-001 -1.527832563595799e+000 -3.045272499542742e+000 4.605104475713473e-002 -2.476023357942426e-001 -6.110541817511048e-002 -8.341408470004355e-002
2.892547468354429e+000 1.540764683322498e+000 3.099901129587560e-001 9.952968227696901e-001 -1.530815282039605e+000 -3.046965684255105e+000 4.589440482254314e-002 -2.452962668894984e-001 -5.690648153875640e-002 -8.259871938480221e-002
2.898723628691982e+000 1.532561799732237e+000 3.106882206822820e-001 9.951611500916793e-001 -1.534135702332693e+000 -3.048850157265469e+000 4.558403205766615e-002 -2.427385646198924e-001 -5.228837514082429e-002 -8.170918454896101e-002
2.904899789029535e+000 1.524328185806299e+000 3.113892137954714e-001 9.951161901199255e-001 -1.537772800947150e+000 -3.050867817739063e+000 4.515430531958353e-002 -2.399935802715111e-001 -4.727854698630306e-002 -8.077607383497111e-002
2.911075949367087e+000 1.516065439504776e+000 3.120927538793401e-001 9.951584434747712e-001 -1.541710453249077e+000 -3.052946619676392e+000 4.464521952841194e-002 -2.371440143024016e-001 -4.190014103953890e-002 -7.983070523562810e-002
2.917252109704640e+000 1.507776095949616e+000 3.127990396386101e-001 9.952845173846611e-001 -1.545936672781643e+000 -3.055009176945469e+000 4.409884907961059e-002 -2.342816876085223e-001 -3.617290338227805e-002 -7.890201643940506e-002
2.923428270042192e+000 1.499463974185112e+000 3.135088424054237e-001 9.954912538919264e-001 -1.550440980169051e+000 -3.056981813311487e+000 4.355585646900551e-002 -2.314972629130993e-001 -3.011631562370998e-002 -7.801386059082291e-002
2.929604430379745e+000 1.491134377769011e+000 3.142234780464036e-001 9.957756300662636e-001 -1.555209914730020e+000 -3.058803479632204e+000 4.305188554203143e-002 -2.288695764687371e-001 -2.375481308739937e-002 -7.718265931677180e-002
2.935780590717297e+000 1.482793946182399e+000 3.149447217799679e-001 9.961346066491101e-001 -1.560224808497160e+000 -3.060430683069761e+000 4.261595421789188e-002 -2.264590412139485e-001 -1.712012916059212e-002 -7.641687239973478e-002
2.941956751054850e+000 1.474450289174936e+000 3.156746684183948e-001 9.965649365295682e-001 -1.565460588545166e+000 -3.061838631510000e+000 4.227039865105997e-002 -2.243050764839616e-001 -1.025231184350696e-002 -7.571774217620039e-002
2.948132911392402e+000 1.466111567625239e+000 3.164155301996725e-001 9.970629800269980e-001 -1.570884443074058e+000 -3.063020440471957e+000 4.203093292790472e-002 -2.224257900911674e-001 -3.200820199152380e-003 -7.508028585264469e-002
