---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.FileName = "LANK.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
 2.841700000000000e+000  -1.845427234944348e+000  -2.057953622617322e-001   7.153190093727174e-002
 2.854385350318471e+000  -1.843936309115305e+000  -2.050476483443533e-001   7.497465964911218e-002
 2.867070700636943e+000  -1.841953154159832e+000  -2.040813807306239e-001   7.900762797131693e-002
 2.879756050955414e+000  -1.839344199830996e+000  -2.029139216383625e-001   8.368980439759653e-002
 2.892441401273886e+000  -1.835947515712770e+000  -2.015680768380936e-001   8.908197744328666e-002
 2.905126751592357e+000  -1.831573552941288e+000  -2.000735524748074e-001   9.524233885568041e-002
 2.917812101910828e+000  -1.826011862571079e+000  -1.984720384206501e-001   1.022204805480393e-001
 2.930497452229300e+000  -1.819045380581311e+000  -1.968226695408452e-001   1.100475680231189e-001
 2.943182802547771e+000  -1.810470618687063e+000  -1.952041836711620e-001   1.187255931665507e-001
 2.955868152866243e+000  -1.800114630708288e+000  -1.937137466847562e-001   1.282192709305282e-001
 2.968553503184714e+000  -1.787840795908332e+000  -1.924644931527161e-001   1.384444191036526e-001
 2.981238853503185e+000  -1.773546138227464e+000  -1.915734993027184e-001   1.492528982047588e-001
 2.993924203821657e+000  -1.757161318102726e+000  -1.911416587216310e-001   1.604205245226154e-001
 3.006609554140128e+000  -1.738660172061293e+000  -1.912432331056226e-001   1.716445421169043e-001
 3.019294904458600e+000  -1.718063837527242e+000  -1.919240361624323e-001   1.825614872905076e-001
 3.031980254777071e+000  -1.695424467710660e+000  -1.931949059771097e-001   1.927780944158660e-001
 3.044665605095542e+000  -1.670806253317350e+000  -1.950240383735972e-001   2.018938420351165e-001
 3.057350955414014e+000  -1.644275749025584e+000  -1.973379130715433e-001   2.095189074969134e-001
 3.070036305732485e+000  -1.615892509464110e+000  -2.000353806655725e-001   2.153006005834602e-001
 3.082721656050957e+000  -1.585705937329631e+000  -2.030041357822088e-001   2.189660460305294e-001
 3.095407006369428e+000  -1.553764140545018e+000  -2.061360514094634e-001   2.203514322602028e-001
 3.108092356687899e+000  -1.520128651336890e+000  -2.093433907577724e-001   2.193964514330219e-001
 3.120777707006371e+000  -1.484874347382245e+000  -2.125611914408028e-001   2.161319336345920e-001
 3.133463057324842e+000  -1.448074465455135e+000  -2.157351133810626e-001   2.106779181689899e-001
 3.146148407643314e+000  -1.409794948248510e+000  -2.188128526441190e-001   2.032290968550171e-001
 3.158833757961785e+000  -1.370093034982449e+000  -2.217396043799682e-001   1.940402131367419e-001
 3.171519108280256e+000  -1.329017099710645e+000  -2.244549673221847e-001   1.834170160986284e-001
 3.184204458598728e+000  -1.286615754537986e+000  -2.268941535406277e-001   1.717042004535312e-001
 3.196889808917199e+000  -1.242948962119140e+000  -2.289918664205596e-001   1.592702535558094e-001
 3.209575159235671e+000  -1.198094352520306e+000  -2.306864989604532e-001   1.464934898126264e-001
 3.222260509554142e+000  -1.152151482810992e+000  -2.319217016756141e-001   1.337493105465238e-001
 3.234945859872613e+000  -1.105248349830619e+000  -2.326476642473793e-001   1.213988200333523e-001
 3.247631210191085e+000  -1.057549679825979e+000  -2.328239274177997e-001   1.097786783745203e-001
 3.260316560509556e+000  -1.009268106066706e+000  -2.324208830909863e-001   9.919162905704151e-002
 3.273001910828028e+000  -9.606770290099793e-001  -2.314211614383553e-001   8.989562724677039e-002
 3.285687261146499e+000  -9.121212140082531e-001  -2.298252215862358e-001   8.208937155246540e-002
 3.298372611464970e+000  -8.640200896590241e-001  -2.276610552637766e-001   7.589652762461442e-002
 3.311057961783442e+000  -8.168642956914778e-001  -2.249951933123560e-001   7.135120222678898e-002
 3.323743312101913e+000  -7.712061887734644e-001  -2.219418077889133e-001   6.838384237112059e-002
 3.336428662420385e+000  -7.276410242678836e-001  -2.186641468287836e-001   6.681064713870986e-002
 3.349114012738856e+000  -6.867766552868337e-001  -2.153628386181068e-001   6.633638063633110e-002
 3.361799363057327e+000  -6.491864705437909e-001  -2.122502544667260e-001   6.658427010893812e-002
 3.374484713375799e+000  -6.153526920142660e-001  -2.095202449555263e-001   6.714398155448290e-002
 3.387170063694270e+000  -5.856177250538672e-001  -2.073239742741278e-001   6.762496022021862e-002
 3.399855414012742e+000  -5.601446741230254e-001  -2.057521403679097e-001   6.771378182025309e-002
 3.412540764331213e+000  -5.388933690115698e-001  -2.048234482827162e-001   6.722516744278119e-002
 3.425226114649684e+000  -5.216119767797289e-001  -2.044797927667125e-001   6.613059786698677e-002
 3.437911464968156e+000  -5.078625428181062e-001  -2.045957468612472e-001   6.454687975673883e-002
 3.450596815286627e+000  -4.970845073819702e-001  -2.050024484943046e-001   6.268604272794275e-002
 3.463282165605099e+000  -4.886921531956369e-001  -2.055250181334726e-001   6.077636503368893e-002
 3.475967515923570e+000  -4.821771662204839e-001  -2.060269287932011e-001   5.899214342441199e-002
 3.488652866242041e+000  -4.771652977215382e-001  -2.064402788076049e-001   5.743211947049908e-002
 3.501338216560513e+000  -4.733861876958377e-001  -2.067608681149338e-001   5.614211400546964e-002
 3.514023566878984e+000  -4.706060445649274e-001  -2.070201018415137e-001   5.513853459236762e-002
 3.526708917197456e+000  -4.686131567245006e-001  -2.072613279888831e-001   5.441205091486338e-002
 3.539394267515927e+000  -4.672374805450422e-001  -2.075244141122685e-001   5.392998434674726e-002
 3.552079617834398e+000  -4.663455254983663e-001  -2.078343948680932e-001   5.364569255847970e-002
 3.564764968152870e+000  -4.658222121722083e-001  -2.081959973403776e-001   5.350703106891485e-002
 3.577450318471341e+000  -4.655687437555723e-001  -2.085950740022424e-001   5.346369871322172e-002
 3.590135668789813e+000  -4.655025066533290e-001  -2.090049164016119e-001   5.347445100086442e-002
 3.602821019108284e+000  -4.655501759674850e-001  -2.093953083433273e-001   5.351019131188080e-002
 3.615506369426755e+000  -4.656483543833265e-001  -2.097421526663041e-001   5.355427805737642e-002
 3.628191719745227e+000  -4.657521031854480e-001  -2.100347946253411e-001   5.360049245087011e-002
 3.640877070063698e+000  -4.658370194108437e-001  -2.102764559207904e-001   5.364910813734220e-002
 3.653562420382170e+000  -4.658930682831498e-001  -2.104790893630138e-001   5.370421190762788e-002
 3.666247770700641e+000  -4.659182775401648e-001  -2.106578339278965e-001   5.377234799475902e-002
 3.678933121019112e+000  -4.659146477435407e-001  -2.108270897807078e-001   5.385972014500380e-002
 3.691618471337584e+000  -4.658860194507252e-001  -2.109979796172252e-001   5.396857750348759e-002
 3.704303821656055e+000  -4.658373738627429e-001  -2.111764344261140e-001   5.409606621281578e-002
 3.716989171974527e+000  -4.657749581039893e-001  -2.113621098842660e-001   5.423591361727313e-002
 3.729674522292998e+000  -4.657066765004421e-001  -2.115490243092930e-001   5.438103017243635e-002
 3.742359872611469e+000  -4.656419272380908e-001  -2.117278905754548e-001   5.452643487153865e-002
 3.755045222929941e+000  -4.655902154576555e-001  -2.118886566508866e-001   5.467136613939490e-002
 3.767730573248412e+000  -4.655591339191324e-001  -2.120214805357952e-001   5.481985897572467e-002
 3.780415923566884e+000  -4.655534031890849e-001  -2.121166902094955e-001   5.497961465714420e-002
 3.793101273885355e+000  -4.655747145037982e-001  -2.121661385661162e-001   5.515984103800957e-002
 3.805786624203826e+000  -4.656197967357027e-001  -2.121665306892056e-001   5.537115194069930e-002
 3.818471974522298e+000  -4.656774916243225e-001  -2.121218896498706e-001   5.562785708189925e-002
 3.831157324840769e+000  -4.657302851401914e-001  -2.120418690394846e-001   5.594934674901296e-002
 3.843842675159241e+000  -4.657607429067646e-001  -2.119370068390864e-001   5.635685273146340e-002
 3.856528025477712e+000  -4.657563005914824e-001  -2.118141632876514e-001   5.686881018549940e-002
 3.869213375796183e+000  -4.657085267585957e-001  -2.116724024418515e-001   5.750238054883852e-002
 3.881898726114655e+000  -4.656083897517915e-001  -2.115010712648121e-001   5.827778717542968e-002
 3.894584076433126e+000  -4.654421597214936e-001  -2.112804948027364e-001   5.921825863975628e-002
 3.907269426751598e+000  -4.651900108455926e-001  -2.109826073807846e-001   6.034884180181911e-002
 3.919954777070069e+000  -4.648255875276720e-001  -2.105723273195116e-001   6.169836725633100e-002
 3.932640127388540e+000  -4.643160286889123e-001  -2.100117408356594e-001   6.330242066002458e-002
 3.945325477707012e+000  -4.636223142081044e-001  -2.092660342480231e-001   6.520385007858087e-002
 3.958010828025483e+000  -4.626978893196753e-001  -2.083089121510460e-001   6.745064947876847e-002
 3.970696178343955e+000  -4.614861833558080e-001  -2.071261648801371e-001   7.009428684627231e-002
 3.983381528662426e+000  -4.599164809740249e-001  -2.057167311123220e-001   7.318941565831094e-002
 3.996066878980897e+000  -4.578997792439470e-001  -2.040911736444792e-001   7.679342933575137e-002
 4.008752229299368e+000  -4.553257142813737e-001  -2.022682669810363e-001   8.096493828127591e-002
 4.021437579617840e+000  -4.520608788073611e-001  -2.002712645619784e-001   8.576191925655775e-002
 4.034122929936311e+000  -4.479492189974185e-001  -1.981258515275352e-001   9.123806265452082e-002
 4.046808280254783e+000  -4.428151230278353e-001  -1.958574555574839e-001   9.743808198126215e-002
 4.059493630573254e+000  -4.364689587210332e-001  -1.934882194662629e-001   1.043934569036338e-001
 4.072178980891725e+000  -4.287170526930038e-001  -1.910382431968275e-001   1.121168871228506e-001
 4.084864331210197e+000  -4.193746892074837e-001  -1.885332804257658e-001   1.205954476230294e-001
 4.097549681528668e+000  -4.082783202854905e-001  -1.860170628606057e-001   1.297838171104974e-001
 4.110235031847140e+000  -3.952932694942037e-001  -1.835644857059743e-001   1.395962355299455e-001
 4.122920382165611e+000  -3.803172339662092e-001  -1.812887807456243e-001   1.498969639716785e-001
 4.135605732484082e+000  -3.632820011779513e-001  -1.793291166377949e-001   1.604916964249328e-001
 4.148291082802554e+000  -3.441567448139906e-001  -1.778183878218336e-001   1.711329295954276e-001
 4.160976433121025e+000  -3.229556548486606e-001  -1.768663473945473e-001   1.815322740948264e-001
 4.173661783439497e+000  -2.997346143647462e-001  -1.765544843239333e-001   1.913660213352049e-001
 4.186347133757968e+000  -2.745712009238626e-001  -1.769268437218241e-001   2.002782043310858e-001
 4.199032484076439e+000  -2.475476639751265e-001  -1.779852684221449e-001   2.078898705694979e-001
 4.211717834394911e+000  -2.187490069787357e-001  -1.796915407437017e-001   2.138302370337650e-001
 4.224403184713382e+000  -1.882673189115241e-001  -1.819708579658763e-001   2.177900429676117e-001
 4.237088535031854e+000  -1.561999799498082e-001  -1.847192715780047e-001   2.195630088299495e-001
 4.249773885350325e+000  -1.226399809830898e-001  -1.878179036125156e-001   2.190540303490473e-001
 4.262459235668796e+000  -8.766303799496319e-002  -1.911481091076391e-001   2.162663442977906e-001
 4.275144585987268e+000  -5.131897241398391e-002  -1.946016804607241e-001   2.112901936815700e-001
 4.287829936305739e+000  -1.363444483359332e-002  -1.980859474692338e-001   2.042929346568465e-001
 4.300515286624211e+000   2.537784688545063e-002  -2.015244606330953e-001   1.955102309116018e-001
 4.313200636942682e+000   6.570975987764544e-002  -2.048511251614887e-001   1.852359560256328e-001
 4.325885987261153e+000   1.073459071745607e-001  -2.080014925709307e-001   1.738123447048041e-001
 4.338571337579625e+000   1.502496628833861e-001  -2.109073750137963e-001   1.616159338334647e-001
 4.351256687898096e+000   1.943524682707028e-001  -2.134949125781058e-001   1.490424322310506e-001
 4.363942038216568e+000   2.395502672580290e-001  -2.156858806082542e-001   1.364910560696956e-001
 4.376627388535039e+000   2.857045518138531e-001  -2.174021141621967e-001   1.243467296081379e-001
 4.389312738853510e+000   3.326413233505487e-001  -2.185710840434154e-001   1.129642389856300e-001
 4.401998089171982e+000   3.801412770776418e-001  -2.191351130200796e-001   1.026581749886814e-001
 4.414683439490453e+000   4.279262185741769e-001  -2.190629054006540e-001   9.369397459711933e-002
 4.427368789808925e+000   4.756455994191697e-001  -2.183583585512386e-001   8.627669057114587e-002
 4.440054140127396e+000   5.228652998327382e-001  -2.170670506588236e-001   8.053725058436942e-002
 4.452739490445867e+000   5.690665356281057e-001  -2.152780468616369e-001   7.651501705939734e-002
 4.465424840764339e+000   6.136593507886177e-001  -2.131215505326984e-001   7.413839011243047e-002
