---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.FileName = "LHEE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.pz
 2.841700000000000e+000  -1.907196785707260e+000  -2.603039707115414e-001   7.129074766746306e-002
 2.854385350318471e+000  -1.905742499388272e+000  -2.594056918079361e-001   7.664799558086430e-002
 2.867070700636943e+000  -1.903718142019624e+000  -2.582465742557118e-001   8.281644400507029e-002
 2.879756050955414e+000  -1.900945697069449e+000  -2.568519757628852e-001   8.986510774111139e-002
 2.892441401273886e+000  -1.897211167664004e+000  -2.552508897359346e-001   9.786150536050488e-002
 2.905126751592357e+000  -1.892271615300098e+000  -2.534811755190423e-001   1.068676347473288e-001
 2.917812101910828e+000  -1.885877213866076e+000  -2.515909430043786e-001   1.169419690398731e-001
 2.930497452229300e+000  -1.877794599473515e+000  -2.496413827094488e-001   1.281301638154282e-001
 2.943182802547771e+000  -1.867822183477566e+000  -2.477164573714014e-001   1.404380429606945e-001
 2.955868152866243e+000  -1.855799510920373e+000  -2.459348630686695e-001   1.537969834309779e-001
 2.968553503184714e+000  -1.841612864106253e+000  -2.444526654835309e-001   1.680288607797652e-001
 2.981238853503185e+000  -1.825199613141741e+000  -2.434480395141145e-001   1.828220547399777e-001
 2.993924203821657e+000  -1.806557506489560e+000  -2.430911741799058e-001   1.977366547036862e-001
 3.006609554140128e+000  -1.785759406107277e+000  -2.435108081649822e-001   2.122459239277241e-001
 3.019294904458600e+000  -1.762954381571159e+000  -2.447727441263335e-001   2.257887581831803e-001
 3.031980254777071e+000  -1.738338969811962e+000  -2.468728407949115e-001   2.378182328510850e-001
 3.044665605095542e+000  -1.712110414430138e+000  -2.497375770024283e-001   2.478479906575028e-001
 3.057350955414014e+000  -1.684426995632434e+000  -2.532316923964542e-001   2.554937120414547e-001
 3.070036305732485e+000  -1.655398570168828e+000  -2.571768073539082e-001   2.605002738302899e-001
