---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.FileName = "LTOE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.pz
 2.841700000000000e+000  -1.699762533609720e+000  -2.418581493056886e-001   4.065405117851078e-002
 2.854385350318471e+000  -1.699671132929759e+000  -2.415572539800597e-001   4.028646948088029e-002
 2.867070700636943e+000  -1.699552543314172e+000  -2.412727252745908e-001   3.986016058198089e-002
 2.879756050955414e+000  -1.699384767746695e+000  -2.410330241987273e-001   3.938633612905598e-002
 2.892441401273886e+000  -1.699129786512437e+000  -2.408645084359821e-001   3.889840106205660e-002
 2.905126751592357e+000  -1.698725528365757e+000  -2.407831758897654e-001   3.845996352767178e-002
 2.917812101910828e+000  -1.698074322731042e+000  -2.407877528090980e-001   3.816805943968597e-002
 2.930497452229300e+000  -1.697028086851974e+000  -2.408579837365221e-001   3.815134081699044e-002
 2.943182802547771e+000  -1.695370487849991e+000  -2.409582202650137e-001   3.856642407078544e-002
 2.955868152866243e+000  -1.692803167762189e+000  -2.410449652164599e-001   3.958681019308863e-002
 2.968553503184714e+000  -1.688940731087795e+000  -2.410758271851395e-001   4.137528604239348e-002
 2.981238853503185e+000  -1.683321583749253e+000  -2.410180192749760e-001   4.404163038143717e-002
 2.993924203821657e+000  -1.675437347440016e+000  -2.408557513859556e-001   4.760540762611101e-002
 3.006609554140128e+000  -1.664771958739562e+000  -2.405920261099853e-001   5.198823974037053e-002
 3.019294904458600e+000  -1.650840232665856e+000  -2.402416388075302e-001   5.703708157195511e-002
 3.031980254777071e+000  -1.633238029715635e+000  -2.398349962775324e-001   6.254621301716418e-002
 3.044665605095542e+000  -1.611710635716995e+000  -2.394416798248913e-001   6.825609632914365e-002
 3.057350955414014e+000  -1.586203005407961e+000  -2.391822828647956e-001   7.385466571296183e-002
 3.070036305732485e+000  -1.556846594443055e+000  -2.391989654552161e-001   7.900635827155718e-002
 3.082721656050957e+000  -1.523900613107175e+000  -2.396007771058217e-001   8.340009811018005e-002
 3.095407006369428e+000  -1.487694935899519e+000  -2.404326549543153e-001   8.679388924055906e-002
 3.108092356687899e+000  -1.448597858512434e+000  -2.416721869499502e-001   8.903884908212949e-002
 3.120777707006371e+000  -1.406990753740354e+000  -2.432352500468355e-001   9.007910481448934e-002
 3.133463057324842e+000  -1.363243188344941e+000  -2.449918721603242e-001   8.994282096214477e-002
 3.146148407643314e+000  -1.317694484872437e+000  -2.467903991595382e-001   8.873362133619470e-002
 3.158833757961785e+000  -1.270641538600778e+000  -2.484769942693196e-001   8.662436399652290e-002
 3.171519108280256e+000  -1.222337823392049e+000  -2.499076094735370e-001   8.384364721511109e-002
 3.184204458598728e+000  -1.173003059756189e+000  -2.509563731967439e-001   8.065888123102730e-002
 3.196889808917199e+000  -1.122835216107201e+000  -2.515213453869494e-001   7.736010894106067e-002
 3.209575159235671e+000  -1.072021224289332e+000  -2.515274308562946e-001   7.424391529955554e-002
 3.222260509554142e+000  -1.020748626202777e+000  -2.509281615422829e-001   7.159671809036169e-002
 3.234945859872613e+000  -9.692129950681008e-001  -2.497129449216754e-001   6.968133722968219e-002
 3.247631210191085e+000  -9.176254558886120e-001  -2.479133303201065e-001   6.872782482799426e-002
 3.260316560509556e+000  -8.662273395782500e-001  -2.456000763644433e-001   6.892261596400233e-002
 3.273001910828028e+000  -8.153017672029469e-001  -2.428791651008359e-001   7.039370575645612e-002
 3.285687261146499e+000  -7.651781405043272e-001  -2.398901256231401e-001   7.319630897752875e-002
 3.298372611464970e+000  -7.162351956615780e-001  -2.368000871772086e-001   7.729912868936471e-002
 3.311057961783442e+000  -6.688997586224943e-001  -2.337948542727344e-001   8.256844289615085e-002
 3.323743312101913e+000  -6.236365071798689e-001  -2.310691592287604e-001   8.875461613539608e-002
 3.336428662420385e+000  -5.809260801875944e-001  -2.288155580936284e-001   9.548823309933453e-002
 3.349114012738856e+000  -5.412340291478915e-001  -2.272099880773283e-001   1.022880279947236e-001
 3.361799363057327e+000  -5.049753498240558e-001  -2.263920052314026e-001   1.085892227326502e-001
 3.374484713375799e+000  -4.724749720203337e-001  -2.264414258677831e-001   1.137944880395616e-001
 3.387170063694270e+000  -4.439317127238215e-001  -2.273650774662259e-001   1.173418445443280e-001
 3.399855414012742e+000  -4.193901256758807e-001  -2.291009585998532e-001   1.187808837376982e-001
 3.412540764331213e+000  -3.987268854258184e-001  -2.315360557130667e-001   1.178439602598130e-001
 3.425226114649684e+000  -3.816532769628327e-001  -2.345265608612358e-001   1.145000868098267e-001
 3.437911464968156e+000  -3.677490506314063e-001  -2.379120303732514e-001   1.089690892418392e-001
 3.450596815286627e+000  -3.565264144677860e-001  -2.415198390203456e-001   1.016978866035358e-001
 3.463282165605099e+000  -3.475149030469116e-001  -2.451696278393010e-001   9.329489565952265e-002
 3.475967515923570e+000  -3.403305294633643e-001  -2.486847571986514e-001   8.443219744785431e-002
 3.488652866242041e+000  -3.346805256767137e-001  -2.519075067295415e-001   7.574050241240989e-002
 3.501338216560513e+000  -3.303166520060692e-001  -2.547168067172780e-001   6.774007880467217e-002
 3.514023566878984e+000  -3.270047917201623e-001  -2.570436767681013e-001   6.080309440013856e-002
 3.526708917197456e+000  -3.245331369641743e-001  -2.588759256728576e-001   5.513042131092492e-002
 3.539394267515927e+000  -3.227236416582268e-001  -2.602471732918218e-001   5.075829080393157e-002
 3.552079617834398e+000  -3.214318784476650e-001  -2.612157946020179e-001   4.759435345054244e-002
 3.564764968152870e+000  -3.205441975006050e-001  -2.618490820551669e-001   4.546770188113833e-002
 3.577450318471341e+000  -3.199710051997745e-001  -2.622180009683930e-001   4.417329188180368e-002
 3.590135668789813e+000  -3.196375528537337e-001  -2.623913843965379e-001   4.350366148159541e-002
 3.602821019108284e+000  -3.194800239154361e-001  -2.624291511110417e-001   4.326928607814305e-002
 3.615506369426755e+000  -3.194454298907682e-001  -2.623806545563209e-001   4.331119066889836e-002
 3.628191719745227e+000  -3.194907341350194e-001  -2.622865462456652e-001   4.350596198897946e-002
 3.640877070063698e+000  -3.195810091997686e-001  -2.621803821132422e-001   4.376465860220520e-002
 3.653562420382170e+000  -3.196879753840781e-001  -2.620891653557397e-001   4.402722182346163e-002
 3.666247770700641e+000  -3.197899119331388e-001  -2.620329390471207e-001   4.425595746559868e-002
 3.678933121019112e+000  -3.198721397200324e-001  -2.620232171837231e-001   4.443060030266782e-002
 3.691618471337584e+000  -3.199267068573670e-001  -2.620613352597438e-001   4.454522911787132e-002
 3.704303821656055e+000  -3.199511756781281e-001  -2.621393202343110e-001   4.460414077522644e-002
 3.716989171974527e+000  -3.199473490142992e-001  -2.622426615127484e-001   4.461656398313370e-002
 3.729674522292998e+000  -3.199193430087129e-001  -2.623531751262275e-001   4.459219979823183e-002
 3.742359872611469e+000  -3.198720178562442e-001  -2.624513959718018e-001   4.453994146615098e-002
 3.755045222929941e+000  -3.198107344909514e-001  -2.625184960360864e-001   4.446887790278619e-002
 3.767730573248412e+000  -3.197407037331635e-001  -2.625390267706578e-001   4.438747997429152e-002
 3.780415923566884e+000  -3.196646710533275e-001  -2.625077347427791e-001   4.429842335679408e-002
 3.793101273885355e+000  -3.195820885783433e-001  -2.624327880363606e-001   4.419609024794358e-002
 3.805786624203826e+000  -3.194920337248780e-001  -2.623273463931907e-001   4.407346952170460e-002
 3.818471974522298e+000  -3.193973995437527e-001  -2.621999973324229e-001   4.393048910707500e-002
 3.831157324840769e+000  -3.193058855642876e-001  -2.620524197647721e-001   4.377473120341148e-002
 3.843842675159241e+000  -3.192242902897354e-001  -2.618802312042349e-001   4.361666519274439e-002
 3.856528025477712e+000  -3.191512611728686e-001  -2.616730558572938e-001   4.346548810894262e-002
 3.869213375796183e+000  -3.190769221348018e-001  -2.614174191759934e-001   4.332634559204376e-002
 3.881898726114655e+000  -3.189870914280113e-001  -2.611011243695430e-001   4.319946010812838e-002
 3.894584076433126e+000  -3.188681044668758e-001  -2.607164668881529e-001   4.308080646697827e-002
 3.907269426751598e+000  -3.187110774123802e-001  -2.602625301478135e-001   4.296257111166372e-002
 3.919954777070069e+000  -3.185129792828016e-001  -2.597443363795950e-001   4.283379359156758e-002
 3.932640127388540e+000  -3.182759041209418e-001  -2.591703623502916e-001   4.268157687439173e-002
 3.945325477707012e+000  -3.180063110512419e-001  -2.585509221441562e-001   4.249258051591931e-002
 3.958010828025483e+000  -3.177131957686814e-001  -2.578969231789102e-001   4.225389668554747e-002
 3.970696178343955e+000  -3.174057194538081e-001  -2.572209010480055e-001   4.195386628645496e-002
 3.983381528662426e+000  -3.170912201328076e-001  -2.565403396766955e-001   4.158448000181346e-002
 3.996066878980897e+000  -3.167724716839271e-001  -2.558781841820416e-001   4.114479841087345e-002
 4.008752229299368e+000  -3.164430202170351e-001  -2.552588798462911e-001   4.064437053759898e-002
 4.021437579617840e+000  -3.160802095005931e-001  -2.547019191658040e-001   4.010641046604838e-002
 4.034122929936311e+000  -3.156355247663703e-001  -2.542161795680155e-001   3.957294175417001e-002
 4.046808280254783e+000  -3.150235755274334e-001  -2.537963547956600e-001   3.911145012069249e-002
 4.059493630573254e+000  -3.141100924777368e-001  -2.534198494790334e-001   3.882177017401132e-002
 4.072178980891725e+000  -3.127003120259481e-001  -2.530456996345259e-001   3.883885104414699e-002
 4.084864331210197e+000  -3.105276293680134e-001  -2.526166770183776e-001   3.932795671284599e-002
