---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.FileName = "RANK.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.pz
 2.841700000000000e+000  -1.233141546468660e+000  -4.459978109671492e-001   6.620683428822359e-002
 2.854385350318471e+000  -1.214336913579408e+000  -4.448005166855376e-001   6.512810531422504e-002
 2.867070700636943e+000  -1.199296652327114e+000  -4.435108830950160e-001   6.365599609306566e-002
 2.879756050955414e+000  -1.187624397558663e+000  -4.422728382213634e-001   6.189374553365582e-002
 2.892441401273886e+000  -1.178843301189422e+000  -4.412089161978094e-001   5.999525829846304e-002
 2.905126751592357e+000  -1.172445284080953e+000  -4.403982550192682e-001   5.811301641710952e-002
 2.917812101910828e+000  -1.167952057326475e+000  -4.398647444301650e-001   5.637507656342969e-002
 2.930497452229300e+000  -1.164956377004145e+000  -4.395859926321116e-001   5.488048252881875e-002
 2.943182802547771e+000  -1.163115408047566e+000  -4.395115362499993e-001   5.368636538616225e-002
 2.955868152866243e+000  -1.162127290000973e+000  -4.395805534886811e-001   5.279921160335160e-002
 2.968553503184714e+000  -1.161730723388279e+000  -4.397332692389090e-001   5.218456747373666e-002
 2.981238853503185e+000  -1.161715108844026e+000  -4.399187186494276e-001   5.178839081479092e-002
 2.993924203821657e+000  -1.161922084984010e+000  -4.401006943096374e-001   5.155298828814606e-002
 3.006609554140128e+000  -1.162238790033133e+000  -4.402591334130334e-001   5.142407420249883e-002
 3.019294904458600e+000  -1.162589210303493e+000  -4.403869823022846e-001   5.135466960993001e-002
 3.031980254777071e+000  -1.162926082813849e+000  -4.404855755765426e-001   5.130804578005004e-002
 3.044665605095542e+000  -1.163223602759169e+000  -4.405609051966424e-001   5.125942641040518e-002
 3.057350955414014e+000  -1.163471124737201e+000  -4.406214331159691e-001   5.119692553985560e-002
 3.070036305732485e+000  -1.163667543244082e+000  -4.406758590844173e-001   5.112132856314686e-002
 3.082721656050957e+000  -1.163816070537214e+000  -4.407299307661856e-001   5.104307440384768e-002
 3.095407006369428e+000  -1.163919944284892e+000  -4.407843386038865e-001   5.097646503132419e-002
 3.108092356687899e+000  -1.163980131808088e+000  -4.408352420940725e-001   5.093548626280838e-002
 3.120777707006371e+000  -1.163995431016281e+000  -4.408758070984277e-001   5.093167326216694e-002
 3.133463057324842e+000  -1.163964232939263e+000  -4.408969829356162e-001   5.097268303249820e-002
 3.146148407643314e+000  -1.163887200965027e+000  -4.408895761925067e-001   5.106227952218014e-002
 3.158833757961785e+000  -1.163769769580146e+000  -4.408467388418857e-001   5.119945742740438e-002
 3.171519108280256e+000  -1.163621931237757e+000  -4.407637793281486e-001   5.137725643894277e-002
 3.184204458598728e+000  -1.163456374518704e+000  -4.406371404915068e-001   5.158484523408189e-002
 3.196889808917199e+000  -1.163286503867376e+000  -4.404639523570050e-001   5.181343405418711e-002
 3.209575159235671e+000  -1.163123906306171e+000  -4.402415196205557e-001   5.206042451993390e-002
 3.222260509554142e+000  -1.162976577472948e+000  -4.399677535988302e-001   5.232832949641911e-002
