---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.FileName = "RASI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.pz
 2.841700000000000e+000  -1.483125924769920e+000  -4.397571406080282e-001   9.381811490103021e-001
 2.854385350318471e+000  -1.466640039934010e+000  -4.406359416499755e-001   9.361911153548491e-001
 2.867070700636943e+000  -1.450206617023025e+000  -4.417172455531194e-001   9.346012645095466e-001
 2.879756050955414e+000  -1.433897516362828e+000  -4.429858736256750e-001   9.334661721683234e-001
 2.892441401273886e+000  -1.417761899402338e+000  -4.444216156122640e-001   9.328461608754534e-001
 2.905126751592357e+000  -1.401797060301022e+000  -4.460074898157128e-001   9.328073669533055e-001
 2.917812101910828e+000  -1.385928248414970e+000  -4.477326878583026e-001   9.334153113902758e-001
 2.930497452229300e+000  -1.370037830006075e+000  -4.495857754788286e-001   9.347073521871088e-001
 2.943182802547771e+000  -1.354028872329451e+000  -4.515443144632905e-001   9.366558694842483e-001
 2.955868152866243e+000  -1.337850699476069e+000  -4.535750800995693e-001   9.391607038493434e-001
 2.968553503184714e+000  -1.321493646333591e+000  -4.556391502163728e-001   9.420678296207653e-001
 2.981238853503185e+000  -1.304983090519711e+000  -4.576951717939990e-001   9.452000063023071e-001
 2.993924203821657e+000  -1.288374650715480e+000  -4.597039574701376e-001   9.483893546878017e-001
 3.006609554140128e+000  -1.271750632132062e+000  -4.616348897282361e-001   9.515024123397532e-001
 3.019294904458600e+000  -1.255214961278624e+000  -4.634694247102387e-001   9.544539703581360e-001
 3.031980254777071e+000  -1.238872691312113e+000  -4.652001601136906e-001   9.572086920744760e-001
 3.044665605095542e+000  -1.222799208069950e+000  -4.668275043103824e-001   9.597706549774511e-001
 3.057350955414014e+000  -1.207027827449636e+000  -4.683547208375535e-001   9.621650691224981e-001
 3.070036305732485e+000  -1.191556984560352e+000  -4.697867841294040e-001   9.644183309698157e-001
 3.082721656050957e+000  -1.176358214407312e+000  -4.711376064663261e-001   9.665452981870040e-001
 3.095407006369428e+000  -1.161380716789880e+000  -4.724398974745298e-001   9.685447517504582e-001
