---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.FileName = "RPSI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.pz
 2.841700000000000e+000  -1.673817195866039e+000  -3.520910731234969e-001   9.892415868566059e-001
 2.854385350318471e+000  -1.657366670495743e+000  -3.537896547028230e-001   9.875282745797702e-001
 2.867070700636943e+000  -1.640689058123785e+000  -3.554891021952738e-001   9.862097593536516e-001
 2.879756050955414e+000  -1.623821810886388e+000  -3.571473399563793e-001   9.853563773741189e-001
 2.892441401273886e+000  -1.606815504981813e+000  -3.587212189860469e-001   9.850202214441920e-001
 2.905126751592357e+000  -1.589728112209297e+000  -3.601751068405978e-001   9.852211116805990e-001
 2.917812101910828e+000  -1.572618869336486e+000  -3.614897005018083e-001   9.859391518089692e-001
 2.930497452229300e+000  -1.555542354548461e+000  -3.626690327251612e-001   9.871191814023890e-001
 2.943182802547771e+000  -1.538542568991479e+000  -3.637450656156947e-001   9.886831129204917e-001
 2.955868152866243e+000  -1.521649508483884e+000  -3.647740285265901e-001   9.905430188174034e-001
 2.968553503184714e+000  -1.504881665037123e+000  -3.658216707384263e-001   9.926119840912419e-001
 2.981238853503185e+000  -1.488254293969894e+000  -3.669439673212686e-001   9.948137797414456e-001
 2.993924203821657e+000  -1.471785949155569e+000  -3.681734388364909e-001   9.970878169618915e-001
 3.006609554140128e+000  -1.455497475189158e+000  -3.695156176903875e-001   9.993874591625653e-001
 3.019294904458600e+000  -1.439405932174823e+000  -3.709524798082728e-001   1.001676057024553e+000
 3.031980254777071e+000  -1.423519655884699e+000  -3.724500207098592e-001   1.003926782503425e+000
 3.044665605095542e+000  -1.407837198714009e+000  -3.739689098010201e-001   1.006124047616827e+000
 3.057350955414014e+000  -1.392349650825079e+000  -3.754742389419151e-001   1.008260831884665e+000
 3.070036305732485e+000  -1.377043498820169e+000  -3.769404836093672e-001   1.010330856874415e+000
