---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.FileName = "RTHI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.pz
 2.841700000000000e+000  -1.506325252658097e+000  -5.075309253768089e-001   7.031464749623441e-001
 2.854385350318471e+000  -1.489652512779556e+000  -5.081646321305346e-001   7.010305187185910e-001
 2.867070700636943e+000  -1.472654551532602e+000  -5.087639063174048e-001   6.994326499078065e-001
 2.879756050955414e+000  -1.455372874386960e+000  -5.093588308658057e-001   6.984467958308370e-001
 2.892441401273886e+000  -1.437850372006021e+000  -5.100148049112145e-001   6.981580677923891e-001
 2.905126751592357e+000  -1.420123197430763e+000  -5.108312179892393e-001   6.986333736717902e-001
 2.917812101910828e+000  -1.402242281537762e+000  -5.119076875897297e-001   6.998917359170838e-001
 2.930497452229300e+000  -1.384310401276921e+000  -5.132946412976077e-001   7.018639577703975e-001
 2.943182802547771e+000  -1.366500307440070e+000  -5.149686271112866e-001   7.043791772938385e-001
 2.955868152866243e+000  -1.349052018552553e+000  -5.168376918938037e-001   7.071895082606819e-001
 2.968553503184714e+000  -1.332245652076316e+000  -5.187652111046316e-001   7.100115218573049e-001
 2.981238853503185e+000  -1.316320060612208e+000  -5.206099670916059e-001   7.125856768093584e-001
 2.993924203821657e+000  -1.301414602966375e+000  -5.222537489610476e-001   7.147215645636238e-001
 3.006609554140128e+000  -1.287559167622949e+000  -5.236121858539456e-001   7.163205638215765e-001
 3.019294904458600e+000  -1.274683105464776e+000  -5.246391539575211e-001   7.173837985547372e-001
 3.031980254777071e+000  -1.262673185656124e+000  -5.253169562487686e-001   7.179816045243582e-001
 3.044665605095542e+000  -1.251413978632586e+000  -5.256496381628605e-001   7.182126684363405e-001
 3.057350955414014e+000  -1.240758533120594e+000  -5.256764558638382e-001   7.181900689405049e-001
 3.070036305732485e+000  -1.230484031668834e+000  -5.254943502194499e-001   7.180418655936430e-001
 3.082721656050957e+000  -1.220315454547895e+000  -5.252524853747709e-001   7.179013128341528e-001
 3.095407006369428e+000  -1.210012207485280e+000  -5.251110014723146e-001   7.178828330945836e-001
 3.108092356687899e+000  -1.199433140584722e+000  -5.252025582060986e-001   7.180628738850682e-001
 3.120777707006371e+000  -1.188552311563548e+000  -5.256117194554050e-001   7.184731764379814e-001
 3.133463057324842e+000  -1.177441828550026e+000  -5.263671949373941e-001   7.191018780574524e-001
 3.146148407643314e+000  -1.166233857391680e+000  -5.274438338609523e-001   7.199002077317972e-001
 3.158833757961785e+000  -1.155076524450822e+000  -5.287695790442726e-001   7.207912135199448e-001
 3.171519108280256e+000  -1.144093598089346e+000  -5.302370073177454e-001   7.216800375571987e-001
 3.184204458598728e+000  -1.133358346882226e+000  -5.317177719876862e-001   7.224644897096956e-001
 3.196889808917199e+000  -1.122890575730399e+000  -5.330851583492801e-001   7.230499530318597e-001
 3.209575159235671e+000  -1.112674536307466e+000  -5.342493084796818e-001   7.233753495291115e-001
 3.222260509554142e+000  -1.102679037491322e+000  -5.351746780321006e-001   7.234292322521002e-001
 3.234945859872613e+000  -1.092862723338235e+000  -5.358599567194032e-001   7.232347496668354e-001
 3.247631210191085e+000  -1.083172467022745e+000  -5.363165833584678e-001   7.228297961094679e-001
 3.260316560509556e+000  -1.073544892244387e+000  -5.365609205707448e-001   7.222599681183959e-001
 3.273001910828028e+000  -1.063915274777295e+000  -5.366129814584855e-001   7.215738145752224e-001
 3.285687261146499e+000  -1.054227180785288e+000  -5.364979241109299e-001   7.208182199716440e-001
 3.298372611464970e+000  -1.044432855289151e+000  -5.362453682432136e-001   7.200344394232616e-001
 3.311057961783442e+000  -1.034486247045134e+000  -5.358840320805324e-001   7.192535817771975e-001
 3.323743312101913e+000  -1.024337752406256e+000  -5.354409238218676e-001   7.184989201179645e-001
 3.336428662420385e+000  -1.013932798556633e+000  -5.349412744908377e-001   7.177878138929018e-001
 3.349114012738856e+000  -1.003209954076322e+000  -5.344014359444860e-001   7.171265961414454e-001
 3.361799363057327e+000  -9.920997105613320e-001  -5.338252928340275e-001   7.165065595003527e-001
 3.374484713375799e+000  -9.805258207596455e-001  -5.332033594641820e-001   7.159041877150176e-001
 3.387170063694270e+000  -9.684077233810411e-001  -5.325123349711080e-001   7.152849526391101e-001
 3.399855414012742e+000  -9.556635457222154e-001  -5.317190560374994e-001   7.146044708505296e-001
 3.412540764331213e+000  -9.422149887058454e-001  -5.307889760639545e-001   7.138119364073089e-001
 3.425226114649684e+000  -9.279927360752746e-001  -5.296961762911123e-001   7.128629657983274e-001
 3.437911464968156e+000  -9.129406691801983e-001  -5.284321520584896e-001   7.117316098432387e-001
 3.450596815286627e+000  -8.970196146857422e-001  -5.270091863479351e-001   7.104133822188408e-001
 3.463282165605099e+000  -8.802075913173613e-001  -5.254524248392590e-001   7.089178196511797e-001
 3.475967515923570e+000  -8.625006605199234e-001  -5.237906011941865e-001   7.072600067517100e-001
 3.488652866242041e+000  -8.439164203116243e-001  -5.220536980125207e-001   7.054573583414323e-001
 3.501338216560513e+000  -8.244963875236201e-001  -5.202730781492815e-001   7.035303902869736e-001
 3.514023566878984e+000  -8.043049967709981e-001  -5.184773994657930e-001   7.015063966119679e-001
 3.526708917197456e+000  -7.834258775898322e-001  -5.166866551390053e-001   6.994260124238463e-001
 3.539394267515927e+000  -7.619577019689501e-001  -5.149106830722183e-001   6.973498924651920e-001
 3.552079617834398e+000  -7.400125807502233e-001  -5.131546672181168e-001   6.953636443561470e-001
 3.564764968152870e+000  -7.177125849325751e-001  -5.114231045104224e-001   6.935752976621009e-001
 3.577450318471341e+000  -6.951823419670804e-001  -5.097166591084591e-001   6.921029928646175e-001
 3.590135668789813e+000  -6.725364607241585e-001  -5.080319114059944e-001   6.910621785972639e-001
 3.602821019108284e+000  -6.498655836814643e-001  -5.063645300297389e-001   6.905549475777907e-001
 3.615506369426755e+000  -6.272323806578620e-001  -5.047097676959265e-001   6.906572520937430e-001
 3.628191719745227e+000  -6.046794971267607e-001  -5.030625600253488e-001   6.914091706599214e-001
 3.640877070063698e+000  -5.822439825258684e-001  -5.014242460755484e-001   6.928148546414354e-001
 3.653562420382170e+000  -5.599759999641738e-001  -4.998189546447322e-001   6.948521499572938e-001
 3.666247770700641e+000  -5.379545697567184e-001  -4.983107824354359e-001   6.974799044787299e-001
 3.678933121019112e+000  -5.162928911811634e-001  -4.970155339817940e-001   7.006419179544431e-001
 3.691618471337584e+000  -4.951350626578410e-001  -4.961076474786047e-001   7.042718642172431e-001
 3.704303821656055e+000  -4.746192518184846e-001  -4.957622492219252e-001   7.082799160939542e-001
 3.716989171974527e+000  -4.547980719691154e-001  -4.960092993604891e-001   7.125215944024455e-001
 3.729674522292998e+000  -4.356054163879926e-001  -4.966834583550110e-001   7.167933996504877e-001
 3.742359872611469e+000  -4.169158237082847e-001  -4.975413622938369e-001   7.208688728252837e-001
 3.755045222929941e+000  -3.986303293174879e-001  -4.983902496443532e-001   7.245505538734052e-001
 3.767730573248412e+000  -3.807227699239090e-001  -4.991345084826784e-001   7.277024627843385e-001
 3.780415923566884e+000  -3.632285864990147e-001  -4.997585301799999e-001   7.302365373197944e-001
 3.793101273885355e+000  -3.462052456039053e-001  -5.002919672105592e-001   7.320839663558590e-001
 3.805786624203826e+000  -3.296984076121825e-001  -5.007798372210450e-001   7.331929863508684e-001
 3.818471974522298e+000  -3.137217845917145e-001  -5.012572577747083e-001   7.335388743087276e-001
 3.831157324840769e+000  -2.982513489408246e-001  -5.017393205606070e-001   7.331268682957404e-001
 3.843842675159241e+000  -2.832276034271673e-001  -5.022236231350591e-001   7.319895955091738e-001
 3.856528025477712e+000  -2.685599681893449e-001  -5.026916837101243e-001   7.301836901540850e-001
 3.869213375796183e+000  -2.541326670742552e-001  -5.031126712915789e-001   7.277893281169500e-001
 3.881898726114655e+000  -2.398112980343858e-001  -5.034533755520639e-001   7.249097677431877e-001
 3.894584076433126e+000  -2.254485125364740e-001  -5.036876892723111e-001   7.216692547887800e-001
 3.907269426751598e+000  -2.108918446450375e-001  -5.038052680590039e-001   7.182096667673628e-001
 3.919954777070069e+000  -1.959950505986270e-001  -5.038221311916652e-001   7.146850631953845e-001
 3.932640127388540e+000  -1.806305681932123e-001  -5.037853690587300e-001   7.112522861847569e-001
 3.945325477707012e+000  -1.647028746639845e-001  -5.037618988043476e-001   7.080553056773814e-001
 3.958010828025483e+000  -1.481603373115031e-001  -5.038166859567728e-001   7.052070286437878e-001
