---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.UpdData = 396
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "..\Input\LowerBody-Runner-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
8.600000000000000e-001 1.484418020144905e+000 1.296852895608980e-001 2.513935054771733e-001 2.268488155743992e+000 -9.530485148900809e-002 3.166322011769985e-001
8.629943502824858e-001 1.507146381249992e+000 1.235079797352716e-001 2.368945134534733e-001 2.232448987435518e+000 -1.052686097914736e-001 3.325850365351952e-001
8.659887005649718e-001 1.528454170812088e+000 1.172506932163786e-001 2.224788143580807e-001 2.194634490589261e+000 -1.131821542435627e-001 3.473010487267370e-001
8.689830508474576e-001 1.548303720398033e+000 1.109985781767164e-001 2.082482051733715e-001 2.155156608911859e+000 -1.191672127372668e-001 3.607254102356107e-001
8.719774011299435e-001 1.566664100223428e+000 1.048377555641742e-001 1.942911033594488e-001 2.114121232921962e+000 -1.233517325040466e-001 3.728294899852944e-001
8.749717514124293e-001 1.583509368746947e+000 9.885304687581220e-002 1.806814037090748e-001 2.071626385211938e+000 -1.258697079494043e-001 3.835996391054051e-001
8.779661016949153e-001 1.598817433503309e+000 9.312597790419264e-002 1.674798900405859e-001 2.027760929806513e+000 -1.268552771368512e-001 3.930369655257621e-001
8.809604519774011e-001 1.612569038002198e+000 8.773289717641131e-002 1.547360733592652e-001 1.982603954280783e+000 -1.264375041033402e-001 4.011566467857632e-001
8.839548022598870e-001 1.624746888009689e+000 8.274324809657685e-002 1.424901918296058e-001 1.936224771960799e+000 -1.247361422790839e-001 4.079863119845855e-001
8.869491525423728e-001 1.635334937695620e+000 7.821807846459339e-002 1.307752849607812e-001 1.888683456587338e+000 -1.218583712571016e-001 4.135637877946163e-001
8.899435028248588e-001 1.644317878231898e+000 7.420884154419949e-002 1.196192941373049e-001 1.840031773444691e+000 -1.178963497434983e-001 4.179347623941612e-001
8.929378531073446e-001 1.651680863297416e+000 7.075645708787537e-002 1.090470663406826e-001 1.790314368446017e+000 -1.129254318060727e-001 4.211506360724562e-001
8.959322033898305e-001 1.657409489915091e+000 6.789059281270249e-002 9.908211424915536e-002 1.739570130001335e+000 -1.070030168162474e-001 4.232664929701079e-001
8.989265536723163e-001 1.661490052430116e+000 6.562921747176631e-002 8.974806674501676e-002 1.687833665391192e+000 -1.001680425837496e-001 4.243391234890542e-001
9.019209039548023e-001 1.663910034032133e+000 6.397844299258093e-002 8.106977493633644e-002 1.635136820092273e+000 -9.244098581747560e-002 4.244251426355594e-001
9.049152542372881e-001 1.664658726763541e+000 6.293265485934918e-002 7.307402244593272e-002 1.581510259661761e+000 -8.382435328500527e-002 4.235791416322739e-001
9.079096045197740e-001 1.663727897522511e+000 6.247491194029431e-002 6.578980412114201e-002 1.526985168670594e+000 -7.430363290958046e-002 4.218518405332432e-001
9.109039548022599e-001 1.661112522657589e+000 6.257761085435543e-002 5.924821144434245e-002 1.471595069658463e+000 -6.384856859230384e-002 4.192883750512290e-001
9.138983050847458e-001 1.656811654464415e+000 6.320340147024783e-002 5.348199278242324e-002 1.415377736267816e+000 -5.241459704895579e-002 4.159269086113059e-001
9.168926553672316e-001 1.650829431279619e+000 6.430630649179636e-002 4.852482005425515e-002 1.358377236383401e+000 -3.994437684122177e-002 4.117976632632202e-001
9.198870056497175e-001 1.643176193645186e+000 6.583298102555402e-002 4.441026220778604e-002 1.300646221994966e+000 -2.636945090104780e-002 4.069223841582595e-001
9.228813559322033e-001 1.633869697789837e+000 6.772406791568897e-002 4.117050274397708e-002 1.242248591049024e+000 -1.161217458176815e-002 4.013142737312869e-001
9.258757062146893e-001 1.622936468116564e+000 6.991565656526344e-002 3.883493430284895e-002 1.183262638181913e+000 4.411800368831670e-003 3.949784211234757e-001
9.288700564971751e-001 1.610413348534727e+000 7.234087854779192e-002 3.742884246041317e-002 1.123784812306664e+000 2.179014180451974e-002 3.879127119225256e-001
9.318644067796610e-001 1.596349307645316e+000 7.493169142835532e-002 3.697245143307536e-002 1.063934132865450e+000 4.060924428366911e-002 3.801091541878718e-001
9.348587570621469e-001 1.580807499054437e+000 7.762091814990058e-002 3.748072039203845e-002 1.003857203600531e+000 6.094804497388688e-002 3.715555044889853e-001
9.378531073446328e-001 1.563867536574835e+000 8.034456637046117e-002 3.896440500212716e-002 9.437336540972281e-001 8.286985750313876e-002 3.622369879124102e-001
9.408474576271186e-001 1.545627892493580e+000 8.304438778979151e-002 4.143297517416096e-002 8.837817650330588e-001 1.064118091067523e-001 3.521376315131269e-001
9.438418079096045e-001 1.526208242758850e+000 8.567053932085678e-002 4.489992687414080e-002 8.242639111690402e-001 1.315715005628690e-001 3.412403144223597e-001
9.468361581920904e-001 1.505751455898089e+000 8.818406149078140e-002 4.939075457608489e-002 7.654911643772151e-001 1.582909746708050e-001 3.295245496554088e-001
9.498305084745763e-001 1.484424755717208e+000 9.055870958259682e-002 5.495319527523340e-002 7.078259331756245e-001 1.864391400676386e-001 3.169615783690613e-001
9.528248587570621e-001 1.462419392905657e+000 9.278153177272497e-002 6.166805960066888e-002 6.516810005865584e-001 2.157951204198188e-001 3.035073886865711e-001
9.558192090395480e-001 1.439947933232745e+000 9.485158359565027e-002 6.965695056962670e-002 5.975127999094513e-001 2.460363230610908e-001 2.890956077038905e-001
9.588135593220339e-001 1.417238101016086e+000 9.677646697048536e-002 7.908111599652419e-002 5.458062700697666e-001 2.767364517374726e-001 2.736340520518147e-001
9.618079096045198e-001 1.394522262463075e+000 9.856701076154195e-002 9.012492110207163e-002 4.970488873158380e-001 3.073794230639805e-001 2.570106199404341e-001
9.648022598870056e-001 1.372022474101015e+000 1.002312396545844e-001 1.029596925556297e-001 4.516936449400660e-001 3.373931499742767e-001 2.391138978112643e-001
9.677966101694915e-001 1.349932700435204e+000 1.017694996722278e-001 1.176904899504706e-001 4.101152108890974e-001 3.662010959225744e-001 2.198690001284747e-001
9.707909604519774e-001 1.328401810564772e+000 1.031726179258490e-001 1.342983929383570e-001 3.725687694661671e-001 3.932809126357806e-001 1.992804153029561e-001
9.737853107344633e-001 1.307522007473181e+000 1.044238950766452e-001 1.525983360533622e-001 3.391636080991650e-001 4.182133180997769e-001 1.774659363215164e-001
9.767796610169491e-001 1.287326165387747e+000 1.055039787559842e-001 1.722303213189269e-001 3.098601240160688e-001 4.407062228924611e-001 1.546659212071316e-001
9.797740112994351e-001 1.267794375753802e+000 1.063963835638393e-001 1.926889674280638e-001 2.844904363043685e-001 4.605894199001263e-001 1.312221370508677e-001
9.827683615819209e-001 1.248866774838531e+000 1.070914788262589e-001 2.133807010644387e-001 2.627944154284171e-001 4.777873352486700e-001 1.075339835761275e-001
9.857627118644068e-001 1.230458391538334e+000 1.075879300148341e-001 2.336893923590346e-001 2.444596976966885e-001 4.922836443514291e-001 8.400795976076302e-002
9.887570621468926e-001 1.212472556857825e+000 1.078918993568490e-001 2.530331709294311e-001 2.291566519168349e-001 5.040896147581804e-001 6.101497284766259e-002
9.917514124293785e-001 1.194811167782161e+000 1.080150102054276e-001 2.709031867767847e-001 2.165641659283187e-001 5.132218104536893e-001 3.886312481060028e-002
9.947457627118644e-001 1.177378070869278e+000 1.079695125706064e-001 2.868743418674317e-001 2.063768888074574e-001 5.196929449544733e-001 1.779597749431953e-002
9.977401129943503e-001 1.160095777479729e+000 1.077755153544142e-001 3.006418881599987e-001 1.983473717080873e-001 5.234938133665542e-001 -2.038940909029613e-003
1.000734463276836e+000 1.142891027514887e+000 1.074477479759122e-001 3.119739305559325e-001 1.922462718094989e-001 5.246099255089146e-001 -2.053639985179834e-002
1.003728813559322e+000 1.125705442202888e+000 1.070019675774054e-001 3.207270953972252e-001 1.878887932884710e-001 5.230132291660419e-001 -3.764630185482429e-002
1.006723163841808e+000 1.108495810022556e+000 1.064549529602112e-001 3.268345524163889e-001 1.851336844929052e-001 5.186657542653445e-001 -5.336076829724164e-002
1.009717514124294e+000 1.091221800430098e+000 1.058155237508918e-001 3.302728558263767e-001 1.838501949133370e-001 5.115333246669471e-001 -6.767128559702171e-002
1.012711864406780e+000 1.073869465748451e+000 1.051028495529447e-001 3.311005363221580e-001 1.839768522738621e-001 5.015709951276439e-001 -8.062300241969256e-002
1.015706214689266e+000 1.056426674915055e+000 1.043286372531382e-001 3.294057059636789e-001 1.854569658817168e-001 4.887476850325045e-001 -9.224648411642342e-002
1.018700564971752e+000 1.038894318392769e+000 1.035064870177136e-001 3.253253711230455e-001 1.882661458241274e-001 4.730422072345696e-001 -1.025866453173426e-001
1.021694915254237e+000 1.021285694597861e+000 1.026524555361046e-001 3.190471070349938e-001 1.924102315865015e-001 4.544492143227184e-001 -1.117035237653051e-001
1.024689265536723e+000 1.003612433851120e+000 1.017763211245759e-001 3.107685821988475e-001 1.978878144374341e-001 4.329927910714982e-001 -1.196435734472803e-001
1.027683615819209e+000 9.859035120223787e-001 1.008963461684180e-001 3.007560897950459e-001 2.047400434422557e-001 4.087196170365621e-001 -1.264922477401504e-001
1.030677966101695e+000 9.681881674224439e-001 1.000279896783849e-001 2.892941042372725e-001 2.130048083452350e-001 3.817140363013554e-001 -1.323380600010757e-001
1.033672316384181e+000 9.504979215327998e-001 9.918636813746273e-002 2.766889511008020e-001 2.227214030548794e-001 3.520994966620578e-001 -1.372826716589033e-001
1.036666666666667e+000 9.328639466355644e-001 9.838575936137173e-002 2.632580614021571e-001 2.339238277646370e-001 3.200401383121676e-001 -1.414396033823581e-001
1.039661016949153e+000 9.153138700374387e-001 9.763919061546167e-002 2.493169463134873e-001 2.466338055035165e-001 2.857396353967583e-001 -1.449312595950759e-001
1.042655367231638e+000 8.978682503554308e-001 9.695800387329201e-002 2.351642003216261e-001 2.608538424048094e-001 2.494377299674501e-001 -1.478831971897595e-001
1.045649717514124e+000 8.805371560087102e-001 9.635134353987640e-002 2.210660090832994e-001 2.765610168238566e-001 2.114050813787980e-001 -1.504154986918013e-001
1.048644067796610e+000 8.633173402781349e-001 9.582564856385512e-002 2.072427264103086e-001 2.937023432314684e-001 1.719371893774215e-001 -1.526328062792058e-001
1.051638418079096e+000 8.461904433647951e-001 9.538428658377973e-002 1.938598743019154e-001 3.121924289851755e-001 1.313480219781042e-001 -1.546156390515220e-001
1.054632768361582e+000 8.291224903297443e-001 9.502745023027570e-002 1.810248310510532e-001 3.319138175833063e-001 8.996374986313123e-002 -1.564153330593130e-001
