---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.UpdData = 2
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\LowerBody-Runner-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesShortenOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
 8.600000000000000e-001  7.373171961343736e-001  2.336414795361401e-001 -1.119932279490117e-001  8.472781497792693e-001 -4.325914032683799e-001 -3.774052422453258e-002
 8.629943502824858e-001  7.087762951461366e-001  2.429541393187953e-001 -1.100453501745115e-001  8.427484090833077e-001 -4.080033587312693e-001 -4.218588245414816e-002
 8.659887005649718e-001  6.798163434240750e-001  2.517854820594083e-001 -1.075187997086395e-001  8.367022142825613e-001 -3.808936132996797e-001 -4.655468476485965e-002
 8.689830508474576e-001  6.505752533299551e-001  2.600450744170020e-001 -1.044779851778905e-001  8.293188400993541e-001 -3.515215542833201e-001 -5.074728737543554e-002
 8.719774011299435e-001  6.212025073237159e-001  2.676519644620772e-001 -1.010040501676266e-001  8.208051155665894e-001 -3.201721125589990e-001 -5.467191468469890e-002
 8.749717514124293e-001  5.918565783207710e-001  2.745384302741651e-001 -9.719059530622949e-002  8.113941496406217e-001 -2.871548187716516e-001 -5.825051327759111e-002
 8.779661016949153e-001  5.627031602050625e-001  2.806523479777234e-001 -9.313846108859585e-002  8.013431293598480e-001 -2.528017599580023e-001 -6.142389526738634e-002
 8.809604519774011e-001  5.339128176220022e-001  2.859588256899275e-001 -8.895002627925426e-002  7.909304241557048e-001 -2.174647651293605e-001 -6.415631409514265e-002
 8.839548022598870e-001  5.056580831323739e-001  2.904410356683937e-001 -8.472345546727135e-002  7.804519168526458e-001 -1.815116752665612e-001 -6.643919233724828e-002
 8.869491525423728e-001  4.781101121166108e-001  2.941002139396616e-001 -8.054731827857152e-002  7.702165183766687e-001 -1.453215428179593e-001 -6.829358108054733e-002
 8.899435028248588e-001  4.514350748657190e-001  2.969548178592345e-001 -7.649593162579922e-002  7.605408886875082e-001 -1.092785676593753e-001 -6.977080360434873e-002
 8.929378531073446e-001  4.257904886198920e-001  2.990388842038096e-001 -7.262570376465463e-002  7.517434467592709e-001 -7.376456380610215e-002 -7.095075043648824e-002
 8.959322033898305e-001  4.013217114554866e-001  3.003997108290595e-001 -6.897274834032084e-002  7.441378214159126e-001 -3.914989169908700e-002 -7.193751174984098e-002
 8.989265536723163e-001  3.781588579385529e-001  3.010950596596933e-001 -6.555204374894443e-002  7.380260327227721e-001 -5.783233609309183e-003 -7.285246550031789e-002
 9.019209039548023e-001  3.564135138114403e-001  3.011905351871262e-001 -6.235813171746712e-002  7.336918153469005e-001  2.601874048671247e-002 -7.382571708978820e-002
 9.049152542372881e-001  3.361800149446003e-001  3.007548144326182e-001 -5.936784493503292e-002  7.313939479191298e-001  5.598165843669035e-002 -7.498528867471743e-002
 9.079096045197740e-001  3.175291854989936e-001  2.998593350129715e-001 -5.654322256606864e-002  7.313611489676354e-001  8.388014836453059e-002 -7.644883557103202e-002
 9.109039548022599e-001  3.005110743696806e-001  2.985738594345935e-001 -5.383631955747108e-002  7.337870140789193e-001  1.095442721791985e-001 -7.831348969646043e-002
 9.138983050847458e-001  2.851541589923111e-001  2.969648578993787e-001 -5.119385691087551e-002  7.388266084632904e-001  1.328627474074135e-001 -8.064859284694737e-002
 9.168926553672316e-001  2.714661466914168e-001  2.950940115624063e-001 -4.856186822643605e-002  7.465942874495100e-001  1.537840126896668e-001 -8.349033337536436e-002
 9.198870056497175e-001  2.594353220602512e-001  2.930172547118506e-001 -4.588976458005193e-002  7.571628676762289e-001  1.723148341050641e-001 -8.683886890127140e-002
 9.228813559322033e-001  2.490322699544682e-001  2.907842339014564e-001 -4.313345455058614e-002  7.705640668762129e-001  1.885166307234664e-001 -9.065788687714568e-002
