---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Input\LowerBody-Runner-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
8.600000000000000e-001 2.724842739267586e-001 -1.787010072450201e+000 1.030890701148744e+000 1.688649273957364e+000 3.586647291867564e-001 1.385171273962749e+000 1.464883451622735e-001 -1.390564452291302e-001 3.274508312766409e-001 1.636963673924878e-001
8.629943502824858e-001 2.731865770402168e-001 -1.758104278506355e+000 1.031012529799418e+000 1.692466462980963e+000 3.578691879505871e-001 1.389710543769719e+000 1.508698710017332e-001 -1.480198867527534e-001 3.358952182000628e-001 1.576540330744223e-001
8.659887005649717e-001 2.739217173137071e-001 -1.729030174770248e+000 1.031219776970465e+000 1.696202083307264e+000 3.569496205933038e-001 1.394582842109772e+000 1.551060085156229e-001 -1.569642328304786e-001 3.438937661766321e-001 1.514351659407487e-001
8.689830508474575e-001 2.746869341886296e-001 -1.699817487453512e+000 1.031508074171182e+000 1.699822091718793e+000 3.559235964338370e-001 1.399727416916790e+000 1.591837702653187e-001 -1.658650492680639e-001 3.514705313728692e-001 1.450988114184011e-001
8.719774011299434e-001 2.754791225377699e-001 -1.670494752713527e+000 1.031872710853176e+000 1.703291183527627e+000 3.548092245141088e-001 1.405078827501558e+000 1.630895534884679e-001 -1.746955988296437e-001 3.586538295071924e-001 1.387036923414480e-001
8.749717514124292e-001 2.762949092845566e-001 -1.641089226540437e+000 1.032308755284285e+000 1.706573606548312e+000 3.536246283660545e-001 1.410568519216893e+000 1.668091478545427e-001 -1.834271709011924e-001 3.654749122975331e-001 1.323111024448415e-001
8.779661016949151e-001 2.771307368685545e-001 -1.611626798461032e+000 1.032811159817006e+000 1.709633977863935e+000 3.523874397307949e-001 1.416126545401922e+000 1.703277871925568e-001 -1.920294753610642e-001 3.719665581131912e-001 1.259840234235926e-001
8.809604519774009e-001 2.779829473742420e-001 -1.582131908711269e+000 1.033374855208066e+000 1.712438074768330e+000 3.511142660889808e-001 1.421683359082135e+000 1.736301813174353e-001 -2.004710635526131e-001 3.781616110395301e-001 1.197862003800278e-001
8.839548022598868e-001 2.788478610282191e-001 -1.552627467177781e+000 1.033994832301224e+000 1.714953602667240e+000 3.498201160376893e-001 1.427171564244401e+000 1.767004898938804e-001 -2.087198079681338e-001 3.840915937956897e-001 1.137811753577304e-001
8.869491525423726e-001 2.797218452259578e-001 -1.523134774801037e+000 1.034666210152684e+000 1.717150930229342e+000 3.485178000914628e-001 1.432527538378074e+000 1.795222349148800e-001 -2.167434585218856e-001 3.897855187640257e-001 1.080313048523513e-001
8.899435028248585e-001 2.806013739577288e-001 -1.493673452941859e+000 1.035384290172924e+000 1.719003765931407e+000 3.472173516420738e-001 1.437692896362310e+000 1.820781703204915e-001 -2.245102547172828e-001 3.952689630936839e-001 1.025968054931192e-001
8.929378531073443e-001 2.814830799148234e-001 -1.464261385787355e+000 1.036144595754694e+000 1.720489758519684e+000 3.459255107793244e-001 1.442615806919303e+000 1.843501255443866e-001 -2.319895553262550e-001 4.005633839178960e-001 9.753487177661713e-002
8.959322033898302e-001 2.823638014339486e-001 -1.434914676468929e+000 1.036942896392774e+000 1.721591019919939e+000 3.446453246066255e-001 1.447252141360072e+000 1.863188710992959e-001 -2.391524677507032e-001 4.056855990061887e-001 9.289889798032570e-002
8.989265536723160e-001 2.832406233070960e-001 -1.405647622221615e+000 1.037775215347388e+000 1.722294565358923e+000 3.433759420149765e-001 1.451566363131524e+000 1.879640817577386e-001 -2.459724854421392e-001 4.106474273195765e-001 8.873784535527016e-002
9.019209039548018e-001 2.841109101820927e-001 -1.376472712815204e+000 1.038637821922930e+000 1.722592668357659e+000 3.421126275344550e-001 1.455532108323711e+000 1.892644129947122e-001 -2.524261363801129e-001 4.154555490472490e-001 8.509576683272020e-002
