---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "..\Input\FullBody-GaitUniMiami-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
3.128333333333333e+000 4.646007101953464e-001 1.861608531464172e-001 2.418302812646683e-001 1.172043189282368e+000 3.317441678072352e-001 -5.365783701158721e-003
3.136458333333334e+000 4.843137375889213e-001 1.855696856015243e-001 2.465406634849060e-001 1.172056445015243e+000 3.500365619959857e-001 -7.787160396827672e-003
3.144583333333334e+000 5.032029235369023e-001 1.847604825937397e-001 2.520270146911616e-001 1.168290948907324e+000 3.676115838223231e-001 -1.175193061464538e-002
3.152708333333334e+000 5.212440739879060e-001 1.837156361816739e-001 2.582411460474071e-001 1.160796018740089e+000 3.841962178760645e-001 -1.685626354542705e-002
3.160833333333334e+000 5.384433446384198e-001 1.824318120600244e-001 2.651314616220971e-001 1.149654641557004e+000 3.995875311189487e-001 -2.275760440812627e-002
3.168958333333334e+000 5.548201583307556e-001 1.809161340873735e-001 2.726538776413858e-001 1.134973098832916e+000 4.136426390866988e-001 -2.917853468751000e-002
3.177083333333334e+000 5.703866944957955e-001 1.791837863133201e-001 2.807817541655419e-001 1.116868559850588e+000 4.262709923418881e-001 -3.590587144665290e-002
3.185208333333335e+000 5.851328397831985e-001 1.772590002142371e-001 2.895077823372022e-001 1.095460496754542e+000 4.374311903921703e-001 -4.279294516767192e-002
3.193333333333335e+000 5.990222208955315e-001 1.751781063557376e-001 2.988361722492831e-001 1.070868648751391e+000 4.471274680882092e-001 -4.976432405237053e-002
3.201458333333335e+000 6.119976715876246e-001 1.729909672364958e-001 3.087718528076255e-001 1.043215150125123e+000 4.554009065403551e-001 -5.681661620356985e-002
3.209583333333335e+000 6.239899632089783e-001 1.707574595114940e-001 3.193167084381507e-001 1.012626239895795e+000 4.623160306232740e-001 -6.401410262972190e-002
3.217708333333335e+000 6.349262853616593e-001 1.685399867303503e-001 3.304756254947766e-001 9.792317236623082e-001 4.679470372974806e-001 -7.148666804749632e-002
3.225833333333335e+000 6.447388628481284e-001 1.663955476147192e-001 3.422675266687466e-001 9.431636548536754e-001 4.723660928616317e-001 -7.943344137005574e-002
3.233958333333336e+000 6.533745938307469e-001 1.643692011677680e-001 3.547366583108128e-001 9.045559206097589e-001 4.756328244879673e-001 -8.812333302054022e-002
3.242083333333336e+000 6.608028488493779e-001 1.624903993727800e-001 3.679611005824512e-001 8.635457401251636e-001 4.777848071557413e-001 -9.788517251390590e-002
3.250208333333336e+000 6.670168506926487e-001 1.607741182873652e-001 3.820555675944129e-001 8.202790548333820e-001 4.788317621339736e-001 -1.090934176328988e-001
3.258333333333336e+000 6.720301810944487e-001 1.592254337343990e-001 3.971678912777290e-001 7.749217251006262e-001 4.787553333591791e-001 -1.221584147332517e-001
3.266458333333336e+000 6.758751742075757e-001 1.578436222691384e-001 4.134707865842214e-001 7.276763390570405e-001 4.775131963109889e-001 -1.375194762981509e-001
