---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.FileName = "..\Input\FullBody-GaitUniMiami-euler-rightarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
3.128333333333333e+000 -4.612368712353113e-001 2.683125209331265e-001 -3.490658503994228e-001 3.682352988519266e-002 -1.377812754547622e-001 2.588423189109133e-001 1.481945979140792e-001 4.575730496252251e-001 3.945125750954592e-001 3.969627862950783e-001
3.136458333333334e+000 -4.617888988926502e-001 2.673904541869396e-001 -3.490658504024254e-001 4.162006021951448e-002 -1.429643773565119e-001 2.588817971653311e-001 1.565532310702706e-001 4.528582814358135e-001 3.957280069492559e-001 3.992771771457532e-001
3.144583333333334e+000 -4.622943832753981e-001 2.664278932992170e-001 -3.490658504033853e-001 4.640483657365468e-002 -1.476012853865686e-001 2.588449462803295e-001 1.650377539776826e-001 4.482571866540884e-001 3.966663154976793e-001 4.014014733581351e-001
3.152708333333334e+000 -4.627237421308515e-001 2.654582980633748e-001 -3.490658504045961e-001 5.116140754241005e-002 -1.517222234481706e-001 2.587360886055846e-001 1.736593635047680e-001 4.437262721721742e-001 3.973620029502651e-001 4.033128564267113e-001
3.160833333333334e+000 -4.630586725784419e-001 2.645181486300041e-001 -3.490658504060965e-001 5.588874037466796e-002 -1.553666313809885e-001 2.585654199445731e-001 1.823994129048031e-001 4.392129244970938e-001 3.978821806635922e-001 4.050137571342762e-001
3.168958333333334e+000 -4.632933649103729e-001 2.636410119279535e-001 -3.490658504079129e-001 6.060054216641597e-002 -1.585806690802114e-001 2.583453583188482e-001 1.912102560096972e-001 4.346655073584192e-001 3.983126672559683e-001 4.065271929777072e-001
3.177083333333334e+000 -4.634339558857225e-001 2.628517944340933e-001 -3.490658504100651e-001 6.532110296485438e-002 -1.614170867583185e-001 2.580877226736742e-001 2.000238384872807e-001 4.300407249381559e-001 3.987395246378800e-001 4.078889113617693e-001
3.185208333333335e+000 -4.634963918333532e-001 2.621641297015067e-001 -3.490658504125431e-001 7.007946036355617e-002 -1.639365130417363e-001 2.578035895266413e-001 2.087637549707446e-001 4.253077853617164e-001 3.992290486102494e-001 4.091399098850828e-001
3.193333333333335e+000 -4.635010458940915e-001 2.615819767230185e-001 -3.490658504153124e-001 7.490282055008768e-002 -1.662055505111235e-001 2.575058652009545e-001 2.173578376928965e-001 4.204531017822487e-001 3.998149283058188e-001 4.103200691921378e-001
3.201458333333335e+000 -4.634653852100795e-001 2.611036949167402e-001 -3.490658504183137e-001 7.981026790214485e-002 -1.682902012818617e-001 2.572120973388228e-001 2.257488812142071e-001 4.154856304069749e-001 4.004981590054351e-001 4.114625202495049e-001
3.209583333333335e+000 -4.633987296504366e-001 2.607258609079699e-001 -3.490658504214610e-001 8.480839602120449e-002 -1.702484508646405e-001 2.569447529169240e-001 2.339009356865835e-001 4.104380448715641e-001 4.012567755019854e-001 4.125899416359349e-001
3.217708333333335e+000 -4.633005270345685e-001 2.604453914039726e-001 -3.490658504246721e-001 8.988998781645496e-002 -1.721260884749704e-001 2.567286310983848e-001 2.417997155168350e-001 4.053612914151036e-001 4.020601195080320e-001 4.137142979401438e-001
3.225833333333335e+000 -4.631599832318618e-001 2.602599832912302e-001 -3.490658504278633e-001 9.503525420998882e-002 -1.739561786290584e-001 2.565869961066517e-001 2.494486929949603e-001 4.003168470466093e-001 4.028823443992202e-001 4.148392369250141e-001
3.233958333333336e+000 -4.629564430561597e-001 2.601677089864212e-001 -3.490658504309740e-001 1.002146524454095e-001 -1.757612404205297e-001 2.565379932631108e-001 2.568640371544040e-001 3.953710306246008e-001 4.037086494143287e-001 4.159629221152911e-001
3.242083333333336e+000 -4.626625833209478e-001 2.601666674699910e-001 -3.490658504339721e-001 1.053928138820095e-001 -1.775578824326006e-001 2.565926848539503e-001 2.640702321802925e-001 3.905893353716148e-001 4.045332405015791e-001 4.170794911210322e-001
