---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Input\FullBody-GaitUniMiami-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
3.128333333333333e+000 1.235690985375284e+000 3.366466978066564e-001 1.025287111315819e+000 -1.626424709106061e+000 2.886024504139609e+000 3.316754989706494e-002 1.700809240914824e-001 6.091556041318273e-002 -2.001477994306820e-002 5.601344545839028e-001
3.136458333333334e+000 1.226379536395024e+000 3.373340948302863e-001 1.026203866045664e+000 -1.626295184291571e+000 2.887102500351125e+000 3.264650645918721e-002 1.690447367448597e-001 5.913000184731735e-002 -1.624960911959828e-002 5.589261915410790e-001
3.144583333333334e+000 1.217084972082209e+000 3.379912080675407e-001 1.027034933422385e+000 -1.626016099817275e+000 2.888238864864646e+000 3.191365535371071e-002 1.679483390019879e-001 5.713327000194655e-002 -1.246900501405186e-002 5.578267408630256e-001
3.152708333333334e+000 1.207808228874251e+000 3.386115388883905e-001 1.027773440381591e+000 -1.625585912905603e+000 2.889382654321890e+000 3.095595030103038e-002 1.668370754414124e-001 5.494557614744906e-002 -8.688976418949114e-003 5.568265162762726e-001
3.160833333333334e+000 1.198551737635261e+000 3.391884303583165e-001 1.028412874291139e+000 -1.625013962217987e+000 2.890469657944932e+000 2.976488924685761e-002 1.657689284064512e-001 5.260096259743643e-002 -4.923708688377012e-003 5.559206544943176e-001
3.168958333333334e+000 1.189318244604539e+000 3.397154727076192e-001 1.028947244952794e+000 -1.624314624684427e+000 2.891433151465036e+000 2.833178899114897e-002 1.648047480622995e-001 5.013689731316119e-002 -1.182433002126110e-003 5.551105161133489e-001
3.177083333333334e+000 1.180109310454124e+000 3.401869137057175e-001 1.029371278924453e+000 -1.623503212325652e+000 2.892216583401418e+000 2.664560426875484e-002 1.639968261946971e-001 4.758720234423101e-002 2.531363058739187e-003 5.544040357331784e-001
3.185208333333335e+000 1.170923998288660e+000 3.405979658673025e-001 1.029680591384497e+000 -1.622597001151652e+000 2.892784356296860e+000 2.469632783622044e-002 1.633791595264802e-001 4.498387917447462e-002 6.215957169825245e-003 5.538130569153986e-001
3.193333333333335e+000 1.161758369831436e+000 3.409448700282173e-001 1.029871797751198e+000 -1.621621392106015e+000 2.893127584145643e+000 2.248280562428073e-002 1.629615926674456e-001 4.236759710740648e-002 9.863589495692004e-003 5.533490240012963e-001
3.201458333333335e+000 1.152605852891780e+000 3.412247958885569e-001 1.029942493162733e+000 -1.620616608367210e+000 2.893263979438900e+000 2.001912793197214e-002 1.627289226285658e-001 3.979890200645039e-002 1.345430841036258e-002 5.530196602391856e-001
3.209583333333335e+000 1.143458083859190e+000 3.414356854985702e-001 1.029891079572850e+000 -1.619638711210430e+000 2.893233029364542e+000 1.733369447391553e-002 1.626448585906636e-001 3.736017776374179e-002 1.695739497968138e-002 5.528276976195933e-001
3.217708333333335e+000 1.134305868313555e+000 3.415760594699136e-001 1.029716580015104e+000 -1.618753852376495e+000 2.893088006535324e+000 1.446141523967359e-002 1.626598597711893e-001 3.514683817801225e-002 2.033939725523837e-002 5.527702069849513e-001
3.225833333333335e+000 1.125140101740124e+000 3.416448021477667e-001 1.029418616682103e+000 -1.618029615229791e+000 2.892886305339527e+000 1.143397689262660e-002 1.627211265506016e-001 3.325386105631455e-002 2.357298667190056e-002 5.528371701029420e-001
3.233958333333336e+000 1.115952660288764e+000 3.416409559724019e-001 1.028997529003996e+000 -1.617526588243526e+000 2.892679278175538e+000 8.271151321188164e-003 1.627828275835028e-001 3.176258993037637e-002 2.664404136399680e-002 5.530113259972396e-001
3.242083333333336e+000 1.106737128984655e+000 3.415635630743096e-001 1.028454443062906e+000 -1.617292345723293e+000 2.892504532543223e+000 4.974462603518415e-003 1.628129308492028e-001 3.073112346316262e-002 2.955706594769256e-002 5.532729948769142e-001
