---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\LowerBody-GaitUniMiami-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
3.128333333333333e+000 4.894993603845838e-001 -1.979462075713867e-003 4.469094235274404e-001 4.168395343512268e-001 4.594435628589097e-001 -4.395239109388342e-001
3.136458333333334e+000 4.754499779648580e-001 -3.676113691558403e-003 4.492364009795641e-001 4.125893830295004e-001 4.685735905523624e-001 -4.463975318345334e-001
3.144583333333334e+000 4.614063155998781e-001 -5.185254045956933e-003 4.514688310449961e-001 4.083689906138393e-001 4.775522694215829e-001 -4.534400485865849e-001
3.152708333333334e+000 4.474532722791311e-001 -6.464812672058340e-003 4.536973214917464e-001 4.042560554672435e-001 4.864500071170048e-001 -4.607828334997127e-001
3.160833333333334e+000 4.336861140604464e-001 -7.488493907586769e-003 4.559980409608211e-001 4.003141839508316e-001 4.953269827174762e-001 -4.685234295286651e-001
3.168958333333334e+000 4.201995704759056e-001 -8.241858401114577e-003 4.584208347351204e-001 3.965961242209306e-001 5.042373517846732e-001 -4.767197993233550e-001
3.177083333333334e+000 4.070728586280146e-001 -8.718811224262879e-003 4.609863899009139e-001 3.931455265478170e-001 5.132317062931766e-001 -4.853899503305115e-001
3.185208333333335e+000 3.943543858087474e-001 -8.922199263196262e-003 4.636951412346971e-001 3.899947110874351e-001 5.223548897030931e-001 -4.945164288134945e-001
3.193333333333335e+000 3.820518232531272e-001 -8.868403104810296e-003 4.665463639960611e-001 3.871617038568463e-001 5.316402299665328e-001 -5.040569342949610e-001
3.201458333333335e+000 3.701312660516267e-001 -8.592035815288890e-003 4.695576084838628e-001 3.846490755506557e-001 5.411032178516276e-001 -5.139601052660605e-001
3.209583333333335e+000 3.585256451723459e-001 -8.145257192528455e-003 4.727716978281589e-001 3.824478217569851e-001 5.507398539024724e-001 -5.241819855358461e-001
3.217708333333335e+000 3.471488881277602e-001 -7.591783229603966e-003 4.762454595768527e-001 3.805427283032598e-001 5.605293356657405e-001 -5.346930951313904e-001
3.225833333333335e+000 3.359119301631457e-001 -6.998915082198076e-003 4.800284692486336e-001 3.789166997550608e-001 5.704382047904628e-001 -5.454743150701749e-001
3.233958333333336e+000 3.247390880513560e-001 -6.429023213901486e-003 4.841421353612217e-001 3.775555742478232e-001 5.804251182008783e-001 -5.565067388854770e-001
3.242083333333336e+000 3.135808109804478e-001 -5.932065350182203e-003 4.885652619697761e-001 3.764535366855860e-001 5.904463763761199e-001 -5.677601269685373e-001
3.250208333333336e+000 3.024153846569299e-001 -5.542446168584903e-003 4.932318825424012e-001 3.756153685111878e-001 6.004602717960088e-001 -5.791859893878789e-001
3.258333333333336e+000 2.912396991866221e-001 -5.280474486274667e-003 4.980422340564634e-001 3.750540811351651e-001 6.104282402545579e-001 -5.907214408713436e-001
3.266458333333336e+000 2.800577355114579e-001 -5.155290718811934e-003 5.028792390344520e-001 3.747864456291291e-001 6.203126129479132e-001 -6.023019256073379e-001
3.274583333333336e+000 2.688721524636569e-001 -5.167632746414963e-003 5.076227018901979e-001 3.748282752759370e-001 6.300719250484086e-001 -6.138735523319773e-001
3.282708333333336e+000 2.576785854528425e-001 -5.312984664385345e-003 5.121585305889498e-001 3.751895536867911e-001 6.396559061643465e-001 -6.253972596803494e-001
3.290833333333337e+000 2.464631939854366e-001 -5.584848360356443e-003 5.163819006932829e-001 3.758706115841693e-001 6.490029275642566e-001 -6.368424517060914e-001
3.298958333333337e+000 2.352043526115511e-001 -5.976292823838270e-003 5.201949376205861e-001 3.768609045557033e-001 6.580396665770703e-001 -6.481740865950709e-001
3.307083333333337e+000 2.238791328363851e-001 -6.477696032003655e-003 5.235033771456260e-001 3.781428722365293e-001 6.666827240772261e-001 -6.593413606302968e-001
3.315208333333337e+000 2.124702936080845e-001 -7.070875399249665e-003 5.262175218573891e-001 3.796977254678842e-001 6.748410088150975e-001 -6.702750211228757e-001
3.323333333333337e+000 2.009708583697622e-001 -7.721142151744465e-003 5.282565017886185e-001 3.815099129821039e-001 6.824189731272600e-001 -6.808908375246647e-001
3.331458333333337e+000 1.893858972648924e-001 -8.370262836415732e-003 5.295516395259646e-001 3.835691202100693e-001 6.893196789420083e-001 -6.910928083988588e-001
3.339583333333338e+000 1.777328624817682e-001 -8.934356379786124e-003 5.300479230226567e-001 3.858707686138179e-001 6.954466894033548e-001 -7.007747537184477e-001
3.347708333333338e+000 1.660407534241022e-001 -9.308927462715388e-003 5.297054454054055e-001 3.884156785618200e-001 7.007043696804712e-001 -7.098233010925098e-001
3.355833333333338e+000 1.543472701686529e-001 -9.379079868344853e-003 5.285014012355377e-001 3.912088058424565e-001 7.049962834877961e-001 -7.181225106663640e-001
3.363958333333338e+000 1.426942344353248e-001 -9.030569263438482e-003 5.264315948463476e-001 3.942572414369004e-001 7.082217717150003e-001 -7.255572059970779e-001
3.372083333333338e+000 1.311228110525858e-001 -8.160267017800038e-003 5.235081505749177e-001 3.975673123431315e-001 7.102706714725606e-001 -7.320104949715236e-001
3.380208333333338e+000 1.196733954312831e-001 -6.681313094612396e-003 5.197537019960357e-001 4.011448549578817e-001 7.110197303296882e-001 -7.373586525511923e-001
3.388333333333339e+000 1.083891487646967e-001 -4.526146350498417e-003 5.151900707429251e-001 4.049975429270950e-001 7.103294245896219e-001 -7.414608936640054e-001
3.396458333333339e+000 9.732113235774370e-002 -1.647206931596923e-003 5.098288520916687e-001 4.091399073649085e-001 7.080420859590446e-001 -7.441527722956269e-001
3.404583333333339e+000 8.653310337416501e-002 1.983854362498816e-003 5.036707024416767e-001 4.136000865425224e-001 7.039812649180588e-001 -7.452483478093601e-001
3.412708333333339e+000 7.610167665381049e-002 6.375500102036469e-003 4.967111979765033e-001 4.184250044168301e-001 6.979530149343186e-001 -7.445489612393068e-001
3.420833333333339e+000 6.611475323926226e-002 1.151743108050241e-002 4.889491667436647e-001 4.236855222757951e-001 6.897524997034363e-001 -7.418541834997504e-001
3.428958333333339e+000 5.667040591584479e-002 1.738359886117302e-002 4.803931441251794e-001 4.294818481668018e-001 6.791759448664189e-001 -7.369715157720032e-001
3.437083333333340e+000 4.787786655458289e-002 2.393548465639150e-002 4.710644413796207e-001 4.359486832004455e-001 6.660356369689251e-001 -7.297241090045078e-001
3.445208333333340e+000 3.986104812392221e-002 3.112523314786886e-002 4.609969072190325e-001 4.432598697144394e-001 6.501760460789086e-001 -7.199562105441810e-001
3.453333333333340e+000 3.275950466648268e-002 3.889486310836121e-002 4.502314681532024e-001 4.516293976353104e-001 6.314882093231942e-001 -7.075337677538683e-001
3.461458333333340e+000 2.673049974637446e-002 4.717860564911081e-002 4.388129440697478e-001 4.613128383423585e-001 6.099243116608567e-001 -6.923464706407323e-001
3.469583333333340e+000 2.194788460913338e-002 5.590353904283707e-002 4.267874401375791e-001 4.726043772054015e-001 5.855110362456553e-001 -6.743097251205849e-001
3.477708333333340e+000 1.859885762680805e-002 6.498903020312352e-002 4.142023795600959e-001 4.858274059667714e-001 5.583553276642134e-001 -6.533694766064432e-001
3.485833333333340e+000 1.687975785793537e-002 7.434570408352670e-002 4.011096398500132e-001 5.013179313598657e-001 5.286553788554215e-001 -6.295114171000493e-001
3.493958333333341e+000 1.698948750533848e-002 8.387835765223262e-002 3.875740081089603e-001 5.194018449069778e-001 4.967013923123352e-001 -6.027784098550186e-001
3.502083333333341e+000 1.912205818218431e-002 9.349142241323993e-002 3.736777392638995e-001 5.403683682780087e-001 4.628779444961144e-001 -5.732837066964779e-001
3.510208333333341e+000 2.345788070642249e-002 1.030922411799928e-001 3.595152961483063e-001 5.644409468297660e-001 4.276628781503981e-001 -5.412103896640139e-001
3.518333333333341e+000 3.015235251839952e-002 1.125894279256516e-001 3.451819880423476e-001 5.917477128166572e-001 3.916204724882739e-001 -5.067997717148347e-001
3.526458333333341e+000 3.931989429456108e-002 1.218889954187750e-001 3.307680239616005e-001 6.222951108168154e-001 3.553840301098925e-001 -4.703413907422059e-001
3.534583333333341e+000 5.101400776293905e-002 1.308915641640740e-001 3.163655500927787e-001 6.559480205911960e-001 3.196238755888254e-001 -4.321707005255783e-001
3.542708333333342e+000 6.520784935124147e-002 1.394921949193466e-001 3.020848704822522e-001 6.924199565491348e-001 2.850066550601709e-001 -3.926686851374678e-001
3.550833333333342e+000 8.178212801167555e-002 1.475833724415749e-001 2.880676890962425e-001 7.312782483324617e-001 2.521650877493243e-001 -3.522556311102413e-001
3.558958333333342e+000 1.005266687081712e-001 1.550599928139929e-001 2.744874778889940e-001 7.719678107984194e-001 2.216951473168702e-001 -3.113788388446864e-001
3.567083333333342e+000 1.211585619999076e-001 1.618241090596519e-001 2.615373513016050e-001 8.138514481555009e-001 1.941753631711994e-001 -2.704994160197351e-001
3.575208333333342e+000 1.433529633698671e-001 1.677890880497155e-001 2.494131907214229e-001 8.562577641766456e-001 1.701825827980500e-001 -2.300801945460890e-001
3.583333333333342e+000 1.667765722963819e-001 1.728844057190337e-001 2.382981429632648e-001 8.985245193911556e-001 1.502806663833214e-001 -1.905723329520535e-001
3.591458333333343e+000 1.911148535276228e-001 1.770608138166718e-001 2.283499420011696e-001 9.400284745398110e-001 1.349769113181210e-001 -1.524022763601032e-001
3.599583333333343e+000 2.160895218208619e-001 1.802948631249743e-001 2.196911084157922e-001 9.802002322013558e-001 1.246569416913522e-001 -1.159662849424821e-001
3.607708333333343e+000 2.414669660235330e-001 1.825932439084106e-001 2.124020285237605e-001 1.018528630514268e+000 1.195157286386897e-001 -8.163112497974746e-002
3.615833333333343e+000 2.670616550702157e-001 1.839962983836490e-001 2.065135516115563e-001 1.054562336096687e+000 1.195123013727511e-001 -4.972131695906424e-002
3.623958333333343e+000 2.927373539223490e-001 1.845853905015991e-001 2.020136934584739e-001 1.087904987283335e+000 1.243257684064748e-001 -2.052547144217110e-002
3.632083333333343e+000 3.184072700890799e-001 1.844703866301161e-001 1.988323774369560e-001 1.118223381208149e+000 1.334233727206592e-001 5.758949523648826e-003
3.640208333333344e+000 3.440222669670249e-001 1.837784068465294e-001 1.968600966043084e-001 1.145240786310506e+000 1.461080127271458e-001 2.899964619123122e-002
3.648333333333344e+000 3.695524802659185e-001 1.826340654894945e-001 1.959614865201536e-001 1.168731867467663e+000 1.615979250432960e-001 4.912023365114683e-002
3.656458333333344e+000 3.949739767983393e-001 1.811424079214146e-001 1.959793817473293e-001 1.188526337050374e+000 1.791665549367503e-001 6.610703853904874e-002
3.664583333333344e+000 4.202603439988230e-001 1.793950646296474e-001 1.967663841663049e-001 1.204491823904570e+000 1.980731453067121e-001 7.998160488213282e-002
3.672708333333344e+000 4.453746886197603e-001 1.774598839368313e-001 1.981819511046322e-001 1.216542406495013e+000 2.177082562411095e-001 9.084160210054820e-002
3.680833333333344e+000 4.702533442497113e-001 1.753878441869143e-001 2.001255121628292e-001 1.224622944754982e+000 2.375237585178676e-001 9.884769301553986e-002
3.688958333333344e+000 4.947920476899574e-001 1.732114231479873e-001 2.025355871509635e-001 1.228700221621390e+000 2.570996367488573e-001 1.042156594074058e-001
3.697083333333345e+000 5.188536155188340e-001 1.709574997622301e-001 2.054004406644331e-001 1.228767176292245e+000 2.760182508507130e-001 1.072075281463534e-001
3.705208333333345e+000 5.422783277770332e-001 1.686348645895546e-001 2.087109871582226e-001 1.224838160973646e+000 2.939751337379566e-001 1.081180664427995e-001
