---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Input\LowerBody-GaitUniMiami-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
3.128333333333333e+000 1.235566605429820e+000 3.366695698340275e-001 1.025703882399347e+000 -1.626101510967462e+000 2.886215832370664e+000 3.320728029233777e-002 1.754416479317418e-001 6.108383508521405e-002 -2.088677112382745e-002 5.348417631464109e-001
3.136458333333334e+000 1.226255217747917e+000 3.373567430411802e-001 1.026620474717601e+000 -1.625973510194545e+000 2.887290198122422e+000 3.268746471343897e-002 1.744039270514682e-001 5.933052956789661e-002 -1.713807707683029e-002 5.336301971820362e-001
3.144583333333334e+000 1.216960713540070e+000 3.380135465473499e-001 1.027451470353966e+000 -1.625697086310860e+000 2.888423037603422e+000 3.195591221542316e-002 1.733071963614676e-001 5.736481473037495e-002 -1.337077626710931e-002 5.325205235906935e-001
3.152708333333334e+000 1.207684033680689e+000 3.386335120849189e-001 1.028189993531142e+000 -1.625270523687715e+000 2.889563502975371e+000 3.099960872270957e-002 1.721964405050786e-001 5.520697015217838e-002 -9.601214843358049e-003 5.315053884517355e-001
3.160833333333334e+000 1.198427615324106e+000 3.392100038328166e-001 1.028829511464305e+000 -1.624703016980577e+000 2.890647560785093e+000 2.981005480805488e-002 1.711291677754686e-001 5.289106941446360e-002 -5.843809089839108e-003 5.305818978240993e-001
3.168958333333334e+000 1.189194212353432e+000 3.397366291692716e-001 1.029364010715064e+000 -1.624008820313139e+000 2.891608673396361e+000 2.837856598152255e-002 1.701657725821828e-001 5.045453093189550e-002 -2.107904171012066e-003 5.297532332432490e-001
3.177083333333334e+000 1.179985393088846e+000 3.402076452641521e-001 1.029788188371551e+000 -1.623203166424131e+000 2.892390475916539e+000 2.669407971769999e-002 1.693581575771545e-001 4.793107765682055e-002 1.603059075793011e-003 5.290278767164669e-001
3.185208333333335e+000 1.170800231392149e+000 3.406182763128378e-001 1.030097647972318e+000 -1.622303259879375e+000 2.892957447290621e+000 2.474661133138190e-002 1.687401628715384e-001 4.535250527985036e-002 5.287377988591760e-003 5.284198269522165e-001
3.193333333333335e+000 1.161634795509895e+000 3.409647625755982e-001 1.030288978383513e+000 -1.621334444845251e+000 2.893300781654061e+000 2.253497569855956e-002 1.683215500803172e-001 4.275919743430699e-002 8.937475371996725e-003 5.279396835494647e-001
3.201458333333335e+000 1.152482517685812e+000 3.412442751087792e-001 1.030359758393826e+000 -1.620336826723484e+000 2.893438163614633e+000 2.007323641479575e-002 1.680872202492208e-001 4.021127199619319e-002 1.253350358533805e-002 5.275944705685579e-001
3.209583333333335e+000 1.143335034412193e+000 3.414547589103836e-001 1.030308379338081e+000 -1.619366275279719e+000 2.893408973557797e+000 1.738975387715547e-002 1.680011007053639e-001 3.779061899681454e-002 1.604472266820331e-002 5.273859099452591e-001
3.217708333333335e+000 1.134183147112831e+000 3.415947404019263e-001 1.030133860646471e+000 -1.618488689074343e+000 2.893266320637965e+000 1.451939019892867e-002 1.680139263617020e-001 3.559220061763157e-002 1.943748840357178e-002 5.273100306985286e-001
3.225833333333335e+000 1.125017743834361e+000 3.416631125785304e-001 1.029835827713828e+000 -1.617771368519508e+000 2.893067409797794e+000 1.149378210916607e-002 1.680731704463954e-001 3.371068602301695e-002 2.268411167017732e-002 5.273559601950505e-001
3.233958333333336e+000 1.115830691171825e+000 3.416589288427679e-001 1.029414627777206e+000 -1.617274625187065e+000 2.892863405318020e+000 8.332656002742134e-003 1.681332176976708e-001 3.222733085276437e-002 2.576996707713504e-002 5.275059411436881e-001
3.242083333333336e+000 1.106615563555663e+000 3.415812438588569e-001 1.028871395780402e+000 -1.617045792745684e+000 2.892691744115815e+000 5.037499630053510e-003 1.681621604787060e-001 3.120041364560958e-002 2.869894098145284e-002 5.277402772655385e-001
3.250208333333336e+000 1.097367828500897e+000 3.414290735674318e-001 1.028207959342333e+000 -1.617118034003295e+000 2.892575327638435e+000 1.589916172473505e-003 1.681410498732455e-001 3.066303958616439e-002 3.149533751040264e-002 5.280460886382761e-001
3.258333333333336e+000 1.088084400194049e+000 3.412015312326102e-001 1.027426660100568e+000 -1.617513299772449e+000 2.892528175434220e+000 -2.044695761775017e-003 1.680572618202221e-001 3.062777135379126e-002 3.420055216372268e-002 5.284223675697949e-001
3.266458333333336e+000 1.078762923805701e+000 3.408980966839825e-001 1.026530260101893e+000 -1.618245921751657e+000 2.892561940484656e+000 -5.910533857938827e-003 1.678984666717074e-001 3.109293443934726e-002 3.686613720640091e-002 5.288765321458118e-001
3.274583333333336e+000 1.069401107861734e+000 3.405188876849792e-001 1.025521983802488e+000 -1.619324951925030e+000 2.892689854296378e+000 -1.005420513906730e-002 1.676501183544073e-001 3.204746271509684e-002 3.954625296147534e-002 5.294170322398911e-001
3.282708333333336e+000 1.059996245776589e+000 3.400647993867006e-001 1.024405602319496e+000 -1.620755782923776e+000 2.892928623682736e+000 -1.451825396288520e-002 1.672948336479934e-001 3.347470535074936e-002 4.229174739564406e-002 5.300503624551602e-001
3.290833333333337e+000 1.050545058889471e+000 3.395374749138858e-001 1.023185494349864e+000 -1.622541309964560e+000 2.893298585889048e+000 -1.933646344889883e-002 1.668128005160075e-001 3.535534766544506e-002 4.514750929102784e-002 5.307728453759728e-001
3.298958333333337e+000 1.041043846514825e+000 3.389392144399209e-001 1.021866843270189e+000 -1.624681617264198e+000 2.893822029548612e+000 -2.453135646343885e-002 1.661837851940122e-001 3.766786035771719e-002 4.815250314672643e-002 5.315804870844417e-001
3.307083333333337e+000 1.031488725805900e+000 3.382729608697953e-001 1.020455948110399e+000 -1.627171301629150e+000 2.894519523129035e+000 -3.011243622399595e-002 1.653910178889534e-001 4.038560942636922e-002 5.134079259147612e-002 5.324619179593944e-001
3.315208333333337e+000 1.021875688160565e+000 3.375424371427710e-001 1.018960663376249e+000 -1.629994427466802e+000 2.895406094416531e+000 -3.607405387923590e-002 1.644255497064348e-001 4.347112885396537e-002 5.474035541214459e-002 5.333995685106648e-001
3.323333333333337e+000 1.012200423682746e+000 3.367523593653743e-001 1.017390858347506e+000 -1.633117685408903e+000 2.896488467551020e+000 -4.239322456553785e-002 1.632895874583396e-001 4.686841193328307e-002 5.837022784267052e-002 5.343695673840169e-001
3.331458333333337e+000 1.002458067552695e+000 3.359085374800224e-001 1.015758776931261e+000 -1.636483888245208e+000 2.897763623911867e+000 -4.902850550509319e-002 1.619982279096405e-001 5.049555057777846e-002 6.223806917807272e-002 5.353423105263914e-001
3.339583333333338e+000 9.926430376536835e-001 3.350177583980436e-001 1.014079080184128e+000 -1.640009497171138e+000 2.899218110817157e+000 -5.591998261977826e-002 1.605802030104877e-001 5.424217040785384e-002 6.633877117417096e-002 5.362826816479761e-001
3.347708333333338e+000 9.827490210446781e-001 3.340875576128599e-001 1.012368410912486e+000 -1.643588293365644e+000 2.900828098603780e+000 -6.298980492744200e-002 1.590777157279180e-001 5.797434719761083e-002 7.065330347917347e-002 5.371492011898480e-001
