---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.UpdData = 2
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.FileName = "..\Input\FullBody-GaitNormal_1-euler-leftarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnNamesShortenOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
 1.560000000000000e+000 -6.882531277847430e-001  1.808600858272296e-001 -3.490658503988671e-001  4.710105200993167e-001 -3.811934183162727e-001  4.512289668318372e-001  7.232925407385201e-001  4.653471110997786e-001  9.090841366617530e-002  8.421193970422408e-002
 1.569795918367347e+000 -6.873772875251006e-001  1.800754217682372e-001 -3.490658503921957e-001  4.658656748060315e-001 -3.855523368166839e-001  4.468645263119430e-001  7.288037632555807e-001  4.672192071513417e-001  9.084710435012133e-002  8.470400995218379e-002
 1.579591836734694e+000 -6.866925272743499e-001  1.790035184313845e-001 -3.490658503921240e-001  4.592530751372150e-001 -3.894967909884034e-001  4.420177208233143e-001  7.338795698558946e-001  4.695108084399230e-001  9.034635759996434e-002  8.520966588314612e-002
 1.589387755102041e+000 -6.862158402465934e-001  1.776430205693820e-001 -3.490658503921597e-001  4.510263136022985e-001 -3.929637337471250e-001  4.366475919656955e-001  7.383420848287272e-001  4.722220043352179e-001  8.941564535569913e-002  8.571088659264566e-002
 1.599183673469388e+000 -6.859499433474638e-001  1.760113283034290e-001 -3.490658503922759e-001  4.410771485085610e-001 -3.959128019929860e-001  4.307052687663755e-001  7.419868245297132e-001  4.753208998364504e-001  8.810017102620615e-002  8.619390352141139e-002
 1.608979591836735e+000 -6.858822460462097e-001  1.741564485028797e-001 -3.490658503924450e-001  4.293874512336222e-001 -3.983422399843022e-001  4.241578758115643e-001  7.445921779739163e-001  4.787198151554755e-001  8.649241723226075e-002  8.664448147054936e-002
 1.618775510204082e+000 -6.859850840434717e-001  1.721549009168222e-001 -3.490658503926317e-001  4.160289645785928e-001 -4.002927100967863e-001  4.169944520822138e-001  7.459252845595789e-001  4.822699723292052e-001  8.471654906071291e-002  8.704162131475203e-002
 1.628571428571429e+000 -6.862127589698276e-001  1.701031589653548e-001 -3.490658503928145e-001  4.011557126904890e-001 -4.018466106065479e-001  4.092290486147453e-001  7.457524836092222e-001  4.857631938380770e-001  8.289941393079858e-002  8.735382232715008e-002
 1.638367346938776e+000 -6.865015803549255e-001  1.681017518337655e-001 -3.490658503929709e-001  3.849899068528981e-001 -4.031225722524039e-001  4.009025897916119e-001  7.438530930282062e-001  4.889486683706683e-001  8.114121068333491e-002  8.753870091141205e-002
 1.648163265306122e+000 -6.867773995992856e-001  1.662370282799501e-001 -3.490658503930914e-001  3.678037849928706e-001 -4.042659619778141e-001  3.920832712998196e-001  7.400328854168515e-001  4.915654920431004e-001  7.949929409523415e-002  8.754527695917730e-002
 1.657959183673470e+000 -6.869687213744136e-001  1.645667834610691e-001 -3.490658503931706e-001  3.499007722017784e-001 -4.054361129624921e-001  3.828625709856144e-001  7.341337943451349e-001  4.933813479387884e-001  7.798686592775694e-002  8.732164520038674e-002
 1.667755102040816e+000 -6.870215702951975e-001  1.631120124979202e-001 -3.490658503932043e-001  3.315952460576981e-001 -4.067893872753101e-001  3.733462056317758e-001  7.260416880195821e-001  4.942277508038751e-001  7.658127474407239e-002  8.682599570671021e-002
 1.677551020408163e+000 -6.869133345680941e-001  1.618545964548634e-001 -3.490658503931991e-001  3.131894764848768e-001 -4.084593964497980e-001  3.636433013596555e-001  7.156949999168522e-001  4.940270023645202e-001  7.523742505074438e-002  8.603495462111049e-002
 1.687346938775510e+000 -6.866600649801971e-001  1.607417168975052e-001 -3.490658503931631e-001  2.949513272717874e-001 -4.105413250700333e-001  3.538560101529146e-001  7.030918573974486e-001  4.928120926165993e-001  7.390420335923786e-002  8.494794565017169e-002
 1.697142857142857e+000 -6.863129554594459e-001  1.596975794287856e-001 -3.490658503931047e-001  2.770970460631637e-001 -4.130850623480215e-001  3.440708587804489e-001  6.882921971312269e-001  4.907376960940451e-001  7.253882635303732e-002  8.358831390368779e-002
 1.706938775510204e+000 -6.859462612570201e-001  1.586393606878129e-001 -3.490658503930358e-001  2.597799381693595e-001 -4.160947914494576e-001  3.343546707658693e-001  6.714148899601090e-001  4.880673761662951e-001  7.111145503907634e-002  8.200074238755663e-002
 1.716734693877551e+000 -6.856408914708676e-001  1.574925011604271e-001 -3.490658503929745e-001  2.430842138621769e-001 -4.195327108398443e-001  3.247569968621134e-001  6.526320563059858e-001  4.851305775555682e-001  6.960286660644721e-002  8.024493848025122e-002
 1.726530612244898e+000 -6.854673673193433e-001  1.562023921206892e-001 -3.490658503929346e-001  2.270236883093784e-001 -4.233264733740110e-001  3.153179401004344e-001  6.321624989746594e-001  4.822676825797481e-001  6.800460832118782e-002  7.838654919492281e-002
 1.736326530612245e+000 -6.854731517322702e-001  1.547406134916922e-001 -3.490658503929339e-001  2.115458507313670e-001 -4.273771560525695e-001  3.060778490014021e-001  6.102649480449595e-001  4.797816785751091e-001  6.631782236024808e-002  7.648729336551877e-002
 1.746122448979592e+000 -6.856790723015296e-001  1.531041450578077e-001 -3.490658503929875e-001  1.965418289596470e-001 -4.315637620579879e-001  2.970849855638486e-001  5.872309253772508e-001  4.778968338368194e-001  6.454045845618794e-002  7.459639748483987e-002
 1.755918367346939e+000 -6.860860439109265e-001  1.513081166821655e-001 -3.490658503931040e-001  1.818607615139947e-001 -4.357448403092228e-001  2.883993379246778e-001  5.633772877350239e-001  4.767232777276481e-001  6.264990642584079e-002  7.274573717208795e-002
 1.765714285714286e+000 -6.866873998549564e-001  1.493755859166368e-001 -3.490658503932868e-001  1.673257276418874e-001 -4.397629510836464e-001  2.800926312451359e-001  5.390384249925271e-001  4.762477163813204e-001  6.060218344925406e-002  7.095098905198578e-002
 1.775510204081633e+000 -6.874777864809557e-001  1.473285789043923e-001 -3.490658503935357e-001  1.527496172186911e-001 -4.434567499155729e-001  2.722443206037913e-001  5.145563270918094e-001  4.763703013442870e-001  5.835280125741438e-002  6.921703196229614e-002
 1.785306122448980e+000 -6.884535906564712e-001  1.451829721584816e-001 -3.490658503938444e-001  1.379505144715807e-001 -4.466773547322442e-001  2.649337004387585e-001  4.902664002473505e-001  4.769641490690521e-001  5.587676006005804e-002  6.754359133322850e-002
 1.795102040816327e+000 -6.896084962910980e-001  1.429479205649546e-001 -3.490658503942070e-001  1.227663183687227e-001 -4.493018263261798e-001  2.582308623352687e-001  4.664801418244245e-001  4.779127231701129e-001  5.316796482422759e-002  6.593111133511263e-002
 1.804897959183674e+000 -6.909302884169914e-001  1.406283551395144e-001 -3.490658503946109e-001  1.070680876801475e-001 -4.512428088984858e-001  2.521901036222675e-001  4.434691286061056e-001  4.791135235119044e-001  5.022619628291603e-002  6.438741477072411e-002
 1.814693877551020e+000 -6.924017009902682e-001  1.382276268485847e-001 -3.490658503950400e-001  9.077036833119601e-002 -4.524562837472985e-001  2.468466638874288e-001  4.214542332109741e-001  4.804686320273915e-001  4.704814753475306e-002  6.293152797481909e-002
 1.824489795918368e+000 -6.940046054818547e-001  1.357490157578671e-001 -3.490658503954743e-001  7.383636772664981e-002 -4.529435601518614e-001  2.422150243348651e-001  4.005998080784753e-001  4.818826479015462e-001  4.362460070490526e-002  6.159220878832856e-002
 1.834285714285714e+000 -6.957246738946986e-001  1.331963932294547e-001 -3.490658503958885e-001  5.627762955752824e-002 -4.527445499044116e-001  2.382876293042574e-001  3.810110131353324e-001  4.832702917896760e-001  3.994019033092799e-002  6.040239199124015e-002
