---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "..\Input\FullBody-GaitNormal_1-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
1.560000000000000e+000 -5.063148808786194e-001 -5.122414614522830e-002 1.785125451493260e-001 2.398126372699151e-001 3.921881768907087e-001 -2.562649813140856e-001
1.569795918367347e+000 -5.154211237691589e-001 -4.315920526095152e-002 1.677043666005726e-001 2.479440240539688e-001 3.805207088133397e-001 -2.590121973797371e-001
1.579591836734694e+000 -5.240867523729871e-001 -3.447539439450997e-002 1.561515277693473e-001 2.564629775362487e-001 3.660538623424399e-001 -2.598410040076680e-001
1.589387755102041e+000 -5.321055406860349e-001 -2.521774785003816e-002 1.439320625937370e-001 2.656473022469424e-001 3.486085653551535e-001 -2.584987134092270e-001
1.599183673469388e+000 -5.392633068999068e-001 -1.544686252671390e-002 1.311106475642001e-001 2.758771594808285e-001 3.280230748213804e-001 -2.547335201074877e-001
1.608979591836735e+000 -5.453404907580115e-001 -5.267374567877070e-003 1.177641046236632e-001 2.876003852012204e-001 3.042179716565454e-001 -2.483561508852992e-001
1.618775510204082e+000 -5.501083014449676e-001 5.170769134236197e-003 1.040010343223604e-001 3.013193430548466e-001 2.772116233738621e-001 -2.392830152585865e-001
1.628571428571429e+000 -5.533235930096836e-001 1.568067481157320e-002 8.997243720122264e-002 3.175731558011092e-001 2.471360223077556e-001 -2.275714522457642e-001
1.638367346938776e+000 -5.547206557718234e-001 2.605517222323917e-002 7.587139950434500e-002 3.369157023765070e-001 2.142550937901994e-001 -2.134338714482890e-001
1.648163265306122e+000 -5.540054066678215e-001 3.608771521799081e-002 6.192620485512056e-002 3.598876108613626e-001 1.789892663910675e-001 -1.972243554096146e-001
1.657959183673470e+000 -5.508619334393512e-001 4.559257098250047e-002 4.838481451749116e-002 3.869783156214312e-001 1.419450634480494e-001 -1.793899269445173e-001
1.667755102040816e+000 -5.449763791480655e-001 5.442137054518570e-002 3.548374580195617e-002 4.185767405655528e-001 1.039400646899667e-001 -1.603859324734467e-001
1.677551020408163e+000 -5.360746389608780e-001 6.247244351030079e-002 2.340372474187811e-002 4.549149549879564e-001 6.600789024297100e-002 -1.405751744007117e-001
1.687346938775510e+000 -5.239651906513191e-001 6.968793227572068e-002 1.222876770908511e-002 4.960147339545918e-001 2.936427266466467e-002 -1.201479310465866e-001
1.697142857142857e+000 -5.085767532373275e-001 7.603825096361550e-002 1.930560865148717e-003 5.416498102129321e-001 -4.678531617892678e-003 -9.909981922180494e-002
1.706938775510204e+000 -4.899809389102585e-001 8.150161831088409e-002 -7.608587091890400e-003 5.913358073260390e-001 -3.483696578819365e-002 -7.728117243246740e-002
1.716734693877551e+000 -4.683919472382552e-001 8.604867237511726e-002 -1.654171261750000e-002 6.443552736646248e-001 -5.998391361873904e-002 -5.449417751446332e-002
1.726530612244898e+000 -4.441409283973836e-001 8.963748052203591e-002 -2.499710819606669e-002 6.998159457836249e-001 -7.924747773757690e-002 -3.059020052134979e-002
1.736326530612245e+000 -4.176313898500250e-001 9.221958184909962e-002 -3.303605099863176e-002 7.567288668053307e-001 -9.207947936063329e-002 -5.530511439377047e-003
1.746122448979592e+000 -3.892878309958406e-001 9.375470138757724e-002 -4.063896458028097e-002 8.140858890617442e-001 -9.830761355498643e-002 2.059559516157541e-002
