---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\FullBody-GaitNormal_1-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.560000000000000e+000 2.865674466592865e-001 4.974370345361412e-002 2.764196389454420e-001 2.449139243407463e-001 1.884541905090261e-001 1.926516750156690e-001
1.569795918367347e+000 2.853489685376554e-001 4.816589252886172e-002 2.719277657159460e-001 2.525290215489058e-001 1.860055193964093e-001 1.732002142175328e-001
1.579591836734694e+000 2.845414057762309e-001 4.554894288793743e-002 2.656148795995920e-001 2.622061609946014e-001 1.810883301653959e-001 1.502616038627373e-001
1.589387755102041e+000 2.840818611049368e-001 4.174584860257213e-002 2.574477898872050e-001 2.738826965617016e-001 1.735534377245411e-001 1.242491465347302e-001
1.599183673469388e+000 2.838403752397349e-001 3.662317319494757e-002 2.474762831258067e-001 2.873401771133473e-001 1.634450187301862e-001 9.586566299062452e-002
1.608979591836735e+000 2.836068590423193e-001 3.010779220611259e-002 2.358044252306980e-001 3.022003417541920e-001 1.511539727616864e-001 6.608993216534208e-002
1.618775510204082e+000 2.830961168301433e-001 2.220399904650661e-002 2.225586649705359e-001 3.180072680600145e-001 1.374169976083174e-001 3.600783551133754e-002
1.628571428571429e+000 2.819657256206711e-001 1.300490927779974e-002 2.079317850383013e-001 3.342866492096104e-001 1.231992852348190e-001 6.635568850240472e-003
1.638367346938776e+000 2.798428648135507e-001 2.695356364394774e-003 1.922363583153024e-001 3.505565309622639e-001 1.095319557282797e-001 -2.123161295514458e-002
1.648163265306122e+000 2.763599904685994e-001 -8.454920625110329e-003 1.759090125927594e-001 3.663190958350565e-001 9.737813369130190e-002 -4.709003267733150e-002
1.657959183673470e+000 2.711990845112376e-001 -2.010606265166270e-002 1.594791846125986e-001 3.810806608498486e-001 8.753255495247178e-002 -7.067041725783042e-002
1.667755102040816e+000 2.641325654241770e-001 -3.187364445138652e-002 1.435292604866199e-001 3.943993367216527e-001 8.054759810089364e-002 -9.178810046559126e-002
1.677551020408163e+000 2.550460689693749e-001 -4.336695714666417e-002 1.286500534729631e-001 4.059245304228030e-001 7.670422934456364e-002 -1.102104666971907e-001
1.687346938775510e+000 2.439379331546027e-001 -5.423084310717763e-002 1.153944584081485e-001 4.154081004806566e-001 7.603309393461194e-002 -1.256263752108475e-001
1.697142857142857e+000 2.308993498553394e-001 -6.417782268840577e-002 1.042326355583413e-001 4.226950682071840e-001 7.836156459753066e-002 -1.377115749073875e-001
1.706938775510204e+000 2.160836813181597e-001 -7.300486779064830e-002 9.550947239646834e-002 4.277099694667289e-001 8.336416611730334e-002 -1.462145200459096e-001
1.716734693877551e+000 1.996753251424754e-001 -8.059566464468304e-002 8.941255807517713e-002 4.304461295611020e-001 9.061213230105644e-002 -1.509960162881774e-001
1.726530612244898e+000 1.818665880513714e-001 -8.691125240377184e-002 8.596146807834189e-002 4.309561044762429e-001 9.962133288870537e-002 -1.520249143888783e-001
1.736326530612245e+000 1.628458714043324e-001 -9.197434218433065e-002 8.501866522787659e-002 4.293405856975290e-001 1.098917899542221e-001 -1.493729389071041e-001
1.746122448979592e+000 1.427964239375605e-001 -9.585373327191316e-002 8.631388368079074e-002 4.257367964749121e-001 1.209353375548581e-001 -1.432259219512737e-001
1.755918367346939e+000 1.219021479291361e-001 -9.865185029071721e-002 8.947578001721486e-002 4.203095263919062e-001 1.322971786279762e-001 -1.338928646249178e-001
