---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Input\FullBody-GaitNormal_1-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension[0]
col11  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension[1]
col12  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension[2]
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension[0] Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension[1] Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension[2]
1.560000000000000e+000 -1.846624970506962e-001 9.138834926244710e-001 -3.172834993859403e-001 2.276517417702071e-002 9.413777787740640e-002 2.240514202197627e-001 -4.973555739530101e-001 2.603518131087420e-002 -1.366870278330152e-001 1.639630361492424e-002 -1.180800012030207e-002 9.648447864808311e-003
1.569795918367347e+000 -1.713712851844790e-001 9.127205955819066e-001 -3.164774995905139e-001 2.152504992863199e-002 1.003684027261127e-001 2.228159697194826e-001 -4.942222833401900e-001 3.224240886801246e-002 -1.399308948332969e-001 1.635600392327871e-002 -1.186779492733042e-002 1.001868508607593e-002
1.579591836734694e+000 -1.578433892611384e-001 9.117387394534843e-001 -3.156605079692001e-001 1.950412534376441e-002 1.061748664061568e-001 2.213477787694193e-001 -4.907081029469781e-001 3.921642795058057e-002 -1.431250031961246e-001 1.622525115796708e-002 -1.188844993330046e-002 1.037935169765586e-002
1.589387755102041e+000 -1.441412888885102e-001 9.109827686895676e-001 -3.148362150710203e-001 1.664074430441155e-002 1.114132432509023e-001 2.196913294871890e-001 -4.868939893719734e-001 4.695757541969662e-002 -1.461899393483765e-001 1.599838563015795e-002 -1.186649793297726e-002 1.072669365376720e-002
1.599183673469388e+000 -1.303064839226711e-001 9.104949074203736e-001 -3.140070583101562e-001 1.289917339645778e-002 1.159503328341955e-001 2.179172835188053e-001 -4.828987891401783e-001 5.544592813354762e-002 -1.490357373681614e-001 1.567414685979873e-002 -1.180041817437085e-002 1.105792127041446e-002
1.608979591836735e+000 -1.163741174157042e-001 9.103076080479958e-001 -3.131743565368766e-001 8.303975713170075e-003 1.196812346356169e-001 2.161243887101499e-001 -4.788800016155274e-001 6.460204483594650e-002 -1.515673366641907e-001 1.525882041256855e-002 -1.169203250771509e-002 1.137165528400040e-002
1.618775510204082e+000 -1.023753285861143e-001 9.104414978758807e-001 -3.123375768657211e-001 2.948565600665446e-003 1.225368773756093e-001 2.144353051937285e-001 -4.750227776245105e-001 7.427569467811193e-002 -1.536892782938269e-001 1.476630687524835e-002 -1.154668532562644e-002 1.166853273892710e-002
1.628571428571429e+000 -8.833891806368502e-002 9.109041093832284e-001 -3.114936327373307e-001 -3.005185251455632e-003 1.244932101661320e-001 2.129873370526153e-001 -4.715234668075702e-001 8.424660302778786e-002 -1.553128755371344e-001 1.421682883718518e-002 -1.137314682893715e-002 1.195164445766316e-002
1.638367346938776e+000 -7.429269777093631e-002 9.116900707520077e-001 -3.106366693980855e-001 -9.338192844718974e-003 1.255783691659382e-001 2.119159706149357e-001 -4.685669120874932e-001 9.423833858145070e-002 -1.563653118617214e-001 1.363462127962680e-002 -1.118300985662175e-002 1.222649096103335e-002
1.648163265306122e+000 -6.026445333863437e-002 9.127825684097203e-001 -3.097586287800146e-001 -1.579504488253384e-002 1.258727473061589e-001 2.113341870262937e-001 -4.663011891306264e-001 1.039424653377135e-001 -1.567969437105211e-001 1.304526818396151e-002 -1.098957171127582e-002 1.250029780819565e-002
1.657959183673470e+000 -4.628247839689121e-002 9.141554252776726e-001 -3.088506853686375e-001 -2.211069269660839e-002 1.255003683960581e-001 2.113146155269722e-001 -4.648179174168715e-001 1.130494230450513e-001 -1.565832608443843e-001 1.247303336836988e-002 -1.080643458509976e-002 1.278093777585570e-002
1.667755102040816e+000 -3.237563749803774e-002 9.157754784286748e-001 -3.079053631179190e-001 -2.803970572818369e-002 1.246140702241279e-001 2.118794597862000e-001 -4.641433314333920e-001 1.212840466013554e-001 -1.557230240190725e-001 1.193805004911577e-002 -1.064602451917803e-002 1.307579763066472e-002
1.677551020408163e+000 -1.857282431924374e-002 9.176051981077690e-001 -3.069188447749613e-001 -3.338408628670732e-002 1.233772764872927e-001 2.129990690630856e-001 -4.642398944882429e-001 1.284403638398323e-001 -1.542355947807828e-001 1.145356018638234e-002 -1.051815787650051e-002 1.339072355882693e-002
1.687346938775510e+000 -4.901746833548304e-003 9.196053268050903e-001 -3.058928467243572e-001 -3.801266754754072e-002 1.219444286943545e-001 2.145988862074902e-001 -4.650166734280636e-001 1.344053790560508e-001 -1.521555460079192e-001 1.102414065294359e-002 -1.042898898622489e-002 1.372914776179413e-002
1.697142857142857e+000 8.612835439951238e-003 9.217371701599872e-001 -3.048354219695293e-001 -4.186576426145137e-002 1.204430809618347e-001 2.165743208330719e-001 -4.663471410095828e-001 1.391625869415157e-001 -1.495228083020902e-001 1.064586395240277e-002 -1.038066328926067e-002 1.409160688256874e-002
1.706938775510204e+000 2.195103828478362e-002 9.239643231681056e-001 -3.037603233608524e-001 -4.494477532442849e-002 1.189609767655306e-001 2.188110511350010e-001 -4.680919150070244e-001 1.427740995259091e-001 -1.463721568374797e-001 1.030844918046582e-002 -1.037168192509635e-002 1.447579363401524e-002
1.716734693877551e+000 3.509940923018828e-002 9.262538499177808e-001 -3.026850772915149e-001 -4.729217636473531e-002 1.175399180643737e-001 2.212046188855248e-001 -4.701200637766347e-001 1.453487745808904e-001 -1.427264373094854e-001 9.998571888895415e-003 -1.039780052789080e-002 1.487698697297253e-002
1.726530612244898e+000 4.805173342294627e-002 9.285769525695230e-001 -3.016282638137847e-001 -4.896922993933933e-002 1.161765888737152e-001 2.236724477498794e-001 -4.723214920365157e-001 1.470070367156471e-001 -1.385948007166137e-001 9.703313727339900e-003 -1.045315881366735e-002 1.528855442157593e-002
1.736326530612245e+000 6.080892001115827e-002 9.309090959894916e-001 -3.006066904401870e-001 -5.003818336072977e-002 1.148296005866905e-001 2.261556909653489e-001 -4.746083554097806e-001 1.478527392689437e-001 -1.339755319692327e-001 9.412891301307425e-003 -1.053129027659869e-002 1.570246851312800e-002
1.746122448979592e+000 7.337787450850598e-002 9.332296603543846e-001 -2.996332387402683e-001 -5.055329494923985e-002 1.134312142866387e-001 2.286130637079737e-001 -4.769093917294563e-001 1.479593138938203e-001 -1.288630899529738e-001 9.121970608804913e-003 -1.062582041101465e-002 1.611001274829844e-002
1.755918367346939e+000 8.576951222310246e-002 9.355213378028193e-001 -2.987158505277177e-001 -5.056051370674260e-002 1.119014839320280e-001 2.310109569320768e-001 -4.791624531997078e-001 1.473705247151941e-001 -1.232593131369514e-001 8.829426947877646e-003 -1.073079692929515e-002 1.650269342395424e-002
1.765714285714286e+000 9.799652407986997e-002 9.377694453749428e-001 -2.978576562454264e-001 -5.010128043865817e-002 1.101616035259569e-001 2.333142266931442e-001 -4.813086258125096e-001 1.461093692691861e-001 -1.171852113269819e-001 8.537158425900067e-003 -1.084074728880097e-002 1.687314398951819e-002
1.775510204081633e+000 1.100717583358499e-001 9.399612169030549e-001 -2.970581089384635e-001 -4.921593584086988e-002 1.081414352179015e-001 2.354812518016846e-001 -4.832893911890527e-001 1.441883034197437e-001 -1.106840387634797e-001 8.248629759668657e-003 -1.095076223469866e-002 1.721577629701962e-002
1.785306122448980e+000 1.220076603262965e-001 9.420850658091579e-001 -2.963147267419032e-001 -4.794580642604734e-002 1.057793883962142e-001 2.374651160485957e-001 -4.850477969133833e-001 1.416183132878136e-001 -1.038119088313503e-001 7.967416901052264e-003 -1.105676970916286e-002 1.752706012019762e-002
1.795102040816327e+000 1.338162670442033e-001 9.441297532003075e-001 -2.956244554549569e-001 -4.633448575072845e-002 1.030226335766022e-001 2.392195640744733e-001 -4.865337788010017e-001 1.384166519194084e-001 -9.662756487997873e-002 7.696030313082591e-003 -1.115580589131168e-002 1.780559144625800e-002
1.804897959183674e+000 1.455090014566481e-001 9.460835375442958e-001 -2.949839873879773e-001 -4.442810589621764e-002 9.983537419247779e-002 2.407066705769365e-001 -4.877124457070454e-001 1.346127313617191e-001 -8.919297342861621e-002 7.435399689404759e-003 -1.124603564032089e-002 1.805223739828226e-002
1.814693877551020e+000 1.570962415011871e-001 9.479336456386587e-001 -2.943896524028949e-001 -4.227458951632700e-002 9.620849481887728e-002 2.419038843737212e-001 -4.885728531375020e-001 1.302509799153961e-001 -8.157923856432812e-002 7.185046563780296e-003 -1.132645870504519e-002 1.827035952360974e-002
1.824489795918368e+000 1.685870445488513e-001 9.496663589585658e-001 -2.938377340207465e-001 -3.992268257365574e-002 9.215957673452646e-002 2.428081778905407e-001 -4.891332745147061e-001 1.253900648030738e-001 -7.386631051926530e-002 6.943584653392174e-003 -1.139642489064911e-002 1.846580563810352e-002
1.834285714285714e+000 1.799891467745517e-001 9.512677168723411e-001 -2.933251528092039e-001 -3.742180021213842e-002 8.772396853726150e-002 2.434357470819400e-001 -4.894400585851768e-001 1.201002569290824e-001 -6.613497474343744e-002 6.709220854910354e-003 -1.145526407643531e-002 1.864643049195194e-002
1.844081632653061e+000 1.913091971284727e-001 9.527245842137886e-001 -2.928500133971939e-001 -3.482141103619073e-002 8.294409493987387e-002 2.438183905569008e-001 -4.895611064159899e-001 1.144590393066909e-001 -5.845597859506872e-002 6.480379602158351e-003 -1.150228559261336e-002 1.882119678988087e-002
1.853877551020408e+000 2.025532374556573e-001 9.540256345325540e-001 -2.924116631711194e-001 -3.216669220883741e-002 7.786051152975926e-002 2.439993167252586e-001 -4.895776546294161e-001 1.085413392485987e-001 -5.088079784951118e-002 6.256672839809329e-003 -1.153700366201842e-002 1.899910941917416e-002
1.863673469387755e+000 2.137273063443669e-001 9.551618875003129e-001 -2.920102175322563e-001 -2.949160035768839e-002 7.250616114160979e-002 2.440293294888363e-001 -4.895766055559240e-001 1.024064154828004e-001 -4.343863540527417e-002 6.039650840556759e-003 -1.155919757569443e-002 1.918825853847790e-002
1.873469387755102e+000 2.248377744455654e-001 9.561268803694244e-001 -2.916458366273074e-001 -2.681517561883336e-002 6.690603994054722e-002 2.439603242128095e-001 -4.896408925921556e-001 9.609064504483184e-002 -3.614133402825546e-002 5.832575630245286e-003 -1.156874391798259e-002 1.939514231419334e-002
