---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.UpdData = 2
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\LowerBody-GaitNormal_1-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesShortenOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
 1.560000000000000e+000  9.357358741544058e-001  7.529097865153167e-002  1.665302067828316e-001  1.564896355156581e-001 -7.367091005015530e-002 -5.279743236827066e-002
 1.569795918367347e+000  9.337055700782311e-001  7.367416865313170e-002  1.594478058644235e-001  1.618307951395360e-001 -6.452637842632789e-002 -3.148353906613616e-002
 1.579591836734694e+000  9.318477193526142e-001  7.111130640397922e-002  1.512725403394319e-001  1.691434062354786e-001 -5.241895008292852e-002 -7.927097374259614e-003
 1.589387755102041e+000  9.301491305517896e-001  6.747559781178358e-002  1.421650675897401e-001  1.784980501373043e-001 -3.749584262009843e-002  1.722752259828344e-002
 1.599183673469388e+000  9.285464744896915e-001  6.265516483241029e-002  1.323094117955367e-001  1.898268432104392e-001 -2.015813188079025e-002  4.314282734465501e-002
 1.608979591836735e+000  9.269093933067188e-001  5.659334131873361e-002  1.218603852850839e-001  2.029105222172288e-001 -1.177697971632614e-003  6.883809019331547e-002
 1.618775510204082e+000  9.250406831473981e-001  4.929791007748952e-002  1.109102135512552e-001  2.174369198250356e-001  1.836886335219857e-002  9.336154602257948e-002
 1.628571428571429e+000  9.226946842659034e-001  4.084810672928585e-002  9.954295467328643e-002  2.330414818663271e-001  3.726949925106898e-002  1.159461077752013e-001
 1.638367346938776e+000  9.196045340240180e-001  3.139915990581299e-002  8.790260617872127e-002  2.493081887734993e-001  5.437684813728275e-002  1.361211926184338e-001
 1.648163265306122e+000  9.155094286203900e-001  2.118036488405650e-002  7.621467713778674e-002  2.657592068318094e-001  6.875263848882778e-002  1.537413147115846e-001
 1.657959183673470e+000  9.101818618191299e-001  1.048370502348850e-002  6.477522700103709e-002  2.818779964577233e-001  7.973040903034093e-002  1.688968449718736e-001
 1.667755102040816e+000  9.034521692765261e-001 -3.586430698376830e-004  5.393413645819306e-002  2.971669162446750e-001  8.691088058308934e-002  1.817360455124807e-001
 1.677551020408163e+000  8.952225374946489e-001 -1.100650647018853e-002  4.407269610423199e-002  3.112020664513941e-001  9.011690826935903e-002  1.923019329922061e-001
 1.687346938775510e+000  8.854668869874268e-001 -2.114613158770240e-002  3.556993322241494e-002  3.236574685609087e-001  8.934692332653670e-002  2.004809213879221e-001
 1.697142857142857e+000  8.742198251531832e-001 -3.051745164051156e-002  2.875888985031967e-002  3.343017425177984e-001  8.475341626044286e-002  2.060683462085695e-001
 1.706938775510204e+000  8.615606860280969e-001 -3.892965787404346e-002  2.388186928924926e-002  3.429862100987760e-001  7.663271392207996e-002  2.088679292468884e-001
 1.716734693877551e+000  8.475986843020276e-001 -4.626537952568666e-002  2.105962166637872e-002  3.496356164203756e-001  6.539767858429579e-002  2.087467479342091e-001
 1.726530612244898e+000  8.324625522292012e-001 -5.247571233999437e-002  2.028326889236160e-002  3.542399850048115e-001  5.153441498819007e-002  2.056443949633212e-001
 1.736326530612245e+000  8.162942570332454e-001 -5.756961896175872e-002  2.142456626512677e-002  3.568438299069416e-001  3.556664704365063e-002  1.995795233791855e-001
 1.746122448979592e+000  7.992454524468347e-001 -6.160147584709130e-002  2.425551222854505e-002  3.575341561535477e-001  1.803584288112444e-002  1.906690859732355e-001
 1.755918367346939e+000  7.814759056010603e-001 -6.465851215796747e-002  2.847327516840042e-002  3.564318532197195e-001 -5.174102495520864e-004  1.791395552723198e-001
 1.765714285714286e+000  7.631527771992003e-001 -6.684769544108060e-002  3.372926598768588e-002  3.536876715109735e-001 -1.958148971120538e-002  1.653155118476801e-001
