---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.FileName = "LFTM1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.pz
 8.500000000000000e-001  -1.799215390564890e+000  -1.635718852897280e-001   4.224682074923409e-001
 8.521787709497206e-001  -1.760972785646918e+000  -1.611786876513896e-001   4.154056495503493e-001
 8.543575418994412e-001  -1.722475913081289e+000  -1.588759346619733e-001   4.088748917386652e-001
 8.565363128491619e-001  -1.683756141159348e+000  -1.566738043140726e-001   4.028870528432493e-001
 8.587150837988825e-001  -1.644844305557964e+000  -1.545819076057975e-001   3.974491706510254e-001
 8.608938547486031e-001  -1.605770492854224e+000  -1.526091317889462e-001   3.925640021925091e-001
 8.630726256983238e-001  -1.566564037321745e+000  -1.507636374715030e-001   3.882307226103468e-001
 8.652513966480444e-001  -1.527253434464692e+000  -1.490527634806380e-001   3.844449390325848e-001
 8.674301675977650e-001  -1.487866219080632e+000  -1.474828576954500e-001   3.811987528190136e-001
 8.696089385474857e-001  -1.448429058222748e+000  -1.460593251165252e-001   3.784814355867830e-001
 8.717877094972063e-001  -1.408967683533687e+000  -1.447865135971399e-001   3.762794635971787e-001
 8.739664804469269e-001  -1.369506866446773e+000  -1.436676177947341e-001   3.745767791001329e-001
 8.761452513966476e-001  -1.330070556197662e+000  -1.427047947521697e-001   3.733553251581280e-001
 8.783240223463682e-001  -1.290681838513125e+000  -1.418990617417832e-001   3.725951004961428e-001
 8.805027932960888e-001  -1.251362988090898e+000  -1.412502930698499e-001   3.722744639180362e-001
 8.826815642458095e-001  -1.212135589215975e+000  -1.407573483353586e-001   3.723704893198329e-001
 8.848603351955301e-001  -1.173020503389789e+000  -1.404179776323171e-001   3.728590310991964e-001
 8.870391061452507e-001  -1.134037944829641e+000  -1.402288738932561e-001   3.737150122138399e-001
 8.892178770949714e-001  -1.095207574889916e+000  -1.401857862432952e-001   3.749126688016383e-001
 8.913966480446920e-001  -1.056548485832357e+000  -1.402834382079031e-001   3.764256824714425e-001
 8.935754189944126e-001  -1.018079288230670e+000  -1.405156335603506e-001   3.782274834731682e-001
 8.957541899441333e-001  -9.798181759377423e-001  -1.408753586951907e-001   3.802914339361393e-001
 8.979329608938539e-001  -9.417829218668844e-001  -1.413547491598988e-001   3.825910627675617e-001
 9.001117318435745e-001  -9.039909655862959e-001  -1.419452564599031e-001   3.851003017422949e-001
 9.022905027932952e-001  -8.664594628008733e-001  -1.426377470283053e-001   3.877936081673429e-001
 9.044692737430158e-001  -8.292053103695867e-001  -1.434225538478812e-001   3.906462405410888e-001
 9.066480446927364e-001  -7.922452316031209e-001  -1.442896585664844e-001   3.936343472859079e-001
 9.088268156424570e-001  -7.555958158112943e-001  -1.452287777995247e-001   3.967350395549587e-001
 9.110055865921777e-001  -7.192735660130343e-001  -1.462294720277647e-001   3.999266112149610e-001
 9.131843575418983e-001  -6.832949623945386e-001  -1.472812776660979e-001   4.031884436776216e-001
 9.153631284916189e-001  -6.476764953817071e-001  -1.483737804847945e-001   4.065010251644977e-001
 9.175418994413396e-001  -6.124347171276420e-001  -1.494967393010665e-001   4.098460054021289e-001
 9.197206703910602e-001  -5.775862522490269e-001  -1.506401465685608e-001   4.132059558049212e-001
 9.218994413407808e-001  -5.431478092236073e-001  -1.517942955981143e-001   4.165643133567344e-001
 9.240782122905015e-001  -5.091361851570452e-001  -1.529498842492617e-001   4.199052169600113e-001
 9.262569832402221e-001  -4.755682515718154e-001  -1.540980208752847e-001   4.232132184690735e-001
 9.284357541899427e-001  -4.424609589687231e-001  -1.552302982161358e-001   4.264731229580412e-001
 9.306145251396634e-001  -4.098313517383913e-001  -1.563388792837889e-001   4.296696567652366e-001
 9.327932960893840e-001  -3.776966182404618e-001  -1.574164824980149e-001   4.327872188112211e-001
 9.349720670391046e-001  -3.460741710440738e-001  -1.584564794388788e-001   4.358095941059885e-001
 9.371508379888253e-001  -3.149817452716692e-001  -1.594529476889777e-001   4.387195911561637e-001
 9.393296089385459e-001  -2.844372388478332e-001  -1.604005894182584e-001   4.414989787820343e-001
 9.415083798882665e-001  -2.544584885302000e-001  -1.612947702922212e-001   4.441282217904806e-001
 9.436871508379872e-001  -2.250624977711488e-001  -1.621313906164974e-001   4.465864851073748e-001
 9.458659217877078e-001  -1.962649468162770e-001  -1.629067735940669e-001   4.488517938552876e-001
 9.480446927374284e-001  -1.680792992589394e-001  -1.636176355029820e-001   4.509009931433559e-001
 9.502234636871491e-001  -1.405164446884555e-001  -1.642610403919663e-001   4.527099823467645e-001
 9.524022346368697e-001  -1.135848355336018e-001  -1.648343997708988e-001   4.542539090394259e-001
 9.545810055865903e-001  -8.729032199453700e-002  -1.653355713093130e-001   4.555073039535418e-001
 9.567597765363110e-001  -6.163670117642960e-002  -1.657629051311808e-001   4.564444991114784e-001
 9.589385474860316e-001  -3.662596259792755e-002  -1.661152645108030e-001   4.570398957872495e-001
 9.611173184357522e-001  -1.225830009524568e-002  -1.663921384099180e-001   4.572684327163707e-001
 9.632960893854728e-001   1.146755257853890e-002  -1.665935837754261e-001   4.571059791911749e-001
 9.654748603351935e-001   3.455421229633068e-002  -1.667202116794382e-001   4.565295977497841e-001
 9.676536312849141e-001   5.700563213362247e-002  -1.667732150128582e-001   4.555181179876306e-001
 9.698324022346347e-001   7.882681066731923e-002  -1.667542601438659e-001   4.540522728478189e-001
 9.720111731843554e-001   1.000237159823808e-001  -1.666654652282786e-001   4.521149479321794e-001
 9.741899441340760e-001   1.206032003793593e-001  -1.665093822952447e-001   4.496916911979659e-001
 9.763687150837966e-001   1.405727506200941e-001  -1.662888998975435e-001   4.467705887995979e-001
 9.785474860335173e-001   1.599404048770106e-001  -1.660072250020642e-001   4.433425149181725e-001
 9.807262569832379e-001   1.787145884967026e-001  -1.656678477671002e-001   4.394014566674722e-001
 9.829050279329585e-001   1.969039377981691e-001  -1.652744772790004e-001   4.349442098891914e-001
 9.850837988826792e-001   2.145172107262137e-001  -1.648310330182805e-001   4.299706244681047e-001
 9.872625698323998e-001   2.315631655427015e-001  -1.643416202353995e-001   4.244836954482669e-001
 9.894413407821204e-001   2.480504939048290e-001  -1.638104823417925e-001   4.184891528320004e-001
 9.916201117318411e-001   2.639877448204820e-001  -1.632419831577225e-001   4.119956421261674e-001
 9.937988826815617e-001   2.793831954454129e-001  -1.626405439507619e-001   4.050145376826986e-001
 9.959776536312823e-001   2.942447760229447e-001  -1.620105909243097e-001   3.975595421046746e-001
 9.981564245810030e-001   3.085799110454236e-001  -1.613564996549090e-001   3.896467911878696e-001
 1.000335195530724e+000   3.223954122645256e-001  -1.606825265746345e-001   3.812945903211574e-001
 1.002513966480444e+000   3.356974926933983e-001  -1.599927813753159e-001   3.725231473756027e-001
 1.004692737430165e+000   3.484916724870721e-001  -1.592911634705776e-001   3.633546953756049e-001
 1.006871508379886e+000   3.607829248524778e-001  -1.585813460445128e-001   3.538132823665671e-001
 1.009050279329607e+000   3.725759034237325e-001  -1.578668002634242e-001   3.439246095717452e-001
 1.011229050279327e+000   3.838752967976314e-001  -1.571508079226638e-001   3.337161552235893e-001
 1.013407821229048e+000   3.946864415936950e-001  -1.564365647753046e-001   3.232169316741562e-001
 1.015586592178769e+000   4.050155945266281e-001  -1.557272281082077e-001   3.124574070784210e-001
 1.017765363128490e+000   4.148704178067792e-001  -1.550259736423814e-001   3.014696738660080e-001
 1.019944134078210e+000   4.242598347772604e-001  -1.543360104791307e-001   2.902873729650492e-001
 1.022122905027931e+000   4.331939233089095e-001  -1.536605766349727e-001   2.789457505868614e-001
 1.024301675977652e+000   4.416836931009294e-001  -1.530029065326172e-001   2.674819471997232e-001
 1.026480446927373e+000   4.497402289533554e-001  -1.523660837012806e-001   2.559348407684008e-001
 1.028659217877093e+000   4.573740732829105e-001  -1.517528977262333e-001   2.443450843801041e-001
 1.030837988826814e+000   4.645939181027524e-001  -1.511654990680433e-001   2.327551297350167e-001
 1.033016759776535e+000   4.714064904768036e-001  -1.506053569843881e-001   2.212086540139453e-001
 1.035195530726256e+000   4.778164681167457e-001  -1.500732218317653e-001   2.097502899872732e-001
